qid,role,intent,grade,systems,question
AC-001,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|policy_governance|project_handover|security_incident|sensor_telemetry|space_inventory|training_competency,Which minimum approved permission package should be prepared for this verified starter on the authorised effective date?
AC-002,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|policy_governance|security_incident|training_competency,"For this role or department transfer, which entitlements are justified to add, retain, remove-candidate or refer to an owner?"
AC-003,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|policy_governance|security_incident|sensor_telemetry,"How should concurrent staff, student and sponsored-project affiliations be combined without widening access beyond each approved duty?"
AC-004,Access-control administrators,capability,honest-capability-answer,asset_register|hr_identity|policy_governance|security_incident|space_inventory,"Which approved role template, or smallest justified combination, covers duties across these teams and buildings?"
AC-005,Access-control administrators,capability,document-quoted,hr_identity|policy_governance|security_incident|sensor_telemetry|training_competency,"Is this access request ready for administration, and which accountable owner must supply each missing item?"
AC-006,Access-control administrators,capability,honest-capability-answer,hr_identity|security_incident,"HR or Student Records, the identity platform and the sponsor disagree on status or end date - which conflict blocks processing?"
AC-007,Access-control administrators,metadata,answered-with-data,hr_identity|permit_control|security_incident|statutory_compliance|training_competency,"Are all induction, training, competency and area-approval prerequisites effective for the requested restricted-zone interval?"
AC-008,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|policy_governance|security_incident,"Does this scope genuinely require a formal exception, or can it be met by a narrower approved template?"
AC-009,Access-control administrators,capability,document-quoted,access_control|hr_identity|policy_governance|security_incident|training_competency,"Is this external collaborator case bounded by a verified identity, accountable sponsor, approved purpose, exact zones and hard end date?"
AC-010,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|security_incident|training_competency,"Which records in this new cohort are ready for batch preparation under current rules, and which must be held for individual review?"
AC-011,Access-control administrators,capability,honest-capability-answer,access_control|booking|hr_identity|policy_governance,"Is this personalised credential ready for secure issue and collection, or should it remain on hold?"
AC-012,Access-control administrators,capability,honest-capability-answer,access_control|security_incident,"After this lost or stolen credential report, which containment steps are confirmed and what must be resolved before replacement?"
AC-013,Access-control administrators,capability,document-quoted,access_control|hr_identity|project_handover,"Is this failed access attempt attributable to the credential, reader or door path, schedule, or entitlement configuration?"
AC-014,Access-control administrators,capability,answered-with-data,access_control|hr_identity|policy_governance|security_incident,"Which credentials will expire within the review horizon, and which have a current authorised basis for renewal?"
AC-015,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|policy_governance|security_incident,"Does this identity have more than one active credential, and is each overlap justified, time-bounded and owner-approved?"
AC-016,Access-control administrators,privacy_refusal,deflected,access_control|hr_identity|policy_governance|project_handover|security_incident,"Which personalised credentials remain uncollected beyond policy, and who currently has documented custody of each?"
AC-017,Access-control administrators,capability,deflected,access_control|booking|contract_warranty|hr_identity|policy_governance|security_incident,"Which loan, visitor or contractor credentials are overdue, and which sponsor or custodian owns recovery action?"
AC-018,Access-control administrators,capability,honest-capability-answer,access_control|accessibility|security_incident,"Is this mobile credential enrolment complete, privacy-compliant and supported across the commissioned reader estate?"
AC-019,Access-control administrators,capability,honest-capability-answer,access_control|hr_identity|permit_control|security_incident,What credential transition from temporary to continuing status avoids duplicate active tokens and a service gap?
