qid,role,question,before,after,intent,answer
AC-001,Access-control administrators,Which minimum approved permission package should be prepared for this verified starter on the authorised effective date?,honest,computed,metadata,"The **minimum approved permission package** that should be prepared for a verified starter on the authorised effective date (2026‑01‑01) is:

**APG‑001 – Building core access**

- **Granted to:** All staff and students  
- **Effective from:** 2026‑01‑01 (the authorised effective date)  
- **Time profile:** CORE (24 h access during normal operating hours)  
- **Approval route:** Automatic on enrolment (no manual approval needed)  
- **Controls opening:** Main Entrance  
- **Status:** Active (recordStatus = active)

---

### Quick context

- **Total records:** 20 permission groups  
- **Active groups:** 18 (APG‑001 to APG‑018)  
- **Exception/withdrawn/suspended:** APG‑013 (exception), APG‑019 (withdrawn), APG‑020 (suspended)  

APG‑001 is the base grant that all other groups inherit from, so it represents the minimal set of permissions a new, verified starter should receive on the effective date.

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AC-002,Access-control administrators,"For this role or department transfer, which entitlements are justified to add, retain, remove-candidate or refer to an owner?",honest,computed,metadata,"**Entitlements for a role/department transfer – what to add, keep, drop or hand back to the owner**

| Role / Department | Entitlements to **Add** | Entitlements to **Retain** | Entitlements to **Remove‑Candidate** | Entitlements to **Refer to Owner** |
|-------------------|------------------------|---------------------------|-------------------------------------|-----------------------------------|
| **All staff & students** | – | **APG‑001** – Main Entrance (CORE) | – | – |
| **Academic staff** | **APG‑002** – Main Entrance (EXTENDED) <br> **APG‑007** – Floor 5 Entrance (EXTENDED) | **APG‑001** | – | – |
| **Teaching staff** | **APG‑003** – Floor 1 Entrance (CORE) | **APG‑001** | – | – |
| **Research staff** | **APG‑004** – Floor 2 Entrance (EXTENDED) <br> **APG‑005** – Floor 3 Entrance (EXTENDED) <br> **APG‑006** – Floor 4 Entrance (EXTENDED) | **APG‑001** | – | **APG‑020** – Room 3.06 (suspended, review pending) |
| **Postgraduate researcher** | **APG‑015** – Floor 1 Entrance (EXTENDED) | **APG‑001** | – | – |
| **Estates maintenance** | **APG‑008** – Mechanical Plant Room (H24) <br> **APG‑016** – Roof hatch (ESCORTED) | **APG‑001** | – | – |
| **Security officers** | **APG‑009** – All controlled openings (H24) | **APG‑001** | – | – |
| **Caretaking & cleaning** | **APG‑010** – All floor entrances (CORE) <br> **APG‑017** – Waste compound gate (CORE) | **APG‑001** | – | – |
| **IT infrastructure** | **APG‑018** – Comms Room (H24) | **APG‑001** | – | – |
| **External contractor** | **APG‑011** – Main Entrance (ESCORTED, 08‑01 → 12‑31) <br> **APG‑013** – Lab 2.01 (ESCORTED, 09‑02 → 09‑08) | – | **APG‑019** – Floor 4 Entrance (withdrawn) | **APG‑011** & **APG‑013** (temporary/one‑off – owner approval needed) |
| **Registered visitor** | **APG‑012** – Main Entrance (CORE, event‑only) | – | – | **APG‑012** (only during event – owner approval needed) |
| **Sponsored collaborator** | **APG‑014** – Floor 3 Entrance (CORE, sponsor‑bound) | – | – | **APG‑014** (owner approval for sponsor & end‑date) |

---

### Key take‑aways

* **20 records in total** – 15 are *active*, 1 *exception*, 1 *withdrawn*, 1 *suspended*.
* The **base grant (APG‑001)** is inherited by almost every group; it should always be retained for any role that has a presence in the building.
* **Temporary or exception records** (APG‑011, 012, 013, 014, 019, 020) require a **review by the record owner** before adding or keeping them for a new role.
* **Withdrawn or suspended records** (APG‑019, APG‑020) should be **removed** from the entitlement list unless the owner explicitly reinstates them.
* For **role‑specific access** (e.g., Academic staff, Research staff, IT infrastructure), add the corresponding extended or specialized entitlements and keep the base grant.

If you need a deeper dive into any particular group or want to see the full list of URIs for data queries, just let me know!

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AC-003,Access-control administrators,"How should concurrent staff, student and sponsored-project affiliations be combined without widening access beyond each approved duty?",honest,computed,metadata,"**How to combine staff, student and sponsored‑project access without giving anyone more than their approved duty**

| Step | What to do | Why it keeps access tight |
|------|------------|---------------------------|
| **1. Start with the base grant** | Use **APG‑001 – “Building core access”** (All staff and students, CORE time). | This is the minimal permission everyone gets; nothing else is inherited from it. |
| **2. Add role‑specific extensions** | • **APG‑002 – “Building extended access”** (Academic staff, EXTENDED time).  <br>• **APG‑003 – “Level 1 teaching spaces”** (Teaching staff, CORE).  <br>• **APG‑015 – “Out‑of‑hours study access”** (Postgraduate researcher, EXTENDED). | Each of these inherits from APG‑001, so they only add the extra doors or times that the role is explicitly allowed. |
| **3. Add the sponsored‑project grant** | **APG‑014 – “Sponsored project collaborator”** (Sponsored collaborator, CORE).  <br>It inherits from APG‑001 and is limited by sponsor approval and an end date. | Because it inherits from the same base, it cannot reach doors that the base grant does not allow. |
| **4. Combine the grants for a single person** | • If a person is **staff + student + sponsor**, the system will evaluate *all* applicable grants.  <br>• The **effective permission** is the *intersection* of the door‑access lists and the *union* of the time‑profiles, but only if each grant is *approved* (approvalRoute satisfied). | The intersection rule means a person can only enter a door if *every* grant that applies to them allows it.  The union of time‑profiles ensures they can use the door during any of the approved windows, but never outside them. |
| **5. Use “overriddenBy” to keep limits** | • **FIRE_EVAC** and **LOCKDOWN** are listed on every grant.  <br>• **OUT_OF_HOURS_LAB_HOLD** is on the lab grants. | These overrides automatically deny access when the corresponding event is active, preventing accidental widening during emergencies or out‑of‑hours lab work. |
| **6. Verify with audit** | Check that the combined grant does **not** include any door that is *not* in the base grant or the specific role grants. | If a door appears that isn’t in any of the inherited lists, the configuration is wrong and must be corrected. |

### Quick checklist for administrators

1. **Confirm each grant’s `approvalRoute`** – staff, students, and sponsors must have a valid approval before the grant is active.  
2. **Ensure inheritance is correct** – all role‑specific grants should list `inheritsFrom: APG‑001` (or the appropriate parent).  
3. **Review `overriddenBy`** – make sure emergency overrides are present on every grant that could be used during a lockdown or fire.  
4. **Test a composite user** – create a test account with staff, student, and sponsor roles and run an access simulation to confirm no extra doors are reachable.  

By following this layered, inheritance‑based approach, you combine concurrent affiliations safely: each role contributes only its approved doors and times, and the system’s intersection logic guarantees that no user can access a door unless *every* applicable grant allows it.

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AC-004,Access-control administrators,"Which approved role template, or smallest justified combination, covers duties across these teams and buildings?",honest,failed,capability,"EXTENDED + H24

---
*From Abacws Building's documents: Access Permission Register, Cleaning Task Register, Contract Register. For the current version, contact facility management.*"
AC-005,Access-control administrators,"Is this access request ready for administration, and which accountable owner must supply each missing item?",quoted,computed,metadata,"All 20 access‑permission group records are **ready for administration** – every record contains the mandatory fields (recordStatus, effectiveFrom, recordOwner, owningAuthority, approvalRoute, and overriddenBy).  
No items are missing, so there is no owner that needs to supply additional information.

**Quick snapshot**

| Status | Count | Notes |
|--------|-------|-------|
| **Active** | 15 | Ongoing grants (no end date is required for indefinite access) |
| **Withdrawn** | 1 | APG‑019 – contract ended, kept for audit |
| **Suspended** | 1 | APG‑020 – pending COSHH review until 2026‑09‑09 |
| **Exception** | 1 | APG‑013 – one‑off instrument recalibration (bounded by dates) |
| **Active (with end date)** | 2 | APG‑011 (2026‑12‑31) and APG‑014 (2027‑06‑30) |

**Key take‑away**

- All records have a clear accountable owner (the `recordOwner` field).  
- If you ever need to add an end date to an ongoing grant, the owner listed for that record (e.g., *Access Control Administrator* or the co‑owner such as *Laboratory Manager*, *Estates Duty Manager*, etc.) is responsible for supplying it.  
- No further action is required at this time.

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AC-006,Access-control administrators,"HR or Student Records, the identity platform and the sponsor disagree on status or end date - which conflict blocks processing?",honest,honest,capability,"**Abacws Building's documents do not answer this.** I searched Access Permission Register, Public Event Register, Risk Assessment Register; they are the closest material and none of them contains the answer.

If the answer should be in a document, add or update it — a document carrying record-document front-matter is also lifted into queryable data on ingest. Otherwise the owner of that record holds it."
AC-007,Access-control administrators,"Are all induction, training, competency and area-approval prerequisites effective for the requested restricted-zone interval?",computed,computed,metadata,"**Answer**

Yes – all seven competency‑requirement records are in the **RECORDED** state and are effective from **2025‑08‑31**.  
Because none of them have an expiration date, they are all active for any restricted‑zone interval that starts on or after that date.

---

### Competency requirements (grouped by location)

| Location | Role | Covered Scope | Provider |
|----------|------|---------------|----------|
| **Ceiling voids where asbestos is registered** | contractor | Asbestos awareness (Category A) | Estates Compliance |
| **Cold water storage tanks and risers** | contractor | Confined space entry | Estates Compliance |
| **Basement HV switchroom** | operator | Authorised Person (HV) appointment | Estates Electrical |
| **Level 3 and 4 research laboratories** | researcher | Laboratory induction and COSHH awareness | School Safety Officer |
| **Lift motor rooms** | contractor | Lift engineer competency and permit briefing | Estates Mechanical |
| **Basement plant room** | contractor | Site induction and plant room awareness | Facilities |
| **Roof and roof plant enclosure** | contractor | Working at height, harness and rescue | Estates Compliance |

---

### Key points

- **Total records:** 7  
- **Effective from:** 2025‑08‑31 (all the same)  
- **Roles covered:** contractor (5), operator (1), researcher (1)  
- **No expirations** – all remain valid indefinitely once recorded.

If you need more detail on any specific record or want to check a particular interval, just let me know!

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AC-008,Access-control administrators,"Does this scope genuinely require a formal exception, or can it be met by a narrower approved template?",honest,honest,capability,"**Abacws Building's documents do not answer this.** I searched Access Permission Register, Contract Register, Warranty Register; they are the closest material and none of them contains the answer.

If the answer should be in a document, add or update it — a document carrying record-document front-matter is also lifted into queryable data on ingest. Otherwise the owner of that record holds it."
AC-009,Access-control administrators,"Is this external collaborator case bounded by a verified identity, accountable sponsor, approved purpose, exact zones and hard end date?",quoted,quoted,capability,"Here is what I found for **Abacws Building**:


**Visitor Guest Policy**. Visitor policy for Abacws: (1) All external visitors must sign in at the main reception (Ground Floor) and will be issued a visitor badge; (2) Visitors must be escorted by a Cardiff University member of staff or student at all times; (3) Visitor wifi: use 'CU_Guest' network (self-registration at the portal); (4) For large groups or events, notify Building Management in advance; (5) Contractors and suppliers must check in with Security and complete a building induction. Visitors are not permitted in server rooms, labs, or other restricted areas unless specifically authorised by the area owner.


*Answered live from the building ontology (triples).*"
AC-010,Access-control administrators,"Which records in this new cohort are ready for batch preparation under current rules, and which must be held for individual review?",honest,failed,,
