PID,Stage,Question,machine_domain_l1,machine_query_type_l2,machine_intent,machine_temporal,machine_spatial,machine_complexity,domain_l1,query_type_l2,intent,temporal,spatial,complexity,coder_notes
P72,4,How do you support green spaces or plants in the building?,SUSTAINABILITY,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P85,2,dust levels high,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P46,2,great,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P53,4,"How much energy does the smart building system use from AI, and is it increasing demand and price in the area?",ENERGY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P68,1,What is the temperature in the building,THERMAL,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P86,1,Which is most cool substance on our earth?,THERMAL,COMPARISON,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P72,1,Do you ever get tired?,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P51,3,"We live in your building, and our room is near the EV charging area. How are you monitoring the air quality to ensure we won't get poisoned by toxic off gassing from the batteries?",AIR_QUALITY,STATUS,INFORMATIONAL,REALTIME,ROOM,LOOKUP,,,,,,,
P85,2,noise event,WELLBEING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P79,2,What about employees with an open door policy who like to keep their doors open?,SECURITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P54,4,could the building proactively notice when harmful materials may be used and offer a safer option that is already available?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,,,,,,,
P67,1,how often do you check for safety issues ?,SAFETY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P74,2,Is there motion detected?,OTHER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P93,1,how to stop a child crying,OTHER,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P23,4,when is the most efficient time for me to run my dishwasher?,OTHER,COMPARISON,INFORMATIONAL,STATIC,UNSPECIFIED,AGGREGATION,,,,,,,
P29,3,When i think about many peole i think about breath and dust. How to the filters manage this?,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P79,2,How would the air quality number get high if you are presumably filtering the air before it comes in?,AIR_QUALITY,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
P24,1,"Is there a way to bypass a system, such as a smart system lock, after hours, when it  might be difficult to get the help of IT?",SECURITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,,,,,,,
