PID,Stage,Question,domain_l1,query_type_l2,intent,temporal,spatial,complexity,coder_notes
P72,4,How do you support green spaces or plants in the building?,SUSTAINABILITY,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP,
P85,2,dust levels high,AIR_QUALITY,ANOMALY,DIAGNOSTIC,REALTIME,UNSPECIFIED,LOOKUP,The query implies a concern about current dust levels being too high.
P46,2,great,OTHER,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,The query is off-topic with fewer than 3 meaningful building-related words.
P53,4,"How much energy does the smart building system use from AI, and is it increasing demand and price in the area?",ENERGY,DIAGNOSTIC,DIAGNOSTIC,REALTIME,BUILDING,MULTI_STEP,"The question seeks to understand the impact of AI on energy use and its broader effects, requiring multiple data sources."
P68,1,What is the temperature in the building,THERMAL,STATUS,INFORMATIONAL,REALTIME,BUILDING,LOOKUP,
P86,1,Which is most cool substance on our earth?,OTHER,COMPARISON,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The question is off-topic as it does not relate to building informatics.
P72,1,Do you ever get tired?,OTHER,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,The question is off-topic and not related to building informatics.
P51,3,"We live in your building, and our room is near the EV charging area. How are you monitoring the air quality to ensure we won't get poisoned by toxic off gassing from the batteries?",AIR_QUALITY,CAPABILITY,INFORMATIONAL,REALTIME,ROOM,LOOKUP,
P85,2,noise event,OTHER,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,The query is too vague and lacks context to classify under a specific domain.
P79,2,What about employees with an open door policy who like to keep their doors open?,PRIVACY,DIAGNOSTIC,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The query is more about workplace culture than building informatics.
P54,4,could the building proactively notice when harmful materials may be used and offer a safer option that is already available?,SAFETY,CAPABILITY,PRESCRIPTIVE,PREDICTIVE,BUILDING,MULTI_STEP,The query asks about the building's capability to predictively identify and suggest alternatives for harmful materials.
P67,1,how often do you check for safety issues ?,SAFETY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,
P74,2,Is there motion detected?,SECURITY,STATUS,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP,
P93,1,how to stop a child crying,OTHER,DIAGNOSTIC,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The query is not related to building informatics.
P23,4,when is the most efficient time for me to run my dishwasher?,ENERGY,RECOMMENDATION,PRESCRIPTIVE,PREDICTIVE,UNSPECIFIED,MULTI_STEP,
P29,3,When i think about many peole i think about breath and dust. How to the filters manage this?,AIR_QUALITY,STATUS,INFORMATIONAL,REALTIME,BUILDING,LOOKUP,"The question is about how filters manage air quality, specifically related to breath and dust."
P79,2,How would the air quality number get high if you are presumably filtering the air before it comes in?,AIR_QUALITY,DIAGNOSTIC,DIAGNOSTIC,PREDICTIVE,BUILDING,MULTI_STEP,
P24,1,"Is there a way to bypass a system, such as a smart system lock, after hours, when it  might be difficult to get the help of IT?",SECURITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP,The question is about the capability of bypassing a security system.
