canonical_key,occurrences,kept_question,dropped_question,dropped_username,dropped_qnum
how often do you check for safety issues,13,how often do you check for safety issues ?,how often do you check for safety issues ?,P45,
how often do you check for safety issues,13,how often do you check for safety issues ?,how often do you check for safety issues ?,P45,
how often do you check for safety issues,13,how often do you check for safety issues ?,how often do you check for safety issues ?,P45,
how often do you check for safety issues,13,how often do you check for safety issues ?,how often do you check for safety issues ?,P45,
how often do you check for safety issues,13,how often do you check for safety issues ?,how often do you check for safety issues ?,P45,
how often do you check for safety issues,13,how often do you check for safety issues ?,how often do you check for safety issues ?,P45,
how often do you check for safety issues,13,how often do you check for safety issues ?,how often do you check for safety issues ?,P45,
how often do you check for safety issues,13,how often do you check for safety issues ?,how often do you check for safety issues ?,P45,
how often do you check for safety issues,13,how often do you check for safety issues ?,how often do you check for safety issues ?,P45,
how often do you check for safety issues,13,how often do you check for safety issues ?,how often do you check for safety issues ?,P45,
how often do you check for safety issues,13,how often do you check for safety issues ?,how often do you check for safety issues ?,P45,
how often do you check for safety issues,13,how often do you check for safety issues ?,how often do you check for safety issues ?,P45,
noise level,11,noise level?,noise level?,P56,
noise level,11,noise level?,noise level?,P56,
noise level,11,noise level?,noise level?,P56,
noise level,11,noise level?,noise level?,P51,
noise level,11,noise level?,noise level?,P51,
noise level,11,noise level?,noise level?,P51,
noise level,11,noise level?,noise level?,P51,
noise level,11,noise level?,Noise level?,P49,
noise level,11,noise level?,Noise level?,P49,
noise level,11,noise level?,noise level,P74,
are there any sensors offline that are critical to life safety,8,are there any sensors offline that are critical to life safety?,are there any sensors offline that are critical to life safety,P72,
are there any sensors offline that are critical to life safety,8,are there any sensors offline that are critical to life safety?,are there any sensors offline that are critical to life safety,P63,
are there any sensors offline that are critical to life safety,8,are there any sensors offline that are critical to life safety?,are there any sensors offline that are critical to life safety,P94,
are there any sensors offline that are critical to life safety,8,are there any sensors offline that are critical to life safety?,are there any sensors offline that are critical to life safety,P65,
are there any sensors offline that are critical to life safety,8,are there any sensors offline that are critical to life safety?,are there any sensors offline that are critical to life safety?,P03,
are there any sensors offline that are critical to life safety,8,are there any sensors offline that are critical to life safety?,are there any sensors offline that are critical to life safety?,P62,
are there any sensors offline that are critical to life safety,8,are there any sensors offline that are critical to life safety?,are there any sensors offline that are critical to life safety?,P59,
"during peak pricing hours, which non-critical loads could be delayed",7,"during peak pricing hours, which non-critical loads could be delayed?","during peak pricing hours, which non-critical loads could be delayed",P71,
"during peak pricing hours, which non-critical loads could be delayed",7,"during peak pricing hours, which non-critical loads could be delayed?","during peak pricing hours, which non-critical loads could be delayed?",P64,
