id,order,title,status,needs_gpu,closes,review_ticket,review_cases,v10_item,why_here,acceptance,files,notes
V11-1,1,"The seven W0 questions become permanent probe cases, with final-output assertions",superseded_by_v12,yes,the gate for every routing change below,T02,-,W4-4,Unchanged from the V10 plan: both plans put it first because it gates W2-1.,"All seven cases in scripts/regression_cases.json asserting the FINAL OUTPUT, not the route (review's added requirement). bldg3 leg added. A first-pass failure is reported as a first-pass failure.",scripts/regression_cases.json; docs/V10_LIVE_VERIFICATION.md,SUPERSEDED 2026-09-09 -> V12 G01. The review said the source did not enumerate the seven. They are now listed in docs/V11_PHASE0_INVENTORY.md section 5.
V11-2,2,Publication enforcement — a failed verification must withhold the claim,superseded_by_v12,verify only,R1,T03,"B04, B05",(new — absent from the V10 plan),"Release-gate risk, and VERIFIED OPEN: grounded is read once (_orchestrator.py:5059) and only chooses between agent_memory.store_success and store_failure. It gates publication not at all. This is why BUG-475's fabricated report published while carrying grounded=False, confidence=0.20.","A forced verifier failure cannot publish the affected claim through text, chart OR export. Start narrow: analytics, report, compare, trend. Honest-decline paths untouched.",orchestrator/workflow/_orchestrator.py; orchestrator/agents/verifier_agent.py,"SUPERSEDED 2026-09-09 -> V12 N08. The review is specific that all three output channels must change, not just the text."
V11-3,3,Simulation governance — simulated evidence must not win an operational answer,superseded_by_v12,verify only,R4,T06,B06,(new — absent from the V10 plan),"The largest genuine gap, and WORSE than the review assumed: 3,004 points declared isSimulated true, ZERO declared false, 1,342 silent — so nothing positively asserts measured. scorer.py contains no occurrence of simulated/provenance/admissible/eligible, so a simulated candidate can win; it is only displayed in the dossier table. And provenance is per-STORE (synthetic_lookup(stored_at)), which the review says explicitly cannot enforce it.","Three parts: (1) positive measured provenance so silence stops defaulting to measured; (2) provenance per observation, not per store; (3) admissibility applied in the scorer BEFORE ranking, with the exclusion stated. An attractive simulated candidate cannot win even after transformation; simulated coverage does not inflate measured coverage; the distinction survives into charts and exports.",orchestrator/services/deliberation/scorer.py; dossier.py; plan_executor.py; orchestrator/workflow/_orchestrator.py,"SUPERSEDED 2026-09-09 -> V12 N09. bldg1's wide sensor_data is a real snapshot plus an INTENTIONAL dev top-up (user-confirmed, by design). Do not purge or relabel it — govern its admissibility."
V11-4,4,Typed retrieval outcomes — four kinds of nothing stop collapsing into one,superseded_by_v12,no,R3,T04,"A03, A04, A05, A06",(new — extends BUG-475 / BUG-487 from two lanes to the system),BUG-475 and BUG-487 were point repairs on the report lane and the record registry. The seven-state distinction is systemic and every other lane still says 'no data'.,"NOT_DECLARED / REFERENCE_MISSING / SERIES_UNRESOLVED / BACKEND_UNAVAILABLE / NO_OBSERVATIONS / INSUFFICIENT_QUALITY / ACCESS_RESTRICTED, each seeded deliberately with authorised external wording. Neither an exception wrapper nor the response collector converts a failure into ordinary success.",orchestrator/services/; orchestrator/agents/,"SUPERSEDED 2026-09-09 -> V12 N03. KEEP THE REVIEW'S QUALIFICATION (C08): where an adapter has no series catalogue, an empty result cannot distinguish a broken identifier from an empty window. The honest state is UNKNOWN, not a guess in either direction."
V11-4b,5,A request whose second half went unserved must say so (bounded composition),superseded_by_v12,verify only,the mixed-source misrepresentation,T07,B14,(new — a consequence of W0-2 that the review named),"VERIFIED: _promote_to_capability_from_documents returns immediately unless the intent is in _DOC_OVERRIDABLE. So 'which rooms were stuffy yesterday, and what does the manual say to do?' classifies as a data intent, returns the observations, and the procedure half is never attempted AND never mentioned. Not a regression -- before W0-2 the document lane would have claimed the whole question and answered it from prose, which is worse -- but it is the cost of 'one question, one lane'. Under Gate A's rule of zero known misrepresentation in scope, we either serve both halves or SAY the second was not served.","The cheap honest version first: detect a second, unserved sub-request and state it explicitly. Full composition (evidence per sub-answer) only if the demo scope needs it. The review is clear this must be a SMALL BOUNDED rule, not an autonomous planner.",orchestrator/agents/dialogue_agent.py; orchestrator/services/multi_intent_detector.py,SUPERSEDED 2026-09-09 -> V12 G05. Review p. 5: 'A lane merely claiming a question must not be treated as evidence that the entire request was answered.'
V11-5,6,Manifest-to-renderer contract test (no repair — the defect is already fixed),superseded_by_v12,no,R7 regression,T07,B02,(new),"Phase 0 audited all 37 intents: every node's bus keys are read on the response path, ZERO uncollected. The 'lane computes and the answer is lost' incident (observability, V6-T10) is historical. Applying the review's own rule — do not treat a historical defect as still open — this becomes a test, not a repair.",Fails when a new intent is registered without a collector.,tests/; orchestrator/intents/intent_definitions.yaml,SUPERSEDED 2026-09-09 -> V12 N02. The Phase-0 audit script is most of the implementation.
V11-6,7,"BuildingLexicon into routing, plus BUG-489 claim authority",superseded_by_v12,yes,the last building-shaped vocabulary,(Phase 2),"B01, B13",W2-1 + BUG-489,"MOVED from #2 to #6. Not because it stopped mattering — it is a PORTABILITY improvement while R1 and R4 are RELEASE-GATE risks. A demo whose ranking can be won by simulated data is worse than one with bldg1-shaped regexes. The review places vocabulary in Phase 2, behind the honesty work.","A fixture building with RM-204 rooms and an NO2 modality routes 'NO2 in RM-204' to sensor_data. Consumed ADDITIVELY (generic OR lexicon, never lexicon alone). One rule at a time with the probe between each. Ambiguous-name behaviour defined FIRST (review's added requirement).",orchestrator/services/building_lexicon.py; routing_contract.py; record_registry.py,SUPERSEDED 2026-09-09 -> V12 G06. BUG-489 folded in: a held register matched on a generic word must not outrank an absent one matched on a specific phrase.
V11-7,8,Generate the SPARQL few-shot from the live graph,superseded_by_v12,yes,six prompts teaching Room_5.01,(Phase 2),-,W2-5,"The review kept this CONDITIONAL on inspecting which lanes generate queries and how examples are validated. That inspection is done (V11_PHASE0_INVENTORY section 1): three lanes generate, all validated. So it is unblocked.",A prompt dump on bldg3 contains only bldg3 IRIs; a generated query using ontosage: passes validation. Building-specific examples removed WITHOUT expanding execution privileges.,orchestrator/agents/sparql_agent.py,SUPERSEDED 2026-09-09 -> V12 G07.
V11-8,9,Resolve the requested interval once; forbid downstream re-derivation,superseded_by_v12,no,R2 residual,T05,"A07, A08, A10","(new, scoped down from the review's full request envelope)","SCOPED DOWN deliberately. The review proposes a full versioned request envelope (p. 25) and says it is illustrative. The two failures it was designed to prevent are already fixed (BUG-480 wrong day, BUG-479 row-limit-as-count). Adding a second parallel request object across every lane is the 'parallel framework' the review itself warns against on p. 16. We take the INVARIANT, not the schema.","The query, heading, chart and export all derive their interval from one resolution. The formatter never reinterprets a relative date.",orchestrator/agents/dialogue_agent.py; report_agent.py; analytics_agent.py,SUPERSEDED 2026-09-09 -> V12 N04.
V11-9,10,A held-out evaluation set that is not consulted while fixing anything,superseded_by_v12,yes,the evaluation gap,T09,-,(new),"The most uncomfortable finding of the review. ALL 50 probe cases have been used to tune the implementation — three were re-baselined when they failed. By the review's definition (p. 14) none of them is held-out evidence, and adding more cases to the same set cannot fix that.","A small set drawn from the 4,060-question corpus, versioned, never consulted during a repair. When a case is used to tune, it MOVES to the development set and the held-out set is replenished.",scripts/; paper/Survey analysis and results/,SUPERSEDED 2026-09-09 -> V12 N22. Gate A depends on this: a perfect score on a set used for tuning is evidence about that set.
