fragment,mentions
compliance intent,29
general comfort guidance,28
control plan,18
general comfort thresholds,16
building.yaml/intents.yaml,16
resolve 'here',16
compare intent,15
resolve space,13
latest temperature retrieval,13
resolve/ask location,12
notification,11
confirmation response,11
compare,11
rank areas,10
scope resolution,10
building.yaml,10
resolve meeting room,10
general comfort knowledge,10
capability lookup,10
resolve office,10
building config,10
control planning,9
resolve 'this room',9
intents.yaml,9
feedback monitoring,9
audit,9
general comfort norms,8
live temp/co2/humidity where available,8
user/session context,8
rank rooms,8
rule evaluation,8
control workflow,8
rank,8
response formatter,8
building location lookup,8
conversation/location context,7
threshold evaluation,7
monitoring loop,7
event detection,7
room resolution,7
access-control logs,7
current temperature retrieval,7
resolve workspace,7
mitigation plan,7
general llm comfort knowledge,7
temperature retrieval,7
threshold classification,7
optimisation,7
general humidity comfort guidance,6
causal diagnosis,6
spike detection,6
feature extraction,6
notification/response,6
co2 retrieval,6
floor topology,6
door event retrieval,6
confirmation,6
retrieve latest readings,6
issue summary,6
confirmation/response,6
capability query,6
causal ranking,6
availability check,6
time alignment,6
intent/control routing,6
user-provided current location,6
general llm comfort guidance,6
intent repair,6
per-building config,6
audit log,6
metadata intent,6
resolve server room,6
retrieve available telemetry,5
peak detection,5
rank spaces,5
diagnosis intent,5
route optimisation,5
threshold/rule evaluation,5
compare/rank,5
savings calculation,5
unit conversion,5
intents.yaml/building.yaml,5
map/response,5
system clock,5
compare to threshold,5
capability answer,5
resolve/ask current location,5
typo/intent normalization,5
causal explanation,5
dialogue memory,5
compliance check,5
resolve/ask user location,5
capability/config lookup,5
count,5
planning,5
retrieve current temperature,5
normalization,5
current user utterance,5
intents.yaml/building config,5
availability retrieval,4
explanation,4
scenario parse,4
threshold lookup,4
control-sequence lookup,4
mitigation planning,4
door-state retrieval,4
resolve target room,4
optimisation/planning,4
building config/intents,4
capability/privacy intent,4
building configuration,4
access-log retrieval,4
general ventilation guidance,4
threshold selection,4
general comfort ranges,4
redact sensitive details,4
capability/metadata intent,4
conversation/user location context,4
area resolution,4
comfort scoring/ranking,4
context resolution,4
safety feed retrieval,4
control-loop plan,4
emergency intent,4
resolve terrace,4
room disambiguation,4
retrieve latest rh,4
typo normalization,4
safety intent,4
general h&s knowledge,4
date arithmetic,4
general llm safety guidance,4
system configuration,4
feedback,4
latest-value formatting,4
general llm safety knowledge,4
dialogue/location context,4
metadata/discovery intent,4
resolve/ask current room,4
capability/intent check,4
test-log retrieval,4
existing modelled points connected,3
multi-criteria scoring,3
capability/control planning,3
access event retrieval,3
threshold scoring,3
route generation,3
resolve 'this floor',3
general food-safety knowledge,3
resolve/ask room,3
safety validation,3
ask/default time range,3
standby classification,3
control-rule lookup,3
resolve asker/unit,3
live temp/co2/humidity streams where available,3
scoring/ranking,3
live temperature streams where available,3
live temperature retrieval,3
building.yaml/system config,3
capability/kg query,3
align time series,3
control action,3
capability/control routing,3
discovery/metadata intent,3
coverage summary,3
resolve section,3
rank candidates,3
latest temp/humidity retrieval,3
intent normalization,3
unit normalization,3
availability filter,3
demand retrieval,3
status summary,3
latest temperature read,3
ranking,3
resolve 'this area',3
add inputs/ file,3
postgres,3
severity summary,3
resolve hvac scope,3
retrieve safety reports,3
risk synthesis,3
availability intent,3
general health-threshold knowledge,3
door-event retrieval,3
apply comfort thresholds,3
control/action loop,3
get building location,3
confirm/monitor,3
identify user/zone,3
define safety scope,3
user location/context,3
compliance/threshold rules,3
capability summary,3
comfort scoring,3
general server-room temperature guidance,3
typo/intent resolution,3
latest-state evaluation,3
comfort-band check,3
live temperature/co2/humidity where available,3
retrieve reports,3
site/landscape plans (inputs/ files,3
location resolution,3
synthesis,3
plan interventions,3
planning intent,3
risk scoring,3
savings estimate,3
audit logging,3
bacnet metadata,3
feasibility intent,3
age calculation,3
electrical single-line/o&m files in inputs/,3
floor/room topology,3
hvac topology,3
control dispatch,3
user/location resolution,3
locate user/space,3
lift event retrieval,3
visual summary,3
resolve lobby,3
telemetry/alarm retrieval,3
session room context,3
compare threshold,3
resolve here,3
incident log,3
humidity retrieval,3
store feedback,3
room topology,3
format room table,3
live stream availability metadata,3
general ventilation standards,3
resolve hall,3
