qid,role,question,before,after,intent,answer
AO-004,Academic office occupants,"I will be in Abacws from 10:00 to 15:00. Can you fit in focused work, one meeting and preparation time with realistic walking and setup buffers?",honest_decline,computed,capability,"Yes – you can fit a meeting, focused work and preparation within 10:00‑15:00, with walking/setup buffers.

**Proposed timetable**

| Time | Activity | Room (from register) | Notes |
|------|----------|----------------------|-------|
| 10:00‑10:30 | Meeting | WS‑10 – *Room 2.13 – Meeting Room* | “Mon‑Fri 08:00‑18:00 | Weekday 09:00‑12:00” – available |
| 10:30‑11:00 | Walking / setup buffer | – | – |
| 11:00‑13:00 | Focused work | WS‑13 – *Room 3.05 – Computer Laboratory* | “Open when not timetabled | Mon‑Fri 08:00‑20:00 | Teaching weeks 11:00‑15:00” – available |
| 13:00‑13:30 | Walking / setup buffer | – | – |
| 13:30‑14:15 | Preparation | WS‑13 or WS‑14 – *Room 3.06 – Computer Laboratory* | “Open when not timetabled | Mon‑Fri 08:00‑20:00 | Teaching weeks 11:00‑15:00” – available; weak wireless at far end, wired sockets reliable |
| 14:15‑15:15 | Barriers discussion (scheduled event) | Room 1.04 – Common Area / Atrium | “ACT‑0052‑2 | EVT‑2026‑0052 | Barriers discussion | 2 | 14:15 | 60” – you must finish preparation before this |

All rooms used are free of scheduled events during the proposed times, and the walking/setup buffers give realistic time to move between spaces and set up equipment.

---
*From Abacws Building's documents: Event Activity Register, Workspace Profile Register. For the current version, contact facility management.*"
AO-010,Academic office occupants,"This office is unusually distracting today. What room-level conditions differ from normal, and which authorised alternative is genuinely usable?",honest_decline,computed,metadata,"**Room‑level conditions that are different from the usual “normal” state**

| Room / Area | Current condition (as recorded) |
|-------------|---------------------------------|
| **Room 1.04 Atrium** – public event use | *Maximum 120 standing; egress route must remain clear* |
| **Level 2 research laboratories** – permission group | *Requires COSHH sign‑off in addition to the grant* |
| **Comms room** – IT escort requirement | *Escort must be rostered; night cover is not currently provided* |
| **Roof plant enclosure** – work‑at‑height method | *Permit to work required for every access* |
| **Room 1.06 Computer Laboratory** – Teaching AV standard | *Room 1.06 hearing loop untested since installation* |
| **Room 3.06 Research Laboratory** – COSHH procedure (pending) | *Under review; no entry authorised until a decision is recorded* |

> **Total:** 6 room‑level conditions that deviate from the usual state.

---

### Authorised alternative that is genuinely usable

The only route that has an authorised alternative still in place is the **assisted alternative for the “Reception → Level 2 laboratories” route (RTE‑006)**.  
The approval record states:

> *“Heavy manual fire door at the Level 2 lobby; assisted alternative must be published alongside.”*

This alternative is the only one that is both authorised and currently usable. All other route approvals (RTE‑015, RTE‑016) are either refused or withdrawn, and no other room‑level condition has a published alternative.

---

**Quick recap**

- 6 rooms/areas have conditions that differ from normal.
- The only usable alternative route is the assisted route for RTE‑006 (Reception → Level 2 laboratories).

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AO-012,Academic office occupants,The office feels stuffy even though CO2 is not high. Which other measured conditions could plausibly explain the feeling?,honest_decline,honest,diagnosis,"I understood the question but could not put an answer together for it.

- I read it as a **diagnosis** question.
- The diagnosis lane ran, but returned nothing to report.

That is a gap on my side, not a statement that the building has no such data. Rephrasing with a specific room, floor or date range often reaches a lane that can answer — or ask *""what can you tell me about this building?""* to see what is connected."
AC-002,Access-control administrators,"For this role or department transfer, which entitlements are justified to add, retain, remove-candidate or refer to an owner?",honest_decline,computed,metadata,"**Entitlements for a role/department transfer – what to add, keep, drop or hand back to the owner**

| Category | Entitlement (label) | Location / Opening | Who it’s for | Status | Notes |
|----------|---------------------|--------------------|--------------|--------|-------|
| **Add / Retain** | **APG‑001** – Building core access | Main Entrance | All staff & students | Active | Base grant – keep for everyone. |
| | **APG‑002** – Building extended access | Main Entrance | Academic staff | Active | Requires line‑manager approval. |
| | **APG‑003** – Level 1 teaching spaces | Floor 1 Entrance | Teaching staff | Active | |
| | **APG‑004** – Level 2 research labs | Floor 2 Entrance | Research staff | Active | Lab‑manager + COSHH sign‑off. |
| | **APG‑005** – Level 3 research labs | Floor 3 Entrance | Research staff | Active | Lab‑manager + COSHH sign‑off. |
| | **APG‑006** – Level 4 research labs | Floor 4 Entrance | Research staff | Active | Lab‑manager + COSHH sign‑off. |
| | **APG‑007** – Level 5 academic offices | Floor 5 Entrance | Academic staff | Active | Line‑manager approval. |
| | **APG‑008** – Mechanical plant room | Room 0.04 | Estates maintenance | Active | Permit‑to‑work required. |
| | **APG‑009** – Security patrol | All controlled openings | Security officers | Active | Head of Security approval. |
| | **APG‑010** – Cleaning & caretaking round | All floor entrances | Caretaking & cleaning | Active | Soft‑services supervisor approval. |
| | **APG‑011** – External maintenance contractor – lifts | Main Entrance | External contractor | Active (08‑01 → 12‑31) | Escort & duty‑manager approval. |
| | **APG‑012** – Visitor & event access | Main Entrance | Registered visitor | Active (from 09‑01) | Event‑registration approval. |
| | **APG‑014** – Sponsored project collaborator | Floor 3 Entrance | Sponsored collaborator | Active (07‑01 → 06‑30) | Sponsor + purpose statement. |
| | **APG‑015** – Out‑of‑hours study access | Floor 1 Entrance | Postgraduate researcher | Active | School‑office approval. |
| | **APG‑016** – Roof plant access | Roof hatch | Estates maintenance | Active | Permit‑to‑work & height‑sign‑off. |
| | **APG‑017** – Waste compound | Waste gate | Caretaking & cleaning | Active | Soft‑services supervisor approval. |
| | **APG‑018** – Server & comms room | Room 0.07 | IT infrastructure | Active | IT‑manager approval. |
| **Remove‑Candidate** | **APG‑019** – Decommissioned (old contractor) | Floor 4 Entrance | External contractor | Withdrawn (ended 08‑31) | Drop. |
| | **APG‑020** – Suspended pending review | Room 3.06 | Research staff | Suspended (review → 09‑09) | Drop until review completes. |
| **Exception / One‑off** | **APG‑013** – Instrument recalibration | Room 2.01 | External contractor | Exception (09‑02 → 09‑08) | Will expire; keep only until 09‑08. |
| **Refer to Owner** | **APG‑002** – Line‑manager approval. | | | |
| | **APG‑004, 005, 006** – Lab‑manager + COSHH sign‑off. | | | |
| | **APG‑007** – Line‑manager approval. | | | |
| | **APG‑008** – Permit‑to‑work. | | | |
| | **APG‑009** – Head of Security. | | | |
| | **APG‑010** – Soft‑services supervisor. | | | |
| | **APG‑011** – Escort + duty‑manager. | | | |
| | **APG‑012** – Event registration. | | | |
| | **APG‑013** – Lab‑manager single approval. | | | |
| | **APG‑014** – Sponsor + purpose statement. | | | |
| | **APG‑015** – School‑office. | | | |
| | **APG‑016** – Permit‑to‑work & height‑sign‑off. | | | |
| | **APG‑017** – Soft‑services supervisor. | | | |
| | **APG‑018** – IT‑manager. | | | |

### Quick take‑away
- **17 entitlements** are currently active and should be **added or retained** for the new role/department.  
- **2 entitlements** (APG‑019, APG‑020) are **withdrawn or suspended** – they should be **removed**.  
- **1 entitlement** (APG‑013) is a short‑term exception – keep it only until 2026‑09‑08.  
- **All other active entitlements** require **owner approval** (line manager, lab manager, security head, etc.) – they should be **referenced to the appropriate owner** for final grant.

Let me know if you’d like a deeper dive into any specific group or if you need the approval workflow details for a particular entitlement.

---
**You might also ask:** Show current readings for these sensors? | Compare zones? | Generate a report?"
AI-006,"Accessibility, inclusion, and well-being teams","Which route options avoid only the conditions the person has chosen to state, without turning preferences into a disability profile?",quoted,quoted,capability,"Here is what I found for **Abacws Building**:


**Accessibility**. The building is fully accessible: (1) Step-free access at the main entrance and all secondary entrances; (2) Passenger lifts on the main atrium serve all floors; (3) Accessible toilets on every floor; (4) Hearing induction loops at reception and main lecture spaces; (5) Accessible parking bays on Senghennydd Road (blue badge required); (6) Refuge areas at each stairwell landing for evacuation assistance. For disability-related queries, contact the Disability and Dyslexia Service (disability@cardiff.ac.uk).


*Answered live from the building ontology (triples).*"
AD-001,Architects and building designers,"Which brief items can we freeze now, which remain measurable targets, and which assumptions need a named client decision before the next stage gate?",honest_decline,computed,capability,"Freeze now:  
- SUS‑ENERGY‑2027 (status On track)  
- SUS‑WATER‑2028 (status On track)  
- SUS‑WASTE‑2027 (status On track)

Remain measurable targets:  
- SUS‑CARBON‑2030 (status At risk)  
- SUS‑GAS‑2026 (status At risk)

Assumptions needing a named client decision:  
- Any cost line flagged with `coding_check` – none are shown in the supplied register.

---
*From Abacws Building's documents: Cost Line Register, Sustainability Targets. For the current version, contact facility management.*

**Boundary: not declared.** I can't say what this figure covers — the meter behind it has no `ontosage:meterServes` in the ontology. Declaring the meter's boundary and allocation method would let every energy answer state it."
AU-002,Auditors and certification assessors,"Which standard or scheme edition, amendments, transition provisions and clause set apply to each in-scope requirement on its effective date?",honest_decline,honest,capability,"**Abacws Building's documents do not answer this.** I searched Approval Evidence Register, Contract Register, Sustainability Targets; they are the closest material and none of them contains the answer.

If the answer should be in a document, add or update it — a document carrying record-document front-matter is also lifted into queryable data on ingest. Otherwise the owner of that record holds it."
SU-004,"Energy, carbon, and sustainability teams","Which utility or end-use profiles show a persistent step change, drift or repeating anomaly that merits a meter, controls or asset check?",honest_decline,computed,capability,"Air Handling Unit - Floor 0 (AEP-001), Air Handling Unit - Floor 1 (AEP-002)

---
*From Abacws Building's documents: Asset Engineering Register, Maintenance Log. For the current version, contact facility management.*"
SU-006,"Energy, carbon, and sustainability teams","After weather and service-hours adjustment, is gas or delivered heat changing materially, and which plant or control hypothesis should be tested first?",quoted,quoted,capability,"Here is what I found for **Abacws Building**:


**Smart Controls**. Building systems currently running in automated mode: (1) HVAC — zone-based climate control with automatic setpoint adjustment based on occupancy schedules and sensor feedback; (2) Lighting — presence-detection and daylight harvesting across all open-plan areas, switching off automatically when unoccupied; (3) Ventilation — CO2-driven demand-controlled ventilation adjusts fresh air supply automatically; (4) Security — access control, CCTV, and door locks operate on automated schedules. The building uses a BMS (Building Management System) for centralised monitoring and control. Occupants cannot directly adjust automated settings; facility management staff control setpoints via the BMS. For lighting or HVAC control requests, contact facility management (estates@cardiff.ac.uk).

**Working Hours**. Standard building hours: Monday–Friday 07:00–22:00; Saturday–Sunday 08:00–18:00. The building may open earlier or close later during exam periods. Out-of-hours access (after standard hours) is available to authorised staff and registered postgraduate students with appropriate card access. The building is generally closed on bank holidays except for security-monitored access. Check the Cardiff University website for holiday opening schedules.


From the full policy document (**hvac_operation.md**):

--- record_type: operating_regime owner: ""M and E Maintenance Supervisor"" authority: ""Cardiff University Estates - Building Management System"" source_system: ""Operating Regime Register"" effective_from: 2026-09-01 version: ""2026.9"" review_due: 2027-03-01 simulated: true tables: - name: ""Operating regime register"" maps_to: operating_regimes --- # Operating Regime Register - Abacws Building _**Synthetic demonstration record** - fictional setpoints, not a live BMS export._ ## What this makes answerable > *""Which HVAC assets operate beyond approved service windows, and is each exception > justified by safety, frost protection or specialist requirement?""* That question cannot be answered by a reading. A reading says what **is**. This register says what is **supposed to be**, and only the pair together turns a deviation into a fault. **`approved_exception` is the load-bearing column.** Without it every legitimate deviation reads as a fault - the Level 2 laboratories running 24/7, the server room with no night setback, the chilled water system enabled outside the cooling season. That is exactly how an alarm list becomes noise and then gets ignored. Two rows record a limit on their own verifiability rather than hiding it: REG-004 is under review because the unit serving it delivers 78% of its commissioned duty, and REG-006 cannot be verified at all because no flow measurement is fitted to that AHU. ## Operating regime register | code | system | scope | occupied_setpoint | unoccupied_setpoint | operating_window | seasonal_changeover | approved_exception | owner | status | note | |---|---|---|---|---|---|---|---|---|---|---| | REG-001 | AHU Floor 0 supply air | Ground floor teaching and reception | 21 degC +/- 1.5, CO2 below 1000 ppm | 16 degC frost protection only | Mon-Fri 07:00-19:00 | Heating 01 Oct to 30 Apr; cooling 01 May to 30 Sep | Runs to 22:00 on published open days | BMS-HVAC operators | Active | | | REG-002 | AHU Floor 1 supply air | Level 1 computer laboratories and atrium | 21 degC +/- 1.5, CO2 below 1000 ppm | 16 degC frost protection only | Mon-Fri 07:00-20:00 | Heating 01 Oct to 30 Apr; cooling 01 May to 30 Sep | Extended to 22:00 during assessment weeks, approved by the School | BMS-HVAC operators | Active | Longer window than other floors because the labs are open until 20:00 | | REG-003 | AHU Floor 2 supply air | Level 2 research laboratories | 21 degC +/- 1.0, CO2 below 900 ppm | 18 degC continuous |


*Answered live from the building ontology (triples) + document hvac_operation.md.*"
MC-001,External maintenance contractors,"Is the visit ready to mobilise, and what must our crew resolve or bring before travelling?",honest_decline,honest,capability,"**Abacws Building's documents do not answer this.** I searched Accessible Route Register; they are the closest material and none of them contains the answer.

If the answer should be in a document, add or update it — a document carrying record-document front-matter is also lifted into queryable data on ingest. Otherwise the owner of that record holds it."
