component,status,covered_by,mentions,rows_touched,pct_of_nonGK_rows,example_questions
ontology / knowledge graph / SPARQL,EXISTING,already implemented,21442,5141,96.2,can the building measure how greenery impact occupant satisfaction? || are there features that promote interaction with green or natural elements?
dialogue / intent / clarification,EXISTING,already implemented,10535,5345,100.0,can the building measure how greenery impact occupant satisfaction? || are there features that promote interaction with green or natural elements?
time-series store / retrieval,EXISTING,already implemented,7683,3286,61.5,how does the building support water conservation during peak usage? || can water usage patterns help identify inefficiencies in specific areas?
LLM answer / response formatting,EXISTING,already implemented,6622,5213,97.5,can the building measure how greenery impact occupant satisfaction? || are there features that promote interaction with green or natural elements?
analytics sandbox (stats/corr/anomaly),EXISTING,already implemented,5913,3307,61.9,can the building measure how greenery impact occupant satisfaction? || how does the building support water conservation during peak usage?
generic external-feed framework,PLANNED,T12-T13,5492,3166,59.2,can the building measure how greenery impact occupant satisfaction? || how does the building support water conservation during peak usage?
capability KB (Qdrant),EXISTING,already implemented,5472,2643,49.4,can the building measure how greenery impact occupant satisfaction? || are there features that promote interaction with green or natural elements?
floor-plan / spatial reasoning,EXISTING,already implemented,3445,1574,29.4,are there features that promote interaction with green or natural elements? || can water usage patterns help identify inefficiencies in specific areas?
visualisation,EXISTING,already implemented,2765,1741,32.6,can the building measure how greenery impact occupant satisfaction? || how does the building support water conservation during peak usage?
LangGraph orchestration / planner,EXISTING,already implemented,2613,2558,47.8,how does the building respond to sudden increases in indoor pollutants? || are there controls to reduce cooling when outdoor temperatures are lower?
BMS actuation / write-back,PLANNED,T23-T25,1663,851,15.9,how does the building respond to sudden increases in indoor pollutants? || are there controls to reduce cooling when outdoor temperatures are lower?
RBAC / auth,EXISTING,already implemented,1476,794,14.9,can the building automatically optimize energy use during weekends or holidays? || can the building suggest a workspace based on my past preferences?
live streams floors 0-4,PLANNED,T10-T11,1453,827,15.5,how does the building maintain consistent comfort during weather changes? || are there pollutant sources identified within indoor spaces?
occupancy sensing,PLANNED,T16,1077,830,15.5,can the building measure how greenery impact occupant satisfaction? || how does the building support water conservation during peak usage?
document KB (policies/SOPs/manuals),PLANNED,T08,1071,661,12.4,can the building adjust settings automatically based on occupancy changes? || are there any areas where windows have been left open unintentionally?
report intake (fault/complaint),EXISTING,already implemented,976,452,8.5,are there any warnings related to equipment overheating nearby? || are there any accessibility issues reported in this zone?
ECA rules / standing alerts,PLANNED,T20-T22,920,584,10.9,are there systems to ensure safe drinking water quality at all times? || can the building automatically optimize energy use during weekends or holidays?
weather feed,PLANNED,T14,843,469,8.8,are there controls to reduce cooling when outdoor temperatures are lower? || can the building automatically optimize energy use during weekends or holidays?
