turn,phase,title,status,depends_on,effort,objective,why,alternatives_rejected,building_agnostic_how,key_steps,files,input_files,acceptance_criteria,verify,notes
V6-T01,P0-Contract,EvidenceRecord model + six-status taxonomy,done,,M,"One Pydantic EvidenceRecord carrying the Master Report's 11 fields, and an AnswerStatus enum with exactly six members: Observed, Calculated, Inferred, Predicted, Recommended, NotAssessable.","Master Table 16 and 12.1 are the documents' central demand and neither exists in code — grepping the six status names across orchestrator/ returns only unrelated docstring prose. Every other V6 task writes into this structure, so it has to be first.","A free-text provenance string (unverifiable and ungradeable); reusing DossierEvidenceRow as-is (it is ranking-shaped: it assumes a space/modality/value triple and has no place for calibration, latest-evidence time, or access restriction).","A schema, not content. Field names are universal; every value is populated from the active building's own graph and registry at runtime.","1) Define AnswerStatus + EvidenceRecord in shared/models.py. 2) Fields: interpreted_location, spatial_scope, requested_period, sources_used, latest_evidence_at, retrieved_at, derivation (observation|calculation|inference|forecast), calibration_state, completeness, spatial_adequacy, analysis_method, comparison_baseline, uncertainty, thresholds_applied, access_restrictions, omitted_criteria. 3) Map each field to its Master Report clause in the docstring.",shared/models.py; orchestrator/services/evidence/__init__.py,none,"Model imports clean; every field traces to a numbered Master Report clause in its docstring; round-trips to JSON; 6 statuses exactly, no more.","Unit tests over construction, JSON round-trip, and enum completeness.","MVP-1. Read IMPROVEMENT_PLAN_V6 §3 D-1 before changing the shape. [DONE 2026-08-21] EvidenceRecord + AnswerStatus(6) + Operation(7) + SpatialAdequacy(4) + OmissionReason(5) + OmittedCriterion + EvidenceSource in shared/models.py; 21 fields covering all 11 Master 12.1 groups. Defaults FAIL CLOSED to not_assessable. 14 tests in tests/test_evidence_record.py incl. exact 6-member taxonomy, JSON round-trip, simulated-provenance (None != real), and gates_applied as the tightening-vs-regression discriminator."
V6-T02,P0-Contract,Single chokepoint: every lane emits status + record,done,V6-T01,L,"Assemble the EvidenceRecord once in _response_node from what each lane left on the state bus, so sparql, sql, analytics, forecast, deliberate, events, register, capability, spatial and floor_plan all produce one.",The dossier proves the idea works but only on the deliberate lane; the other nine answer with no comparable record. A universal contract is also the only way the acceptance scenarios can be checked mechanically rather than by reading prose.,Per-lane record assembly — BUG-210 in this repo was exactly that: two copies of one step drifting until identical inputs gave different results depending which path ran. Nine copies would reproduce it nine times.,"Assembly reads only the state bus and the building context; no lane, space or modality is named in code.",1) Reserve intermediate_results['evidence'] as a lane-writable partial. 2) Assemble + validate at the chokepoint; a lane that writes nothing yields status NotAssessable with reason 'lane emitted no evidence' rather than silently passing. 3) Attach to the API response and persist with the turn.,orchestrator/workflow/_orchestrator.py::_response_node; orchestrator/services/evidence/assemble.py,none,All 10 lanes emit a record; a lane emitting nothing fails closed; record present on /chat and /v1/chat/completions responses; no lane writes another lane's reserved key.,Live probe one question per lane; assert record present and status set.,"MVP-2. Follow .claude/rules/agent-patterns.md reserved-key discipline. [2026-08-21] WRITTEN, NOT YET DEPLOYED (deploying would rebuild the container and poison the running baseline). orchestrator/services/evidence/assemble.py + hook in _response_node + evidence_record surfaced on /chat and the websocket. ONE assembler for all 10 lanes: BUG-210 was two copies of a single step drifting until identical inputs gave different results depending which path ran, so ten copies would reproduce that ten times with every drift invisible. A lane emitting nothing yields NOT_ASSESSABLE WITH A REASON - silence is never read as success, which is what makes the chokepoint safe to add ahead of lanes that do not populate it. Assembly can never break an answer (hostile-bus test). evidence_record is a SEPARATE key from V4's evidence dossier: merging them would make an absent dossier indistinguishable from an absent record. 25 tests. Deploy + live-verify the moment the baseline completes. [2026-08-22] DONE, and it was NOT done before: deployed-and-reported-working hid three broken lanes. All four acceptance criteria now verified LIVE with scripts/probe_evidence_lanes.py. (1) Ten distinct lanes exercised -- analytics, capability, deliberate, discovery, events, floor_plan, register, sensor_data, spatial_query, trend -- all ten carrying a record with a status, operations correctly differentiated across authoritative_lookup / observation / calculation / forecast / recommendation. (2) Fails closed: verified live when a lane outside the ten (report intake) produced NOT_ASSESSABLE with a reason. (3) Record on /chat AND /v1/chat/completions as ontosage_evidence_record -- it was missing from /v1 entirely, the endpoint every OpenAI-compatible client uses. (4) Reserved-key discipline restored: the spatial lane was writing floor_plan_result. DEFECTS FOUND AND FIXED: BUG-227 (the lane table named keys the pipeline never writes, so sparql and sql could never be identified -- and the unit tests shared the same wrong names, so everything agreed and nothing was right), BUG-228 (the discovery census answered from the graph and declared no lane, so a correct answer was recorded as unsupported). TODO-229 logged: report intake is an eleventh lane whose evidence semantics belong to T23, not forced into a category here to make a probe green. The probe itself was wrong twice before it was right -- first reporting 10/10 while exercising only four intents -- so it now reports DISTINCT LANES EXERCISED, which is the number that evidences the criterion."
V6-T03,P0-Contract,Operation labelling + observed-at / retrieved-at,done,V6-T02,M,Label every answer's operation (observation | authoritative lookup | calculation | estimate | forecast | diagnosis | recommendation) and carry both the time the evidence was observed and the time it was retrieved.,"Rule R-2, stated in all six stakeholder catalogues, and the PhD catalogue's 'never blur them together in one figure'. Without observed-at, 'stale evidence is not current status' (PGT) cannot be enforced at all — which is the prerequisite for the whole of P3.",Inferring the operation from the intent name (intents and operations are not 1:1 — the same sensor_data intent yields an observation for 'what is it now' and a calculation for 'what was the average'); LLM self-labelling (unverifiable).,"Operation is derived from the lane and whether an aggregate ran; observed_at comes from the adapter row, so any backend or building yields it.","1) Derive the operation from the lane + whether an aggregate was applied. 2) Thread observed_at from the adapter row timestamp, not from query time. 3) Render both times in the answer footer.",orchestrator/services/evidence/assemble.py; orchestrator/services/adapters/*.py,none,Operation label correct for one canonical question per operation type; observed_at comes from the data row and differs from retrieved_at on a stale series.,Unit tests per operation type + a live stale-series probe.,"MVP-3. [DONE 2026-08-22] Operation labelling was ALREADY complete -- every lane in _LANE_SEMANTICS maps to the act it performed, and all seven Operation values are reachable except ESTIMATE, which has no lane. The other half was not done, in the worst way: `observed_at` and `latest_evidence_at` existed, were documented, were read by the freshness gate, and were NEVER WRITTEN. `_sources_from` set no observation time, so latest_evidence_at was always None and nothing in the system could tell a reading taken a minute ago from one taken seven weeks ago -- the record's own docstring says 'without both, stale evidence is not current status cannot be enforced at all', which was the literal state. Not academic on this building: 2,796 of 2,796 declared sensors have rows and 683 report inside 24 h (CAVEAT-233). FIXED by deriving it from the rows the data lanes already return, not from the adapters -- one implementation covers MySQL wide and narrow, Postgres, Timescale and Cassandra alike, and a new backend stays a new adapter with no edits here. Three ways this could have been dishonest, one test each: an all-null wide-table row is not an observation (counting it would date a silent sensor to whenever ANY sensor last reported -- CAVEAT-233's per-table illusion rebuilt inside the record); a naive timestamp is localised to the BUILDING's timezone, not assumed UTC (which would invent an hour of freshness in Europe/London for half the year); and a future timestamp is a schedule, not an observation, with a 5-minute clock-skew allowance. 10 tests in tests/test_observed_at.py. Full suite 2,614 pass."
V6-T04,P0-Contract,config/evidence_policy.yaml + per-building overlay,done,V6-T01,M,"Declare freshness, completeness, source-agreement and consequence thresholds as cited policy, with a global default and an optional per-building overlay.","The catalogues state live<=5 min, 1-minute records and >=90% window completeness — but those are this estate's numbers. Design contract #3 forbids building literals in code, and a building sampling at a different cadence would be misgraded by a hardcoded floor.","Hardcoding 5 min / 90% (misgrades any differently-sampled building); per-building only with no default (a new building would have no gate at all — absence must fail safe, not fail open).",Thresholds live in config with a global default and a per-building overlay - the same optional-by-absence pattern as feeds/rules/channels. No number in code.,"1) Author config/evidence_policy.yaml with per-modality freshness, completeness floor, agreement tolerance, and a citation field per threshold. 2) Overlay loader merging input/evidence_policy.yaml. 3) Validator in services/input_validators.py, optional-by-absence.",config/evidence_policy.yaml; orchestrator/services/evidence/policy.py; services/input_validators.py,input/evidence_policy.yaml (optional overlay),Defaults load with citations; overlay merges; a missing overlay leaves defaults in force; an invalid overlay warns and does not crash startup.,Unit tests incl. overlay merge + malformed-file tolerance.,"MVP-4. Same optional-by-absence pattern as feeds/rules/channels. [DONE 2026-08-21] config/evidence_policy.yaml (freshness per modality, completeness floor, agreement tolerances, spatial-adequacy per scope, 3 consequence classes, gate modes) + orchestrator/services/evidence/policy.py loader with key-wise overlay merge + validate_evidence_policy_yaml wired into validate_building_input. EVERY threshold carries a citation to its Master Report clause or catalogue. 18 tests: overlay narrows one modality without deleting twelve; malformed/non-mapping overlay ignored (fail safe); unknown shape defaults to informational; ALL gates ship advisory. Validator catches the realistic mistakes: typo'd gate name, 90-vs-0.90, negative age."
V6-T05,P0-Contract,Complete the category gap sweep (21 remaining),done,,L,"Finish the verified gap analysis for the 21 question-bank categories not yet analysed, in the same shape as tasks/v6/extract_gaps.json.","Only 3 of 24 categories were analysed before the model session limit; those three produced 19 findings and TWO entirely missing domains (waste, and recurring time-of-day windows). Planning on 3/24 and calling the task list complete would be exactly the overconfidence this plan argues against.","Skipping it and planning from the stakeholder docs alone — the docs are architectural and would not have surfaced 'sql_agent supports no HOUR() predicate', which blocks several categories at once.","Analysis only; produces findings, no code. Each finding must state its own agnostic mechanism before becoming a task.",1) Run the gap agents per remaining category group. 2) Every covered/partial claim verified by grep against a real file:line. 3) Merge into extract_gaps.json; append newly-found work to P9.,tasks/v6/extract_gaps.json,none,24/24 categories analysed; every finding carries file:line evidence or a stated negative search; new tasks appended to the tracker with rationale.,Spot-verify 10 randomly chosen 'covered' claims against the code.,"Expect this to GROW P9. The 53-task count is a floor, not an estimate. [DONE 2026-08-21] 24/24 categories analysed. 19 -> 115 verified findings in tasks/v6/extract_gaps.json (51 partial, 59 missing, 5 covered; 75 M / 25 S / 15 L). Second sweep ran 7 agents cleanly (0 errors) after tightening prompts and telling agents to trust the inventory as a map and spot-verify only what their findings depend on - the first attempt burned 2M tokens and hit session limits on 60-86 tool calls per agent. Every finding carries file:line evidence or a stated negative search."
V6-T06,P1-Observability,OCBV sensor-metadata TBox (Master Table 14),done,,M,"Extend the OntoSage TBox with the Master Report's minimum sensor metadata: calibration date/method/reference, quality flag, fault state, missing-data rate, mounting height, environmental boundary, sampling/transmission/archival intervals, and access classification.","Verified absent: grepping all three buildings' TTL plus ontology/ for calibration/drift/qualityFlag/mountingHeight finds two prose mentions and no property. Without it, R-6 and R-12 cannot be enforced and acceptance test 7 ('standards question without calibrated evidence') cannot pass.","A sensor_quality.yaml sidecar — a second source of truth about the same sensors, guaranteed to drift from the TTL, and unreachable from SPARQL where the gates need it (design contract #2).","A TBox extension: shared vocabulary, per-building instances. Buildings that author none degrade to 'calibration unknown', never to an assumed default.","1) Add ontosage: properties to ontology/ontosage_schema.ttl. 2) Reuse Brick/ref: terms where they exist; mint under ontosage: only where they do not, following the noise-modality precedent. 3) Document each property with its Master Report clause. 4) Author for one building as the worked example.",ontology/ontosage_schema.ttl,"input/<id>_sensor_metadata.ttl (new, optional)","TBox validates; properties resolvable by SPARQL; a building that authors none degrades to an honest 'calibration state unknown', never to an assumed-good default.",SPARQL probe against a building with the metadata authored.,"TTL-first. Editable through the existing admin Ontology tab with no new UI. [DONE 2026-08-21] Module M appended to ontology/ontosage_schema.ttl: 17 terms covering Master Table 14 (calibratedOn/Method/DueOn, qualityFlag, faultState, mountingHeightM, environmentalBoundary, the three clocks sampling/transmission/archival, accessClassification) plus ConfigurationPeriod + effectiveFrom/To + configurationChange + periodLocation for V6-T07. TBox parses at 970 triples. 25 tests pin: environmentalBoundary is NOT containment (a duct/plenum/corridor sensor's containing space is not what it measures), the three clocks stay three properties (freshness judges transmission, completeness derives from archival), absent effectiveTo means still-in-force, and absent calibration means UNKNOWN not fine. No building literal in the shared TBox. [AUDIT 2026-08-23] TBox only. Instance count in the live graph for every term this turn defined: ZERO (calibratedOn, qualityState, faultState, three clocks, environmentalBoundary, zoneValidated, accessTier, mountingHeightM...). The schema is necessary and was never sufficient; no task owned authoring the ABox — that is T65 now."
V6-T07,P1-Observability,Effective-dated sensor location and configuration history,done,V6-T06,L,"Make sensor-to-space binding and configuration temporally valid, so an observation is interpreted against the location and calibration in force when it was collected.","Acceptance test 3 verbatim: move a sensor in metadata and historical observations must stay linked to the correct prior location. Also R-14 — otherwise a relocation reads as a step change in the building's behaviour, and a trend answer is silently wrong.",Versioned TTL files per date (unqueryable — you cannot ask 'where was this sensor in March' across file versions); ignoring history and accepting the distortion (this is the documented failure).,Validity intervals are a property of any sensor-space relation; the as-of resolution is generic graph traversal with no building-specific path.,"1) Model validity intervals on the sensor-space relation. 2) Resolve the binding as-of the query window, not as-of now. 3) Flag any window that spans a relocation or recalibration boundary.",ontology/ontosage_schema.ttl; orchestrator/services/evidence/history.py; agents/sql_agent.py,input/<id>_sensor_metadata.ttl,A window spanning a relocation is flagged; an as-of query returns the historical location; a trend across a recalibration says so.,Fixture with a relocated sensor; assert the flag and the as-of binding.,"Acceptance scenario 3. [DONE 2026-08-21] orchestrator/services/evidence/history.py: location_as_of() resolves a reading against the ConfigurationPeriod in force WHEN IT WAS TAKEN (acceptance scenario 3 - move a sensor, March's readings still say March's room); check_window() finds configuration changes inside a window and splits around them. A window spanning a change is FLAGGED, NOT REFUSED - refusing every trend across a recalibration would discard the long-horizon questions the PhD/Research Staff catalogues care most about. Segments under MIN_SEGMENT_HOURS=48 are not offered as comparable (a fragment cannot characterise a daily cycle). A reading predating any declared period resolves to None, never to the current location. 15 tests. [AUDIT 2026-08-23] Marked done with acceptance criteria about live behaviour, and the live pipeline never imports this module — reachability audit found only tests and the evidence package's own __init__ referencing it: sql_agent has 0 references; forecast_agent's 4 'history' hits are the pre-existing n_history_points variable. TBox terms effectiveFrom/effectiveTo also have ZERO instances in any graph, so scenario 3 has nothing to run against. Rewire in Wave A; instances in T65. [PARTIAL 2026-08-23] trend-integrity consumption wired via T42; the HISTORY FETCH (effectiveFrom/To periods from the graph) and sql-lane attribution of readings to prior locations remain unwired — and zero instances exist (T65). [WIRED+LIVE 2026-08-25] The arithmetic was correct since 2026-08-21 and INERT behind two dormant defects in series: nothing wrote the `_config_periods` bus key assemble._configuration_periods reads, and that reader built ConfigurationPeriod(subject=...) against a dataclass with no such field -- a TypeError its own except would have swallowed the moment data appeared. Either alone was enough; together they looked exactly like a working feature. NOW: _load_configuration_periods runs BEFORE the record is assembled, so the evidence record and the user-facing caveat read the SAME periods (computing it twice is how two views of one fact drift). scripts/provision_configuration_history.py wrote 2,205 periods from MEASURED earliest observations -- a commissioning date nobody recorded cannot be recovered, and inventing a plausible one misattributes readings exactly the way a missing one does while looking authoritative. 522 points with no observation get NO period, so location_as_of returns None for them rather than assuming the current room. 22 tests including six reachability assertions."
V6-T08,P1-Observability,Sensor health and quality service,done,V6-T06,M,"Compute per-sensor latest-observation time, missing-data rate over a window, drift versus comparable sensors, and a fault flag — as live state, not authored assertion.",Master 10.1 requires automated drift detection and explicit missingness reporting in every analysis. Authored calibration alone cannot tell you a sensor died last Tuesday.,Trusting authored quality flags only (goes stale immediately); a separate monitoring stack (design contract #11 — the whole system must come up with docker-compose up -d).,"Health is computed from each sensor's own history and from its OWN comparable set (same class, co-located) - no cross-building or hardcoded baseline.","1) Service computing health per uuid from the adapter. 2) Drift = deviation from the median of comparable co-located/same-class sensors, with n and a stated tolerance. 3) Cache; expose via admin API.",orchestrator/services/evidence/sensor_health.py; orchestrator/main.py,none,Health computed for every uuid with rows; a dead sensor shows a stale latest-observation; a biased sensor shows drift with n and tolerance stated.,Live probe on bldg2 + unit tests on synthetic drift.,"Feeds the freshness gate (T16) and the conflict detector (T18). [DONE 2026-08-21] orchestrator/services/evidence/sensor_health.py: assess_sensor() computes state (healthy/stale/drifting/no_data/unknown), latest observation, age, missing rate and peer drift from the READINGS - deliberately separate from authored metadata, because the two disagree usefully (an operator may know a sensor is faulty before the data shows it). Drift is judged against PEERS, never an absolute band, because an absolute band cannot separate a drifting sensor from a genuinely warm room. Median not mean, so one railed peer cannot invert the verdict. MIN_PEERS_FOR_DRIFT=2: with one peer nothing says which sensor moved. STALE takes precedence over DRIFTING, or someone recalibrates an instrument that has merely stopped reporting. UNKNOWN is explicitly NOT usable. 20 tests (shared file with T18). [AUDIT 2026-08-23] Marked done with acceptance criteria about live behaviour, and the live pipeline never imports this module — reachability audit found only tests and the evidence package's own __init__ referencing it: main.py has 0 references — no endpoint exists and nothing feeds calibration_state onto evidence sources. qualityState/faultState/calibratedOn all have zero instances (T65). [WIRED+LIVE 2026-08-23, Wave A] GET /api/v1/admin/sensors/health — per-stream state over the narrow stores via one MAX(datetime) GROUP BY uuid per store, assessed by sensor_health against policy age limits. LIVE: 2,035 assessed — 1,464 stale, 571 unknown, 0 no_data. The wide store is declared 'not probed per sensor' rather than guessed; drift (needs peer values) and calibration (needs T65 TTL) named as not-assessed in the payload."
V6-T09,P1-Observability,Question-to-Observability Matrix generator,done,"V6-T06,V6-T08",L,"Generate, per building, the Master Report's central artefact: for each question shape, the required variables, spatial coverage, cadence, non-sensor context, quality conditions, access level and abstention rule — and whether this building satisfies them.",Master 13.1 calls it the artefact that 'prevents the project from claiming capabilities that the physical deployment cannot support'. It is also the deliverable that makes the 6%/63%/31% split legible to supervisors instead of embarrassing.,"A hand-maintained spreadsheet (stale the moment a sensor is added); reporting only aggregate coverage (hides which specific evidence is missing, which is the actionable part).",Required evidence comes from the shape registry and evidence policy; satisfaction is checked against whatever the active building's graph and registry hold.,"1) Derive required evidence per question shape from the shape registry + evidence policy. 2) Check each against the live graph, registry and health service. 3) Emit CSV + Markdown per building.",scripts/build_observability_matrix.py; orchestrator/services/evidence/matrix.py,none,Matrix generated for all three buildings; every row states satisfied/unsatisfied with the specific missing element; regenerating after connecting a source flips the affected rows.,Generate for bldg1/2/3; verify a known-missing modality shows unsatisfied with the right reason.,"Extends services/onboarding_report.py::build_unlock_report rather than replacing it. [DONE 2026-08-24, Wave C] orchestrator/services/evidence/matrix.py (pure requirement model) + scripts/build_observability_matrix.py (read-only gatherer, SPARQL + config, never writes). REQUIREMENTS ARE DERIVED, NOT LISTED: shapes come from the intent registry including per-building overlays, thresholds from evidence_policy, modalities from the building's own modality config, satisfaction from its own graph — so regenerating after connecting a source flips exactly the affected rows, and there is no fourth place where the vocabulary is restated. LIVE on bldg1: 303 spaces, 22 instrumented modalities, 35 shapes -> 20 satisfied / 15 unsatisfied, with causes reported SEPARATELY and never summed: 22 partial-coverage, 6 no-calibration, 5 no-authoritative-system, 1 no-cadence, 0 no-sensor. Each row names the specific missing element ('co2: only 92% of spaces have an in-room sensor'; 'no actuation gateway is connected'), because installing a sensor, declaring a cadence, connecting a booking system and commissioning a calibration are four different jobs for different people. ONE DEFECT FOUND AND FIXED IN THE FIRST RUN: calibration was checked as any-of ('does any point of this modality declare one'), which reported ZERO calibration gaps — one commissioned instrument vouching for a whole building's standards claims. Made share-based like coverage; six real gaps appeared. Artifacts: scripts/outputs/OBSERVABILITY_MATRIX_bldg1.{md,csv}. 11 tests. OWED: the three-building run (T51/T52 need a swap) and connected_systems is hardcoded empty — honest today since nothing declares a booking or access system, but it must read a registry once P4's adapters land. [CAVEAT CLOSED 2026-08-24 by T25] connected_systems now reads the active building's feeds.yaml instead of a hardcoded empty list."
V6-T10,P1-Observability,Observability self-knowledge lane,done,V6-T09,M,"Answer 'Can you monitor formaldehyde in this room?' / 'Can you answer this question?' by inspecting instrumentation, coverage, history, and permissions — returning what can and cannot be observed and the next measurement needed.","An explicit Master Report expectation and a whole question-bank category (System self-knowledge, 46 questions). Today the model answers such questions from its RAG window rather than from a graph count — the open BUG-192.","Answering from the LLM's own impression of the building (BUG-192 exactly); a static capability document (goes stale, and cannot answer about a specific room).","Answers from the matrix, which is itself derived per building. The unlock step names the building's own missing source.",1) Routing rule for capability-of-the-system questions. 2) Answer from the matrix + health service. 3) Always name the concrete connection that would unlock it.,orchestrator/services/routing_contract.py; orchestrator/agents/capability_agent.py,none,"'Can you measure X in room Y' answers from a graph query, not prose; closes BUG-192; states the unlock step.",Live probe across an instrumented and an uninstrumented modality.,"Update tests/test_routing_contract.py pinned order in the SAME change. [DONE+LIVE 2026-08-25] orchestrator/services/observability.py + a registered `observability` intent. Four outcomes from the coverage matrix -- observable / stale / unconnected / uninstrumented -- each naming the step that would change it, because 'no' alone tells a facilities manager nothing they can act on. LIVE: 'Can you measure formaldehyde in room 5.01?' -> '**No** ... any figure I gave you would be invented' plus what IS measured there plus the unlock step; 'Can you measure CO2 in room 5.01?' -> '**Partly** ... connected, but it has not reported recently' (true: co2_data last wrote 2026-08-20); 'Where is lithium battery charging happening, and what detection covers it?' -> asks which space, where it previously returned a floor-plan PICKER to a fire-safety question. THE COSTLY DIRECTION IS GUARDED: a VALUE question must never get a reach answer -- 'What is the CO2 in room 5.01?' still returns ppm. Withholding data the building has is worse than the gap the lane protects against. 37 tests."
