kind,gap,roles_blocked,questions,questions_where_register_lane_selected_nothing,candidate_lay_terms,roles
VOCABULARY,register:CoordinationFunction,33,390,118,casualty;appliance;responder;escalated;shelter;damaged;visiting;assembly;channels;cleaning;communication;incident,"Academic office occupants; Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; BMS-HVAC operators; Cleaning and caretaking teams; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; External maintenance contractors; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; Insurers and risk assessors; Lecturers and tutors; People with mobility, sensory, or other accessibility requirements; PhD students; Professional-services staff; Prospective students and family members; Regulatory and institutional compliance teams; Research staff; Room-booking team; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; Timetabling team; Undergraduate students; University estates and asset-management teams; Visitors and event attendees; Waste-management teams"
VOCABULARY,register:PatrolCheckpoint,33,250,93,office;hybrid;desk;problem;remote;confidential;meeting;load;power;network;call;practical,"Academic office occupants; Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; Auditors and certification assessors; BMS-HVAC operators; Cleaning and caretaking teams; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; Insurers and risk assessors; Lecturers and tutors; Mechanical and electrical engineers; PhD students; Professional-services staff; Prospective students and family members; Regulatory and institutional compliance teams; Research staff; Researchers and data scientists; Room-booking team; Security officers; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; Timetabling team; Undergraduate students; University estates and asset-management teams; Visitors and event attendees; Waste-management teams"
VOCABULARY,register:Contract,31,264,64,bins;container;station;stream;writing;contamination;specified;four;campus;collection;acceptance;tested,"Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; Auditors and certification assessors; BMS-HVAC operators; Cleaning and caretaking teams; Emergency coordinators; Energy, carbon, and sustainability teams; External maintenance contractors; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; IT, network, and server-infrastructure teams; Insurers and risk assessors; Lecturers and tutors; Mechanical and electrical engineers; People with mobility, sensory, or other accessibility requirements; PhD students; Prospective students and family members; Regulatory and institutional compliance teams; Research staff; Researchers and data scientists; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Timetabling team; Undergraduate students; University estates and asset-management teams; Visitors and event attendees; Waste-management teams"
VOCABULARY,register:AccessPermission,31,239,75,credentials;chosen;barriers;secure;preferences;journey;function;personal;person;managed;closure;stated,"Academic office occupants; Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; Auditors and certification assessors; BMS-HVAC operators; Cleaning and caretaking teams; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; External maintenance contractors; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; Insurers and risk assessors; Lecturers and tutors; People with mobility, sensory, or other accessibility requirements; PhD students; Professional-services staff; Regulatory and institutional compliance teams; Research staff; Researchers and data scientists; Room-booking team; Security officers; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; Undergraduate students; University estates and asset-management teams; Waste-management teams"
VOCABULARY,register:AssetEngineeringProfile,30,338,114,hvac;dampers;uses;attention;electrical;commissioned;modes;strategy;qualified;pressure;immediate;supply,"Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; BMS-HVAC operators; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; External maintenance contractors; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; IT, network, and server-infrastructure teams; Insurers and risk assessors; Mechanical and electrical engineers; People with mobility, sensory, or other accessibility requirements; Prospective students and family members; Regulatory and institutional compliance teams; Research staff; Researchers and data scientists; Room-booking team; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Teaching and audiovisual support team; Timetabling team; Undergraduate students; University estates and asset-management teams; Visitors and event attendees; Waste-management teams"
VOCABULARY,register:Booking,29,166,67,four;three;bookable;spaces;quiet;seminar;planning;study;reliable;minutes;hour;anonymous,"Academic office occupants; Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; Cleaning and caretaking teams; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; External maintenance contractors; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; Insurers and risk assessors; Lecturers and tutors; PhD students; Professional-services staff; Prospective students and family members; Research staff; Room-booking team; School leadership, university leadership, and building owners; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; Timetabling team; Undergraduate students; University estates and asset-management teams; Visitors and event attendees; Waste-management teams"
VOCABULARY,register:ComplianceCheck,29,141,44,certificates;calibration;scope;date;effective;lack;intended;physical;control;safety;requirements;records,"Academic office occupants; Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; Auditors and certification assessors; BMS-HVAC operators; Cleaning and caretaking teams; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; External maintenance contractors; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; IT, network, and server-infrastructure teams; Insurers and risk assessors; Mechanical and electrical engineers; Regulatory and institutional compliance teams; Research staff; Researchers and data scientists; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; Timetabling team; University estates and asset-management teams; Waste-management teams"
VOCABULARY,register:WorkspaceProfile,29,118,45,remaining;focused;back;hour;network;periods;power;eligible;local;abacws;work;office,"Academic office occupants; Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; BMS-HVAC operators; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; Facilities managers; Insurers and risk assessors; Lecturers and tutors; Mechanical and electrical engineers; People with mobility, sensory, or other accessibility requirements; PhD students; Professional-services staff; Prospective students and family members; Regulatory and institutional compliance teams; Research staff; Researchers and data scientists; Room-booking team; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; Timetabling team; Undergraduate students; University estates and asset-management teams; Waste-management teams"
VOCABULARY,register:ContinuityProvision,28,184,83,terminal;hvac;single;mode;schedule;consequence;utility;heating;cooling;priority;dependency;supply,"Access-control administrators; Accessibility, inclusion, and well-being teams; Architects and building designers; Auditors and certification assessors; BMS-HVAC operators; Emergency coordinators; Emergency responders; Energy, carbon, and sustainability teams; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; IT, network, and server-infrastructure teams; Insurers and risk assessors; Mechanical and electrical engineers; People with mobility, sensory, or other accessibility requirements; PhD students; Professional-services staff; Researchers and data scientists; Room-booking team; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; Undergraduate students; University estates and asset-management teams; Waste-management teams"
VOCABULARY,register:ApprovalRecord,28,158,76,disclosure;retention;permissions;competence;purpose;telemetry;data;supervision;linked;authority;answer;records,"Academic office occupants; Access-control administrators; Architects and building designers; BMS-HVAC operators; Emergency coordinators; Emergency responders; External maintenance contractors; Facilities managers; Finance and procurement teams; Fire-safety personnel; Health and safety officers; IT, network, and server-infrastructure teams; Insurers and risk assessors; Lecturers and tutors; Mechanical and electrical engineers; PhD students; Regulatory and institutional compliance teams; Research staff; Researchers and data scientists; School leadership, university leadership, and building owners; Security officers; Space-planning teams; Taught postgraduate students; Teaching and audiovisual support team; Timetabling team; Undergraduate students; University estates and asset-management teams; Waste-management teams"
