qid,personas,stage,question,level,level_name,latent_level,latent_level_name,gap_score,n_new,difficulty,answer_basis,answerability,why,latent_why,architecture,pipeline_stages,data_sources,new_items_str
q84acc61af52f,Occupants/Tenants/Employees; Student/Researchers/Academics,4,Can you make the building more eco-friendly?,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,8,26,hybrid,requires_extension,"Eco-friendly is an open strategic goal needing trade-offs across operations, retrofit and behaviour.","Needs cross-domain orchestration, forecasting, planning and actuation across building systems.",LLM for sustainability strategy; LangGraph orchestrator; ontology/knowledge graph; capability KB; floor-plan/spatial reasoning; time-series store; analytics sandbox; forecasting; anomaly detection; report generation; visualisation; control intent; [NEW] energy submetering feed (new data source); [NEW] water metering feed (new data source); [NEW] waste/recycling feed (new data source); [NEW] occupancy sensor/API (new data source); [NEW] weather/carbon/tariff APIs (new external APIs); [NEW] asset/retrofit/renewables inventory added to ontology+KB; [NEW] BMS/IoT write-back endpoint APIs (new external APIs),dialogue -> intent classification -> define eco KPIs -> ontology/spatial query -> [NEW] feed ingestion -> baseline/anomaly/forecast analytics -> optimisation and planning -> [NEW] control actuation plus recommendations -> report/visuals -> response,"general LLM sustainability knowledge; building ontology; floor plans; capability KB; temperature/CO2/humidity time-series; [NEW] energy, water, waste and occupancy time-series; [NEW] weather/carbon/tariff APIs; [NEW] asset/retrofit/renewables inventory; [NEW] BMS/IoT actuator APIs",BMS actuation / write-back; Energy metering; Occupancy sensing; Other / niche; Solar / renewables; Waste / recycling; Water metering; Weather feed
q1035102cc6dc,Occupants/Tenants/Employees,4,Could we develop a way for our building to automatically shift large HVAC loads to off-peak times when more renewable energy is being accessed on the grid?,5,Systemic Synthesis,6,Meta / Strategic Reasoning,1,9,26,building-data,requires_extension,"Designs demand-response strategy across HVAC, tariffs, renewables and comfort; synthesised with high uncertainty and ambiguous constraints.","Requires energy/grid/weather/occupancy fusion, forecasting/optimization and closed-loop HVAC actuation; many feeds are missing.",LangGraph orchestrator; ontology/knowledge graph; time-series store; forecasting; analytics sandbox; visualisation/reporting; RBAC; control loop; [NEW] HVAC energy submetering feed (new sensor feed; add to ontology); [NEW] grid renewable/carbon-intensity API (external API); [NEW] energy tariff API (external API); [NEW] weather API (external API); [NEW] occupancy/calendar feed (new data source); [NEW] live streams for floors 0-4 (new sensor feed); [NEW] BMS HVAC write-back API (new data source); [NEW] demand-response/MPC optimizer (new method),dialogue -> intent/planner -> ontology HVAC/topology query -> [NEW] energy/grid/tariff/weather/occupancy retrieval -> forecast loads/renewables -> demand-response optimization -> RBAC/safety checks -> [NEW] HVAC schedule actuation -> monitoring/visualisation -> response,building ontology; floor-5 temp/CO2/humidity streams; [NEW] HVAC energy meter time-series (new sensor feed); [NEW] grid renewable/carbon-intensity API; [NEW] tariff API; [NEW] weather API; [NEW] occupancy/calendar feed; [NEW] live temp/CO2/humidity streams floors 0-4; [NEW] BMS HVAC control API,BMS actuation / write-back; Calendar / room-booking API; Energy metering; Live streams floors 0-4; Occupancy sensing; Other / niche; Solar / renewables; Tariff / cost data; Weather feed
q70a50a8fe757,Sustainability and Energy Management Teams,4,how should we scheule plant to minimise both cost and carbon?,5,Systemic Synthesis,6,Meta / Strategic Reasoning,1,8,25,building-data,requires_extension,"Multi-objective schedule balances cost, carbon and comfort; answer is synthesized with high uncertainty.","Needs live plant/zone data, tariff/carbon/weather forecasts and closed-loop optimisation/control.","LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; visualisation; RBAC/control intent; [NEW] plant status/setpoint/control points + physical BMS write-back connector (new data/control source; add to ontology); [NEW] whole-building energy metering feed; [NEW] floors 0-4 live temp/CO2/humidity feeds; [NEW] tariff, carbon-intensity, weather and occupancy/calendar APIs; [NEW] multi-objective scheduler/control policy",dialogue -> planner -> ontology plant/zone query -> live comfort retrieval -> [NEW] plant/energy/tariff/carbon/weather/occupancy retrieval -> forecast + optimise schedule -> RBAC approval -> [NEW] BMS control write-back loop -> monitoring -> response,building ontology; live floor 5 temp/CO2/humidity; [NEW] live floors 0-4 temp/CO2/humidity; [NEW] plant status/setpoint/control telemetry; [NEW] energy meter time-series; [NEW] tariff API; [NEW] grid carbon intensity API; [NEW] weather forecast; [NEW] occupancy/calendar feed; [NEW] physical BMS writ,BMS actuation / write-back; Calendar / room-booking API; Carbon / ESG data; Energy metering; Live streams floors 0-4; Occupancy sensing; Tariff / cost data; Weather feed
q1342e0d887e9,Facility Managers / Building Maintenance Teams; Building Owners/Property Managers,1,can you optimize,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,6,24,building-data,requires_extension,"Optimization target, scope, constraints, and acceptable trade-offs are unspecified.","Real optimisation requires objectives, forecasting, cross-domain data, planning, and closed-loop control.",LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; control intent; visualisation; RBAC; [NEW] live streams for floors 0-4 via new sensor feed; [NEW] energy submetering feed via new data source; [NEW] occupancy sensing via new sensor feed; [NEW] weather API via external API; [NEW] BMS actuator write-back/control API via new external API,dialogue -> clarify objective and constraints -> intent classification -> ontology query -> telemetry retrieval -> [NEW] missing streams/API ingestion -> forecasting -> optimisation/planning -> RBAC approval -> control loop/write-back -> monitoring -> response,building ontology; floor-5 temperature/CO2/humidity streams; capability KB; [NEW] floors 0-4 live temperature/CO2/humidity streams; [NEW] energy meter time-series; [NEW] occupancy time-series; [NEW] weather feed; [NEW] BMS actuator/control endpoint,BMS actuation / write-back; Energy metering; Live streams floors 0-4; Occupancy sensing; Other / niche; Weather feed
q70ba1c5734a2,Guests/Visitors,4,Aim to reduce waste by minimizing thermostat use -- keep it locked.,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,6,24,hybrid,requires_extension,"Open energy/comfort policy with lockout, authority and safety trade-offs; scope is highly ambiguous.","Needs HVAC control loop, auth, comfort constraints and energy/occupancy/weather feeds; several are absent.",LangGraph; LLM comfort/energy policy; RBAC; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; control; alerts; [NEW] thermostat lockout/control points added to ontology+KB; [NEW] HVAC setpoint/write-back API (new data source/API); [NEW] energy metering feed; [NEW] occupancy sensing/API; [NEW] weather API; [NEW] live temp/CO2/humidity streams for floors 0-4,dialogue -> intent classification -> RBAC authorization -> clarify scope/duration -> ontology HVAC lookup -> retrieve current and [NEW] feeds -> analytics/forecast comfort and energy -> propose safe policy -> control lockout -> monitor/rollback -> response,general LLM knowledge; building ontology; floor 5 temp/CO2/humidity time-series; [NEW] floors 0-4 live environmental streams; [NEW] HVAC setpoint/control state; [NEW] energy meter time-series; [NEW] occupancy feed; [NEW] weather feed,BMS actuation / write-back; Energy metering; Live streams floors 0-4; Occupancy sensing; Other / niche; Weather feed
q6c01b6652a06,Guests/Visitors,4,"Track CO2 carbon footprint for each user in the building, and post the results.",6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,6,24,building-data,requires_extension,"Per-user footprint and public posting are open, privacy-sensitive and methodologically ambiguous.","Requires identity, occupancy, energy/carbon allocation, privacy governance and publishing; most feeds absent.",LangGraph; ontology/knowledge graph; time-series store; analytics sandbox; visualisation/RBAC; [NEW] user identity/occupancy tracking feed (new data source); [NEW] energy submetering feed (new sensor feed); [NEW] live CO2 streams for floors 0-4 (new sensor feed); [NEW] grid carbon-intensity API (new external API); [NEW] personal carbon allocation model/classes (add to ontology); [NEW] consent/privacy policy store (add to ontology+KB); [NEW] public dashboard/signage publishing API (new external API),dialogue -> policy/consent check -> intent planning -> ontology query -> [NEW] identity/occupancy ingestion -> [NEW] energy/carbon retrieval -> CO2/energy allocation analytics -> RBAC/anonymisation -> visualisation -> [NEW] publish results -> response,building ontology; floor5 CO2 time-series; [NEW] live CO2 streams floors 0-4; [NEW] badge/Wi-Fi/mobile identity and occupancy feed; [NEW] energy meter time-series; [NEW] grid carbon-intensity factors; [NEW] consent/privacy records; [NEW] public dashboard/signage channel,Carbon / ESG data; Energy metering; Live streams floors 0-4; Occupancy sensing; Other / niche; Policy / document KB
qc02c2eb98c02,Student/Researchers/Academics,1,How do I make you more environmentally-friendly?,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,6,24,hybrid,requires_extension,"Broad sustainability strategy with open goals, trade-offs and high ambiguity.","Requires cross-domain environmental KPIs, forecasts and control; energy/occupancy/water/waste/carbon feeds absent.",LangGraph orchestrator/planner; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; report generation/visualisation; LLM synthesis; control loop; [NEW] energy submetering feed (new data source + add to ontology); [NEW] occupancy sensing feed (new data source + add to ontology); [NEW] weather API (external API); [NEW] carbon-intensity/tariff API (external API); [NEW] water meter and waste/recycling feeds (new data sources + add to ontology); [NEW] physical BMS write-back/control API (external actuator integration),dialogue -> sustainability/strategy intent -> define goals/KPIs -> ontology/capability query -> current telemetry retrieval -> [NEW] energy/occupancy/weather/carbon/water/waste retrieval -> baseline/forecast/optimisation -> control-loop plan/optional actuation -> report/visualisation -> response,building ontology; floor-5 temperature/CO2/humidity time-series; capability KB; general sustainability knowledge; [NEW] energy meter time-series; [NEW] occupancy time-series; [NEW] weather feed; [NEW] carbon/tariff feed; [NEW] water and waste data,BMS actuation / write-back; Energy metering; Occupancy sensing; Tariff / cost data; Water metering; Weather feed
q2e4deb874017,Sustainability and Energy Management Teams,4,what mix of measures gets us the fastest route to net zero?,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,6,24,hybrid,requires_extension,"Open strategic net-zero pathway with many trade-offs, high uncertainty, and ambiguous success criteria.","Needs cross-domain data fusion, scenario optimisation, carbon modelling, cost planning, and management roadmap.",LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; visualisation/report generation; [NEW] energy/submetering feed (new data source); [NEW] carbon factors API (external API); [NEW] weather API (external API); [NEW] utility tariff/bill feed (new data source); [NEW] occupancy/calendar feeds (external APIs); [NEW] retrofit measure cost/performance database (add to ontology + capability KB); [NEW] net-zero scenario optimiser (new method),dialogue -> intent classification -> ontology query -> [NEW] energy/weather/tariff/occupancy retrieval -> baseline carbon model -> scenario optimisation -> cost/carbon forecast -> visualisation/report -> response,building ontology; capability KB; floor plans; [NEW] energy meter time-series; [NEW] carbon factors; [NEW] weather feed; [NEW] tariffs/bills; [NEW] occupancy/calendar data; [NEW] retrofit cost/performance database,Carbon / ESG data; Energy metering; Occupancy sensing; Other / niche; Tariff / cost data; Weather feed
q894e4a345bfc,Sustainability and Energy Management Teams,4,what would it take to run the building on 100% renewable energy,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,6,24,building-data,requires_extension,"Open strategic feasibility question across supply, demand, storage and procurement; very high uncertainty.","Needs cross-domain renewable feasibility/procurement planning; demand, solar, tariff and grid data are missing.","LangGraph orchestrator; ontology/knowledge graph; floor-plan/spatial reasoning; time-series store; analytics sandbox; forecasting; report generation/visualisation; [NEW] whole-building energy metering (new sensor feed, add points to ontology); [NEW] solar/renewable resource API (external API); [NEW] roof/structural/usable-area files in inputs/; [NEW] grid tariff and carbon-intensity APIs (external APIs); [NEW] PPA/REC market data (new data source); [NEW] battery/storage/interconnection constraints (new data source + add to ontology/KB)","dialogue -> strategic planner -> ontology/floor-plan query -> [NEW] demand retrieval -> [NEW] renewable resource/tariff/carbon/procurement data -> demand/renewable/storage modelling -> options, risks and cost report -> response",building ontology; floor plans; [NEW] energy demand time-series; [NEW] solar/weather resource feed; [NEW] roof/structural inputs files; [NEW] tariffs; [NEW] grid carbon intensity; [NEW] PPA/REC market data; [NEW] storage/interconnection data,Carbon / ESG data; Energy metering; Other / niche; Solar / renewables; Tariff / cost data; Weather feed
qf2269f58d148,Sustainability and Energy Management Teams,4,how should we shedule plant to minimise both cost and carbon,5,Systemic Synthesis,6,Meta / Strategic Reasoning,1,7,24,building-data,requires_extension,Optimises plant schedules across cost and carbon; synthesised answer with high uncertainty/ambiguous plant scope.,"Needs cost/carbon forecast optimisation plus plant control loop; energy, tariffs, carbon and BMS write-back are missing.","LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; control intent/RBAC; anomaly monitoring; [NEW] plant telemetry and BMS write-back/control connector (new control API, add writable points to ontology); [NEW] energy submetering feed (new sensor feed); [NEW] utility tariff API (external API); [NEW] grid carbon-intensity API (external API); [NEW] weather forecast API (external API); [NEW] occupancy/calendar forecast feed (new sensor feed/external API); [NEW] live temp/CO2/humidity streams for floors 0-4 (new sensor feeds)",dialogue -> control/recommend intent -> ontology query -> telemetry/API retrieval -> forecast loads/cost/carbon -> schedule optimisation -> RBAC approval -> [NEW] BMS write-back/control loop -> monitor anomalies -> response,building ontology; floor-5 live temperature/CO2/humidity; [NEW] floor 0-4 live temp/CO2/humidity; [NEW] plant telemetry/control points; [NEW] energy meter time-series; [NEW] utility tariffs; [NEW] grid carbon intensity; [NEW] weather forecast; [NEW] occupancy/calendar forecast,BMS actuation / write-back; Carbon / ESG data; Energy metering; Live streams floors 0-4; Occupancy sensing; Tariff / cost data; Weather feed
