id,phase,title,status,depends_on,effort,severity,tracker_row,why,acceptance,building_agnostic_how,files,notes
W0-1,W0-LiveWrongAnswers,Declare the 14 assets whose statuses point at nothing,done,,3h,P1,BUG-438,"22% of asset statuses name an untyped IRI, so every amenity-state question about them answers 'not recorded in this building's model'.",'Is the lift working?' answers operational with a date and a simulated flag; all 14 assets resolve; a SPARQL FILTER NOT EXISTS sweep returns 0 rows.,"The generator is fixed, not the data: any building's synthetic status pass declares the asset it writes a status for.",input/bldg1_synthetic_status.ttl; input/bldg1_synthetic_amenity_state.ttl; scripts/provision_synthetic_sources.py,"Closed BUG-438 and the BUG-451 it exposed. Dangling statusOf 14 -> 0; duplicate statuses 1 -> 0; the lane's own query returns the lift with a value, date and source. The offline tests found the same defect shape in bldg2/3/4. Live re-ask through the chat API is OWED -- no local model this session."
W0-2,W0-LiveWrongAnswers,Invert the pre-LLM capability short-circuit,done,W1-1,1d,P1,BUG-440,'Which rooms are on floor 2?' answers 6 rooms from the cleaning and event registers; the graph holds 48.,"The floor-2 question returns 48 rooms from the graph, AND every regression case covering the 21 escape clauses still passes.",No new clause and no building literal; documents become a scored target after classification.,orchestrator/agents/dialogue_agent.py,"Inverted 2026-09-08. The document probe runs after the classifier and the routing contract, over weak intents only; the nineteen escape clauses are made unnecessary rather than deleted. Probe 50/50 including all 17 capability-bypass cases, so this is not a silent trade. Two things the plan did not anticipate: metadata/discovery had to be excluded from the overridable set even though the contract calls them weak (BUG-440 was a structural question losing to a register), and the LLM-outage fallback needed the promotion too -- the old probe ran before the LLM, so moving it would have traded a sequencing bug for an availability one."
W0-3,W0-LiveWrongAnswers,Regenerate the extended narrow map from the graph's own sensor classes,done,,4h,P1,BUG-439,174 CO2 sensors emit a 0-150 AQI band that the answer layer labels ppm; the floor comparison returned 157/111 ppm and a capex recommendation.,Every UUID's class in the publish map equals its class in the graph; floor 0-4 CO2 reads inside 400-1500; the compare question reports plausible figures or names the implausible sensors.,The map is generated from the live graph; no class list is written by hand.,input/bldg1_extended_narrow_uuids.json; scripts/ (generator); mysql-dummy-publish-dev/mysql_dummy_publisher.py,Closed BUG-439 plus BUG-452/453/454 found while fixing it. Live: the CO2 stream went 84 -> 86 -> 861 ppm across the publisher restart. Live chat re-ask OWED -- no local model this session.
W0-4,W0-LiveWrongAnswers,Stop reporting eight floors in a six-storey building,done,,2h,P2,BUG-441,Rooftop and Parking_Level_Ground are typed brick:Floor; the same answer says 'Floors: 8' and 'across 6 floors'.,The building summary reports 6 floors; the two sensor counts either reconcile or each says what it counts.,Retyping is data; the count query already reads the graph.,input/bldg1*.ttl; orchestrator/services/building_metrics.py,"The review's remedy was wrong: the DATA is right and Brick makes Rooftop and Parking_Level subclasses of Floor. Fixed the count instead -- it now states what the hierarchy swept in, and the reporting figure says it counts streams rather than instruments."
W0-5,W0-LiveWrongAnswers,A governance question must not be refused as individual tracking,done,,3h,P2,BUG-442,"INDIVIDUAL_PRESENCE_RE matches a bare 'and who', so any compound question whose second clause starts that way is refused.",'What is this building and who runs it?' answers from the StakeholderGroup register; every existing privacy trap still refuses.,"The allow-list is governance vocabulary, not building vocabulary; the register is discovered, not named.",orchestrator/services/privacy/inference_classes.py,"Clause narrowed to two identification shapes, plus a governance allow-list checked BEFORE the presence rule. Found and closed BUG-455 alongside: pronouns were absent from the person vocabulary, so 'is he at his desk?' passed every rule."
W0-6,W0-LiveWrongAnswers,Meta-answer guard: an answer that describes its own inputs is not an answer,done,,4h,P2,BUG-443,"'Which rooms are stuffy?' returned 'I don't have the live CO2 readings' plus a sensor-COUNT table, to a building with 589 air-quality sensors.",The stuffy question either answers from readings or declines honestly; no answer containing developer narration reaches a user.,"Pattern is English narration, not building vocabulary.",orchestrator/workflow/_orchestrator.py (_response_node); orchestrator/services/grounding_guard.py,"Guard added and wired at the end of the response dispatch. The hard part was NOT catching the meta-answer: a bare ""I don't have X"" is how this system's own honest declines are phrased, so the marker is the PIVOT to a substitute. Residual: the underlying query defect (counts returned for a readings question) needs a model to verify; deferred."
W0-7,W0-LiveWrongAnswers,Wayfinding falls back to the AccessibleRoute register before declining,done,,4h,P2,V7-T23,'Nearest accessible toilet to room 3.10?' declines on missing floor-plan adjacency while the register holds 16 accessible routes.,The question names a toilet and a route; a building with no route register still declines honestly.,"Register lane is already discovered by class, not by name.",orchestrator/agents/spatial_agent.py; orchestrator/services/record_registry.py,"Closes V7-T23. The register was the wrong source -- it holds surveyed JOURNEYS, not amenity proximity -- so the fallback reads the amenity catalogue instead. Found and fixed CAVEAT-462 on the way: the first version inferred accessibility from lay terms and would have told a wheelchair user the toilet on their floor was accessible."
W1-1,W1-Structural,"Regression cases for the 21 capability escape clauses, BEFORE the inversion",done,,4h,P1,BUG-440,Each clause is a measured incident. Without a case per clause the probe cannot tell the inversion from a silent trade.,21 new cases pass on the current tree.,"Cases assert facts the registers hold, not phrasings.",scripts/regression_cases.json,"17 capability-bypass cases, one per escape clause, each with a note naming the incident it descends from. Baseline 17/17 on 2026-09-07. Getting there took six runs and found six defects that had nothing to do with the cases themselves (BUG-473 to BUG-478) -- the probe could not go green until the report lane actually worked. The probe now also asserts the LANE (expect_intent / forbid_intent), because a question answered from the wrong lane comes back fluent and no marker over the text can tell them apart."
W1-2,W1-Structural,"Reference-integrity validator, including cross-source type agreement",done,,1d,P1,BUG-438; BUG-439,"Two of the three worst live defects are dangling or disagreeing references, and nothing checks either.",HARD_FAIL on swap for an untyped statusOf/servesSpace/locatedIn/hasPart object; WARN in the admin Ontology tab; a UUID whose graph class disagrees with its publish-map class is reported.,"Checks structure, names no class and no building.",orchestrator/services/input_validators.py; scripts/certify_building.py,"validate_dangling_references extended from brick: to 18 ontosage: relations, which is what would have caught BUG-438 in any building. Doing so exposed CAVEAT-456 -- the declaration matcher could not see full-IRI subjects -- and CAVEAT-457, a discovery glob that swept in vendor staging folders. All four buildings clean, with the defect planted in a fixture to prove the check fires. The cross-source type half of W1-2 landed with W0-3."
W1-3,W1-Structural,"Physical bands in measurand_kinds.ttl, applied in every numeric lane",done,,1d,P1,BUG-439,"DEFAULT_ANCHORS lives in the deliberation scorer, so one lane of eighteen can tell 111 ppm from a reading.","An out-of-band value is reported as implausible in sql, compare, analytics and deliberate; never averaged, never turned into a recommendation.","Bands are physical standards in TTL, cited; not building facts.",ontology/measurand_kinds.ttl; orchestrator/services/deliberation/scorer.py; sql/compare/analytics lanes,"Landed with W0-3, because the map generator needed a band source and writing the ranges twice was the original defect. measurand_kinds.ttl now carries physicalMin/Max (possibility) AND typicalMin/Max (generation) for 27 quantities over 52 classes; orchestrator/services/physical_bands.py + a gate in the SQL node applies the first to every numeric lane. Supertypes deliberately unmapped."
W1-4,W1-Structural,"Universal referent gate, failing closed",done,,1d,P1,BUG-445,One call site in the whole orchestrator; 17 lanes ungated; fails open on exception; and the one gated path takes 46s and blames the clock.,"'Room 9.99' declines in under 5s on every lane; a gate timeout says 'could not verify', not 'this took too long'.",The space-IRI set is read from the active graph and cached per request.,orchestrator/workflow/_orchestrator.py; orchestrator/services/referent_resolver.py,"One gate per turn ahead of routing, not a call per lane. Closes V7-T21. The 46-second timing complaint still needs a live re-measure."
W1-5,W1-Structural,The floor-plan service must never invent a room,done,,2h,P2,BUG-444,It generates {floor}.01..{floor}.14 when PDF text extraction is empty - fabricating referents in one building's grammar.,An unreadable plan returns empty and says so; no generated identifier reaches a user.,Removes the only room-grammar literal in that service.,orchestrator/services/floor_plan_service.py,"The invented-room fallback is gone. Residual, tracked under W2-1: the PDF-mining pattern still assumes an N.NN room grammar, and the graph is the right source for this anyway."
W2-1,W2-Agnostic,BuildingLexicon: derive routing vocabulary from the active graph,todo,W1-2,1d,P1,,"The real coupling is vocabulary, not literals: measurand words, room-id grammar, space nouns and modality stopwords are all bldg1's, and no grep sees them.",A fixture building with RM-204 rooms and an NO2 modality routes 'NO2 in RM-204' to sensor_data; test_contract_is_building_agnostic is REPLACED by a two-fixture test over two room grammars.,"This item IS the agnosticism work: every list becomes a lookup against the building's own graph, cached per building_id.",orchestrator/services/routing_contract.py; orchestrator/services/semantic_router.py; new services/building_lexicon.py,"BUILT AND TESTED, CONSUMPTION DEFERRED (TODO-463). services/building_lexicon.py learns this building's identifier SHAPES from its own space names -- `5.01` and `12.7` collapse to one shape, `RM-204` yields another, `Atrium` yields none rather than a shape that would match every word. 25 offline tests over three grammars replace the six-string grep the review criticised. Live at boot: 429 measurand words, 31 space nouns, 5 shapes. TWO DEFECTS FOUND WHILE BUILDING IT: feeding whole LABELS to the learner produced 20 shapes for one building because the description varies where the convention does not; and the guard that stops 'Floor 4' becoming a shape also killed `RM-204`, the exact grammar this exists to support. The routing swap needs the regression probe, which needs a model. Lexicon is built at boot; routing does not consume it yet (TODO-463). EFFORT RE-ESTIMATED 2026-09-08: the tracker said 4d, but the lexicon is built, tested and live at boot -- only the routing consumption remains. Sequenced SECOND in tasks/V10_REMAINING_PLAN.md, behind W4-4, because the probe is its gate."
W2-2,W2-Agnostic,Fix the 15 literal sites and make the guard fail before it passes,done,,1d,P2,CAVEAT-449,check_building_literals.py scans orchestrator/ and shared/ only and reports 'clean' on a tree with 15 real defects.,"The guard covers frontend/, rag-service/, scripts/ and compose, has room-id, cardiff, example.com and table-name rules, FAILS on the current tree, then passes.",The guard is the mechanism; the fixes are its first output.,scripts/check_building_literals.py; the 15 sites listed in docs/V10_REVIEW_VERIFICATION.md,"The guard now covers orchestrator, shared, scripts, rag-service, frontend/src and the compose files, with severity by tree -- a script that GENERATES one building's data names it on purpose, and 26 of the first run's 98 findings were QA questions. It failed on the tree (98, then 31 real after tiering) and now passes at 0 ERROR / 72 INFO. Fixed along the way: the plant storage key (BUG-459), two placeholder namespaces (BUG-460), the SPARQL prompt exemplars -- now read live from the building via services/prompt_exemplars.py -- the rag-service namespace, and four frontend literals, which needed a new public /api/v1/building/identity endpoint because the UI had no source for the building's own name."
W2-3,W2-Agnostic,One path resolver; delete the six nested-only re-implementations,done,,1d,P2,CAVEAT-448,"33 sites hardcode Path('input'); six loaders support only input/<id>/, which the flat layout never produces, so those six configs are never found.",Every input path goes through shared/building_paths; rules/channels/recipes/goals/actuation/feeds load from the flat layout.,"One resolver, already building-agnostic.",orchestrator/**; shared/building_paths.py,"Four loaders migrated. The live consequence was larger than the review said: input/rules.yaml and input/channels.yaml exist and were never loaded, so the rules engine and notification dispatch were dark. The 33 Path('input') literals are separate and remain under W2-2."
W2-4,W2-Agnostic,building_context reads the keys the buildings actually write,done,,2h,P2,CAVEAT-446,It reads building_prefix/building_timezone; bldg2-4 write ontology_prefix and bldg1 writes neither. Every building silently uses the env default.,Both spellings accepted; the swap validator rejects a building.yaml declaring neither.,"Config keys, not building values.",shared/building_context.py; scripts/swap_building.py,"Reader accepts both spellings, and all four buildings now DECLARE their prefix and timezone rather than inheriting them. A test asserts the declared prefix is the one the building's own TTL binds."
W2-5,W2-Agnostic,Generate the SPARQL few-shot from the live graph; inject ontosage: and hbco:,todo,W2-1,1d,P2,CAVEAT-447,"Six prompt sites teach Room_5.01 and CO2_Level_Sensor_5.08, and the project's own vocabulary fails its own pre-flight.",A prompt dump on bldg3 contains only bldg3 IRIs; a generated query using ontosage: passes validation.,Exemplars are read from the active graph at boot.,orchestrator/agents/sparql_agent.py; orchestrator/services/sparql_validator.py; orchestrator/data/few_shot_library.json,
W2-6,W2-Agnostic,Response dispatch: dialogue_response below the computed lanes,done,,3h,P2,,"dialogue_response is checked second, so any node writing a draft pre-empts a richer result computed in the same turn.",A turn that computes a register result and a clarification shows the register result.,Ordering only.,orchestrator/workflow/_orchestrator.py,"Probe 33/33 after four runs. The reorder itself was small; the probe found three things around it -- CAVEAT-471 (promoting clarifications hid a correct answer), BUG-472 (the admission gate offered the reader the floor they had named, from a compiled anchor of literal 'None'), and two stale probe markers plus one that had been crediting a meta-answer. The unit suite passed throughout and caught none of them."
W3-1,W3-SecondBuilding,Ontology-layer readiness report,done,W1-2,1d,P2,,"A building with valid Brick and zero ontosage: triples boots green and declines every capability, record and knowledge question. bldg4 is nearly that building.",certify_building.py --preflight-only on bldg4 lists every EMPTY record class and the missing _policies.ttl.,Reads the graph; names nothing.,scripts/certify_building.py; orchestrator/services/onboarding_status.py,"Done 2026-09-08, offline. The readiness report ALREADY EXISTED and is good (scripts/check_onboarding.py -> onboarding_report.py): it names each capability, its data shape, whether it is unlocked, and the exact missing artefact. What was wrong is that it could not tell an absent capability from an unreachable one -- run from the host it reported 4/11 unlocked with zero history and zero events on a building that reports 10/11 from inside the container (BUG-491). It now refuses rather than describing an empty building. The acceptance test named bldg4, which the user has since scoped out; verified on bldg1 instead."
W3-2,W3-SecondBuilding,Register scaffolder,todo,W3-1,3d,P2,,bldg1 has 37 lifted registers; bldg2 has 10; bldg3 and bldg4 have 1 each. The generator that built bldg1's does not exist as a script.,bldg3 with --synthetic 10 computes 'which permits are open' and 'which cleaning tasks are due'.,Columns come from the mapping; the building name from building.yaml.,scripts/scaffold_registers.py (new); ontology/record_documents/*.yaml,DEFERRED 2026-09-08 in tasks/V10_REMAINING_PLAN.md: onboarding machinery that pays off only when someone onboards a building without us. Already deferred once as speculative; nothing has changed. Revisit when a second deployment is on the calendar.
W3-3,W3-SecondBuilding,Templates for the 24 TTLs with no template and no generator,todo,W3-2,3d,P2,CAVEAT-449,input/_templates/ ships 5 files against 39 TTLs; onboard_building.py sets none of the 7 per-building env settings and scaffolds a nested layout the swap does not consume.,"onboard_building.py --id bldg5 then swap_building.py --to bldg5 boots to /health 200 with every lane EMPTY-but-declared, not dark.",Each template is the generator's output for an empty building.,input/_templates/; scripts/onboard_building.py; .claude/commands/new-building.md,DEFERRED 2026-09-08 in tasks/V10_REMAINING_PLAN.md: onboarding machinery that pays off only when someone onboards a building without us. Already deferred once as speculative; nothing has changed. Revisit when a second deployment is on the calendar.
W3-4,W3-SecondBuilding,Close the three unfillable record classes and the unread ontosage: terms,done,,1d,P3,,"AlarmEvent/AnomalyEvent/AccessEvent are declared and lay-termed with no mapping, no instances and no reader, so they can only produce a confident silence. SustainabilityTarget has a mapping and is undiscoverable.",The RDF reader audit lists 0 answerable classes with no reader.,Structural.,ontology/ontosage_schema.ttl; ontology/record_documents/; scripts/audit_unread_terms.py (new),"Done 2026-09-08, offline (no GPU). The premise was half right: the three event classes are NOT unread -- an honest absent-class decline exists and says 'this building holds no X records' by name. What was broken is that they could never REACH it: the absent-class vocabulary was seeded from a Python tuple rather than from ontology discovery (BUG-487), the exact contract-2 violation this module's own docstring warns about, fixed once for held classes and left in place for absent ones. SustainabilityTarget was worse than 'undiscoverable' -- it had five instances and no rdfs:subClassOf at all, so nothing could reach data that was already there (BUG-488). Two items found and deliberately NOT fixed: BUG-489 (a held register matched on a generic word outranks an absent one matched on a specific phrase) changes routing and is gated on the probe; TODO-490 is lay-term coverage that should be chosen against measured failures rather than guessed."
