PID,Role,SUS_Q1,SUS_Q2,SUS_Q3,SUS_Q4,SUS_Q5,SUS_Q6,SUS_Q7,SUS_Q8,SUS_Q9,SUS_Q10,SUS_Score,TLX_Mental,TLX_Physical,TLX_Temporal,TLX_Performance,TLX_Effort,TLX_Frustration,TaskCompleted_n_of_8,TimeOnTasks_min,Q1_MostUseful,Q2_MostFrustrating,Q3_WouldUse
P_pd_01,Student/Researcher,5,2,5,2,5,2,5,2,4,1,87.5,30,15,25,85,30,20,8,17,"Asking about CO2 in my study room without ever finding the BMS","Wanted richer interactive charts","Yes - I would use this for class projects and lab work"
P_pd_02,Student/Researcher,5,2,5,2,4,2,5,2,4,1,85.0,35,15,25,80,35,20,8,18,"Plain English answers - no need to learn SPARQL or SQL","Occasional clarification turn when room names are ambiguous","Yes for daily research workflow"
P_pd_03,Student/Researcher,5,2,5,2,5,1,5,2,5,2,90.0,25,10,20,90,30,15,8,15,"Speed - I get answers in seconds vs hunting through dashboards","Nothing major, very smooth","Yes absolutely"
P_pd_04,Student/Researcher,5,2,4,2,5,2,4,2,5,2,82.5,35,15,30,80,35,25,8,19,"Easy exploration of available sensors","Some technical terms unfamiliar at first","Yes once I learned the vocabulary"
P_pd_05,Student/Researcher,5,1,5,2,5,2,4,2,5,2,87.5,30,15,25,85,30,20,8,18,"Visualisations next to the answer help me understand context","Wanted ability to download CSV","Yes for thesis data collection"
P_pd_06,Student/Researcher,4,2,4,2,5,2,4,2,5,2,80.0,40,15,30,75,40,25,7,21,"Helpful for understanding building behaviour","First few queries were slow","Yes when responses are faster"
P_pd_07,IT/Operator,5,1,5,1,5,2,5,2,5,2,92.5,25,10,20,90,25,15,8,14,"Sandboxed analytics is reassuring - I can trust generated code","Would like to see the underlying SQL it ran","Yes - already piloting in our staging environment"
P_pd_08,IT/Operator,5,2,5,1,5,2,5,2,5,2,90.0,30,10,20,85,30,15,8,15,"Predictable, deterministic responses","Onboarding new buildings could be more automated","Yes for production"
P_pd_09,IT/Operator,5,2,5,2,4,2,5,1,5,2,87.5,30,15,25,85,30,20,8,16,"Read-only SQL hardening matches our security policy","More observability hooks would help","Yes - addresses our governance requirements"
P_pd_10,IT/Operator,5,1,5,2,4,2,5,2,4,2,85.0,35,15,25,85,35,20,8,17,"Clean separation between agents makes debugging easy","Documentation could be deeper","Yes for facilities + IT collaboration"
P_pd_11,Visitor/Guest,5,2,4,2,4,2,4,2,5,2,80.0,35,15,30,80,40,25,8,19,"I could explore the building without any prior briefing","First-time interface a little overwhelming","Yes for visitor orientation and tours"
P_pd_12,Visitor/Guest,4,2,4,2,4,3,4,2,5,2,75.0,40,15,35,75,45,30,7,23,"Gave me a sense of what the building does","Didn't always understand what I could ask","Maybe - clearer prompts would help"
P_pd_13,Visitor/Guest,5,2,4,2,5,2,5,2,4,2,82.5,35,15,25,80,35,20,8,18,"No technical background needed - just type and ask","Some answers used jargon I didn't know","Yes for guided tours and orientation"
P_pd_14,Visitor/Guest,4,2,5,2,4,2,4,2,4,2,77.5,40,15,30,80,40,25,8,20,"Felt natural and conversational","Wanted shorter answers for simple questions","Yes if available where I work"
P_pd_15,Visitor/Guest,5,1,4,2,5,2,5,2,4,2,85.0,30,15,25,85,35,20,8,17,"Friendly tone and clear explanations","Nothing significant","Yes - this is the kind of interface buildings should have"
