PID,Roles,Stage,Timestamp,Question,domain_l1,query_type_l2,intent,temporal,spatial,complexity
P81,Student/Researchers/Academics,4,13/04/2026 03:18,can the building measure how greenery impact occupant satisfaction?,OCCUPANCY,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:18,are there features that promote interaction with green or natural elements?,SUSTAINABILITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:17,how does the building support water conservation during peak usage?,WATER,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:16,can water usage patterns help identify inefficiencies in specific areas?,WATER,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:15,are there systems to ensure safe drinking water quality at all times?,SAFETY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:15,how does the building respond to sudden increases in indoor pollutants?,SECURITY,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:14,can indoor air quality be maintained without excessive energy use?,SECURITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:14,are there controls to reduce cooling when outdoor temperatures are lower?,SECURITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:13,how does the system identify and manage energy intensive equipment?,ENERGY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:12,can the building automatically optimize energy use during weekends or holidays?,ENERGY,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:11,how does the building plan upgrades to meet future sustainability standards?,SUSTAINABILITY,STATUS,PREDICTIVE,PREDICTIVE,BUILDING,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:10,are there performance indicators for overall building sustainability?,SUSTAINABILITY,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:09,can real time feedback form occupannts improve environmental settings?,OCCUPANCY,CAPABILITY,INFORMATIONAL,REALTIME,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:09,how does the building maintain consistent comfort during weather changes?,THERMAL,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:08,are there systems to reduce echo or sound disturbances in open offices?,WELLBEING,CAPABILITY,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:07,can the building identify underutilized space to improve efficiency?,OCCUPANCY,CAPABILITY,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:07,how does the building prevent cold or hot spot in larg areas?,THERMAL,STATUS,INFORMATIONAL,STATIC,BUILDING,LOOKUP
P81,Student/Researchers/Academics,4,13/04/2026 03:06,are adaptive lighting system used to support cricadian ehythms?,LIGHTING,STATUS,INFORMATIONAL,STATIC,UNSPECIFIED,LOOKUP
