Username,Personas,Scenarios,Scenarios_Words,Interaction,Interaction_Words,Trust,Trust_Words,Success,Success_Words,PainPoints,PainPoints_Words,UpdatedAt,CreatedAt
P96,Student/Researchers/Academics,"one evening, the parking gate malfunctioned, and i was stuck outside, wishing i could ask the building how to open it quickly",22,"i would prefer quick voice or chat interaction, getting simple clear answer and instant alerts, without needing to open or understand complex dashboards",23,"i would trust it if it explained date usage clearly and stayed secure, but i would acoid it if errors increased or privacy felt unsafe",25,"it would be useful if it delivered real time insights, reduced manual effort, and I'd measure success by faster decisions and fewer operational errors",24,"the most frustrating part is slow navigation and too many filters, which makes it hard to quickly find simple information when i need it urgently",25,2026-04-13 03:30:07,2026-04-13 03:30:07
P78,IT/Data Scientists,"One afternoon, the office felt incredibly stuffy and humid, causing my team to lose focus and feel sluggish. I wanted to ask the building, ""Is the CO2 level too high in here, or is the HVAC malfunctioning?"" A helpful answer would have been: ""The CO2 is at 1,200ppm; I am increasing fresh air intake now, and it will be back to normal in 10 minutes."" This would have reassured us and saved us from a wasted, unproductive afternoon.
",78,"I would prefer a natural language chat interface on my phone or desktop for quick questions, but with voice activation for hands-free use in common areas.
",26,"To trust the system, I would need a clear disclaimer that all occupancy data is fully anonymized and never linked to my personal identity or exact location history. I am concerned about ""digital micromanagement"" where the building tracks my every move.
",41,"The system would be genuinely useful if it acted as a proactive assistant rather than a passive log. Success would be measured by a tangible reduction in manual checks—such as saving me 4 hours a week by automatically correlating HVAC performance with occupancy trends.
",44,"The most frustrating part is that current systems are data-rich but insight-poor. They feel like a ""black box"" where simple information—like why a room is cold—is buried under layers of complex menus and rigid, technical charts designed only for engineers.
",40,2026-04-12 15:36:48,2026-04-11 14:25:16
P82,IT/Data Scientists,"During a high-pollen spring day, the office felt stuffy, and my allergies spiked. I wished I could ask: 'Is the outdoor air quality poor today, and are the building filters currently set to high-purification mode?' A helpful answer would have confirmed the filtration status and suggested a desk away from the air intake vents.",54,"I want the chatbot to use plain language, not technical jargon like 'CFM' or 'Lux levels.' It should provide visual maps for location-based answers and offer a 'Follow-up' button (e.g., 'Would you like me to lower the blinds for you?') to turn information into immediate action.",46,"My biggest concern is anonymity. I want to know that my comfort complaints or location data aren't being used by management to track my productivity. To trust it, the system must clearly state that data is aggregated and encrypted, focusing on building health rather than individual monitoring.",47,"Success looks like a 15% reduction in 'hot/cold' tickets and higher employee satisfaction scores. Impact-wise, it empowers non-technical staff to feel in control of their environment, leading to a more inclusive and responsive workplace culture where everyone’s comfort matters.",39,"urrently, we rely on static wall thermostats or slow email ticketing systems. The main pain point is the 'black box' effect: you put in a request and never hear back. A chatbot solves this by providing instant transparency—knowing exactly why a room is at a certain temperature in seconds.",49,2026-04-12 15:23:09,2026-04-11 14:42:51
P67,Student/Researchers/Academics,"during a sudden heating failure, i wished i could ask the building when it would be fixed and how to stay comfortable quickly",23,"i would prefer talking to the building using voice, receiving clear spoken answers and quick alerts on my phone or watch for convenience",23,"i would trust it if it gave consistent, accurate answers and protected my data, but i would avoid it if privacy or security felt compromised",25,"it would be genuinely useful if it automated repetitive tasks, offered insights current tools cannot, and success would be measured by efficiency and fewer daily issues",26,"the most frustrating part is that information is scattered across different screens, making it slow and stressful to find what i need quickly",23,2026-04-12 14:32:25,2026-04-11 03:15:06
P92,Occupants/Tenants/Employees; Guests/Visitors,"I would like to be able to ask what avenues are available for exit when there is a fire. Also, if there is an active shooter...can the building do anything to disarm the shooter?",34,"I would like to be able to just talk out loud to it...like ""hey building"" and then go on from there.",21,I would just like to see if it had our backs...not surprising though. I think that it could do something like alert if there are outside entities looking at internal data.,31,"A shooter in the building that was stopped or killed sooner than anything. If the building could either zap him or have a room lock him in, that would be super impressive.",32,Figuring out where I am in relation to where I am trying to go on the map. I always struggle with this type of map. Maybe it could have a audio directional as well.,34,2026-04-12 12:21:32,2026-04-12 12:21:32
P48,Student/Researchers/Academics,"one morning, the water supply stopped suddenly , and i wished i could ask the building what happened and when normal service would return",24,"i prefer interacting through voice or simple chat, receiving instant clear answer as text or alerts, without needing to navigate complex dashboards frequently",23,"i would trust it if it ensured strong data protection and acurate answers, but i would stop using it if privacy or security risk increased",25,"it would be useful if it simplified decision making, reduced manual effort, and I'd measure success by quicker responses and fewer erroes in daily operations",25,"the most frustrating part is that data is hard to locate, so i spend too much time searching instead of quickly getting useful information",24,2026-04-12 12:08:04,2026-04-09 13:28:11
P90,Occupants/Tenants/Employees,It needs to be simple to use for all ages and possibly available in multiple languages for anyone to use.  It should be available 24 hours a day in case of emergencies.  ,32,I would like to be able to pull up usage statistics anytime in the building to see how things are running.,21,There needs to be a data privacy system in place to keep information tracked anonymous and protect people's privacy.  You should be able to opt out of it as well.,30,AI should be an important part of the total building monitoring system to make automation a lot easier and more efficient.,21,"The data that occupants can pull up should be able to be reformatted into various forms such as graphs, charts, and numerical data.",23,2026-04-12 09:46:29,2026-04-12 09:46:29
P91,Occupants/Tenants/Employees,If the power went out I would like to know if they would be able to tell when it would be restored and if there were backup generators and how effective they are,33,I would like to get answers in real time with up to date data that is accurate and relevant to what I'm asking about,24,"I would like to know what data is being collected, who can see it and what its being used for and if it's kept and if so for how long",30,"If the data is current, I would like it to keep daily notes that are easy to access and understand",20,Having multiple lines of data with big words that you can't really understand and figuring out what's the data you need ,21,2026-04-12 09:43:18,2026-04-12 09:43:18
P56,Student/Researchers/Academics,"Once, the elevator stopped unexpectedly, and felt worried, wishing I could ask the building what caused it and when it would resume.",22,"I would prefer simple voice or chat interaction ,getting quick answers as clear text and alerts, without needing to open complicated dashboards or charts.",24,"I would trust if it handled my data responsibly and gave accurate answers,but I'd avoid using it if privacy or security felt unreliable.",23,"It would be useful if it predicted problems early, reduced manual work, and I'd measure success by improved efficiency and fewer daily operational issues.",24,"The most frustrating part is unclear data presentation, so I spend extra time understanding simple details and stil struggle to find accurate information quickly.",24,2026-04-12 09:15:07,2026-04-10 03:57:18
P51,Student/Researchers/Academics,"one time, the air conditioning stopped working, and i wished i could ask the building what went wrong and when it would be fixed",24,"during a power outage, i felt unsure what was happening and wished i could ask the building how long it would take to restore",24,"i would trust the system if it was transparent, accurate, and secure, but i would avoid it if my personal data was misused",23,"i would trust it if it provided consistent, accurate answer and protected privacy, but i would stop using it if security breaches or errors occurred",25,"the most frustrating part is slow loading dashboards and unclear data, which makes it hard to quickly understand issues and take the right action",24,2026-04-12 01:13:59,2026-04-09 14:07:46
P89,Student/Researchers/Academics,"Late evening,lights suddenly turned off, and I felt unsafe, wishing I could ask the building why it happened and restore lighting immediately.",22,"I prefer quick voice interaction with simple text confirmations and instant alerts, so I can understand responses easily without checking dashboards or charts.",23,"I would trust it if it consistently gave accurate information and protected my data, but I'D stop using it if privacy or security felt weak.",25,"It would be useful if it proactively detected issues, reduced manual effort, and I'd measure success through faster resolutions and improved daily operational efficiency.",24,"The most frustrating part is information is scattered, so I spend too much time searching, and still struggle to find what I need quickly.",24,2026-04-11 23:20:36,2026-04-09 11:11:03
P88,Facility Managers / Building Maintenance Teams,"During a heatware, i wanted to know which floors where coolest.It would save me 3 hours of report writing a week by auto generating energy.",25,I would like to type  questions in a chat window and get answers.It would save me 3 hours of report writing a week by auto generating energy.,27,I would need to see the data source cited and occupancy.It would save me 3 hours of report writing a week by auto generating energy.,25,It would save me 3 hours of report writing a week by auto generating energy.It would save me 3 hours of report writing a week by auto generating energy.,29,Current dashboards are too complex require 10 clicks to fing one piece of data.It would save me 3 hours of report writing a week by auto generating energy.,28,2026-04-11 22:54:21,2026-04-11 22:54:21
