qid,personas,stage,question,level,level_name,latent_level,latent_level_name,gap_score,n_new,difficulty,answer_basis,answerability,why,latent_why,architecture,pipeline_stages,data_sources,new_items_str
q852fc7b2ef1c,Student/Researchers/Academics,4,can the building automatically optimize energy use during weekends or holidays?,1,Factual Recall,6,Meta / Strategic Reasoning,5,5,18,building-data,requires_extension,Capability yes/no about weekend/holiday optimization; clear single-fact check.,"Automatic optimization requires cross-domain planning, forecasting, calendar/occupancy/energy data, and actuation loop.",ontology/knowledge graph; time-series store; analytics sandbox; forecasting; LangGraph planner; control intent; RBAC; response cache; visualisation; [NEW] energy metering feed via new data source + add to ontology; [NEW] calendar/holiday API via external API; [NEW] occupancy or booking feed via new data source/API; [NEW] weather and/or tariff API via external API; [NEW] physical BMS write-back/control API via new data source,dialogue -> intent classification -> capability check -> ontology query -> [NEW] calendar/occupancy/energy/weather retrieval -> forecasting/optimization planning -> RBAC approval -> control loop -> monitoring -> response,building ontology; available temperature/CO2/humidity streams where live; [NEW] energy meter time-series; [NEW] holiday/calendar API; [NEW] occupancy/booking feed; [NEW] weather/tariff APIs; [NEW] BMS write-back/control API,BMS actuation / write-back; Calendar / room-booking API; Energy metering; Occupancy sensing; Weather feed
q223ba26d669b,Student/Researchers/Academics,3,can the building detect and adapt to changing weather conditions?,1,Factual Recall,6,Meta / Strategic Reasoning,5,3,16,building-data,requires_extension,Yes/no capability check; no detailed diagnosis or design requested.,"Weather-adaptive control needs external weather, full zone telemetry, forecasting, and BMS actuation.",ontology/knowledge graph; capability KB; time-series store; forecasting; analytics sandbox; LangGraph control; [NEW] external weather API or weather-station feed (new data source; add weather points to ontology); [NEW] live floor 0-4 zone telemetry feeds (new data source); [NEW] BMS write-back/control API (external API),dialogue -> capability routing -> ontology/capability query -> [NEW] weather feed -> telemetry retrieval -> forecasting -> control planning -> [NEW] BMS actuation loop -> response,building ontology; capability KB; floor 5 temp/humidity/CO2 streams; [NEW] floor 0-4 live telemetry; [NEW] weather API; [NEW] BMS control/status API,BMS actuation / write-back; Live streams floors 0-4; Weather feed
qd02613983960,Student/Researchers/Academics,3,can the building adjust settings automatically based on occupancy changes?,1,Factual Recall,6,Meta / Strategic Reasoning,5,2,15,building-data,requires_extension,Capability yes/no about occupancy-driven automatic control; clear single-fact check.,"Closed-loop occupancy control needs occupancy sensing, policy logic, BMS write-back, safety and RBAC.",LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox/rules; RBAC; control intent; [NEW] occupancy sensing/API (new data source + add to ontology); [NEW] BMS write-back/control API (new external/control interface + add writable points to ontology),dialogue -> capability/control planning -> ontology controllable-point lookup -> [NEW] occupancy stream -> policy/rule evaluation -> safety/RBAC check -> [NEW] BMS control write-back -> monitor/response,building ontology; existing live temp/CO2/humidity where available; [NEW] occupancy time-series/API; [NEW] writable BMS control interface,BMS actuation / write-back; Occupancy sensing
q523cd5ff98f2,IT/Data Scientists,4,"Can the system predict a ""Peak Demand"" event based on the afternoon weather forecast and start pre-cooling the building?",1,Factual Recall,6,Meta / Strategic Reasoning,5,6,19,building-data,requires_extension,Surface asks a yes/no capability check; answer determinacy is single-fact.,"Peak prediction plus pre-cooling needs external forecasts, demand data, optimisation and control loop.",LangGraph; ontology/knowledge graph; time-series store; forecasting; analytics sandbox; control intent; visualisation; [NEW] whole-building electric demand meter feed (new data source); [NEW] live zone temperature streams for floors 0-4 (new sensor feed); [NEW] weather forecast API (new data source); [NEW] utility peak-demand/tariff feed (new data source); [NEW] BMS HVAC write-back API/control points (new data source + add to ontology); [NEW] pre-cooling optimisation policy (add to ontology+KB),dialogue -> intent classification -> ontology query -> retrieve live zone and demand data -> [NEW] weather/tariff retrieval -> demand forecast -> pre-cooling optimiser -> control loop/BMS write-back -> monitoring -> response,building ontology; live floor 5 temperature/CO2/humidity; [NEW] live zone temperature for floors 0-4 (new sensor feed); [NEW] whole-building electric demand time-series; [NEW] weather forecast feed; [NEW] utility peak/tariff feed; [NEW] HVAC actuator/status points,BMS actuation / write-back; Live streams floors 0-4; Other / niche; Policy / document KB; Tariff / cost data; Weather feed
q22c4c3793d53,IT/Data Scientists,4,Could escalators switch to standby when corridors are empty?,1,Factual Recall,6,Meta / Strategic Reasoning,5,4,17,building-data,requires_extension,Surface asks a clear yes/no capability check despite complex implementation.,"Needs escalator controls, corridor occupancy, safety interlocks and an actuation loop; streams/interfaces are missing.",LangGraph orchestrator; ontology/knowledge graph; spatial reasoning/floor plans; control intent; analytics sandbox; [NEW] escalator assets/standby capability (add to ontology+KB); [NEW] corridor occupancy sensor feed (new data source); [NEW] escalator controller/BMS write-back interface (new external control API); [NEW] safety/interlock rules (add to ontology+KB),dialogue -> capability check -> ontology/spatial query -> [NEW] occupancy/control telemetry retrieval -> safety rule evaluation -> standby policy planning -> control loop/approval -> response,building ontology; floor plans; [NEW] corridor occupancy time-series; [NEW] escalator status/control telemetry; [NEW] safety and interlock policy data,BMS actuation / write-back; Occupancy sensing; Other / niche; Policy / document KB
q6e9e8fd31e7f,IT/Data Scientists,4,"If water flow is detected for 2 hours straight in a bathroom at night, can the system automatically shut off that valve?",1,Factual Recall,6,Meta / Strategic Reasoning,5,2,15,building-data,requires_extension,"Yes/no automation capability check with a clear condition; human verifies sensors, rule and actuator exist.","Needs new water-flow telemetry, valve topology and physical shutoff actuator in a safety-checked control loop.",LangGraph; ontology/knowledge graph; floor-plan/spatial reasoning; time-series store; analytics/rule engine; alerting; RBAC/control; [NEW] plumbing/valve classes added to ontology+KB; [NEW] bathroom water-flow sensor feed (new data source); [NEW] smart-valve actuator/BMS write-back API (new data source),dialogue -> intent classification/control -> ontology/spatial query -> [NEW] water-flow retrieval -> 2h continuity rule/anomaly check -> alert/RBAC safety check -> [NEW] valve shutoff command -> verify state -> response,building ontology/floor plans; building hours config; [NEW] bathroom water-flow time-series; [NEW] plumbing/valve topology; [NEW] valve actuator state/control API,BMS actuation / write-back; Water metering
q64896f58ec6c,IT/Data Scientists,4,"Can the lifts ""learn"" that the cafeteria floor is the priority destination at exactly 12:05 PM?",1,Factual Recall,6,Meta / Strategic Reasoning,5,5,18,building-data,requires_extension,Yes/no lift capability check with clear time and destination; answer depends on telemetry and dispatch control.,"Requires new lift telemetry, passenger demand modelling and controller write-back to change dispatch priority.",LangGraph; ontology/knowledge graph; capability KB; time-series store; forecasting; analytics sandbox; RBAC/control; [NEW] lift call/destination telemetry feed (new data source); [NEW] passenger-count/occupancy feed (new data source); [NEW] lift dispatch controller/BMS write-back API (new data source); [NEW] calendar/term schedule API (new data source),dialogue -> capability check -> KB lookup cafeteria floor -> [NEW] lift telemetry retrieval -> demand forecasting at 12:05 -> dispatch policy optimisation/safety constraints -> RBAC approval -> [NEW] priority command to lift controller -> monitor -> response,building ontology/capability KB for lifts and cafeteria floor; [NEW] lift call/destination logs; [NEW] passenger counts/occupancy; [NEW] cafeteria/calendar schedule; [NEW] lift controller state/control API,BMS actuation / write-back; Calendar / room-booking API; Equipment condition monitoring; Occupancy sensing; Other / niche
q6b4aad51efbf,IT/Data Scientists,4,"In open-plan offices, could ""pink noise"" be automatically adjusted based on how loud the ambient chatter is?",1,Factual Recall,6,Meta / Strategic Reasoning,5,3,16,hybrid,requires_extension,Yes/no automation capability check with clear sensor input and actuator output; single capability answer.,"Needs new acoustic sensing, open-office zone mapping and speaker control in a closed-loop sound-masking system.",LangGraph; ontology/knowledge graph; floor-plan/spatial reasoning; time-series store; analytics sandbox; RBAC/control; LLM acoustic guidance; [NEW] open-plan acoustic zones added to ontology+KB; [NEW] ambient noise/SPL microphone sensor feed (new data source); [NEW] pink-noise speaker/sound-masking controller API (new data source); [NEW] acoustic comfort/privacy policy added to capability KB,dialogue -> capability check -> spatial query open-plan offices -> [NEW] SPL/chatter stream retrieval -> rolling dBA analytics -> control policy computes masking level -> RBAC/safety limits -> [NEW] speaker command -> monitor -> response,building ontology/floor plans; general acoustic comfort knowledge; [NEW] open-plan acoustic zone metadata; [NEW] ambient noise/SPL time-series; [NEW] pink-noise speaker state/control API; [NEW] acoustic comfort/privacy policy,BMS actuation / write-back; Noise / acoustic sensing; Other / niche
qd0a57138b971,IT/Data Scientists,3,"Can the motion sensors ""predict"" your path and illuminate the next 3 lights in the corridor before you actually reach them?",1,Factual Recall,6,Meta / Strategic Reasoning,5,4,17,building-data,requires_extension,Reads as a yes/no capability check about predictive corridor lighting.,"Real capability needs motion sensing, path prediction, spatial light selection and closed-loop lighting actuation.",ontology/knowledge graph; time-series store; floor-plan + spatial reasoning; LangGraph planner; control intent; [NEW] motion/PIR sensor feed (new data source + add to ontology); [NEW] lighting fixture/controller topology and status/control API (new data source + add to ontology); [NEW] predictive path-lighting model/control policy (new method),dialogue -> capability/control intent -> ontology and floor-plan query -> [NEW] motion stream -> [NEW] path prediction -> select next 3 lights -> control command -> feedback check -> response,building ontology; floor plans; [NEW] motion sensor event stream; [NEW] lighting fixture/controller topology and status/control feed; [NEW] corridor-fixture adjacency model,BMS actuation / write-back; Lighting sensing/control; Occupancy sensing; Other / niche
qf2e2c5f82c65,IT/Data Scientists,3,Does the green roof moisture sensor override the watering schedule if the weather forecast predicts rain within 6 hours?,1,Factual Recall,6,Meta / Strategic Reasoning,5,4,17,building-data,requires_extension,Yes/no control-capability lookup for a specific moisture/forecast override rule.,"Needs new green-roof moisture, forecast and irrigation scheduler feeds with override control.",LangGraph orchestrator; ontology/knowledge graph; time-series store; control loop; [NEW] green-roof moisture sensor feed (new data source; add to ontology); [NEW] irrigation scheduler/control API (new data source; add to ontology+KB); [NEW] weather forecast API (external API),dialogue -> intent classification -> ontology query -> [NEW] moisture retrieval -> [NEW] 6h weather forecast -> [NEW] irrigation schedule/control rule lookup -> override evaluation -> control-loop status -> response,building ontology; [NEW] green-roof moisture time-series (new sensor feed); [NEW] irrigation schedule/control system (new data source); [NEW] weather forecast API (external API); [NEW] green-roof asset/policy facts added to ontology+KB,Calendar / room-booking API; Other / niche; Policy / document KB; Weather feed
