qid,key,username,roles,qnum,stage,timestamp,question,cognitive_operation,reasoning_load,answer_determinacy,uncertainty,ambiguity,level,level_name,why,latent_level,latent_level_name,latent_why,answer_basis,architecture,parameters,pipeline_stages,data_sources,answerability,provider,model,classified_at
q1ce7b41a3e9f,P96|1|q1ce7b41a3e9f,P96,Student/Researchers/Academics,1,4,13/04/2026 03:18,can the building measure how greenery impact occupant satisfaction?,recall,trivial,single-fact,none,clear,1,Factual Recall,Yes/no capability check; clear single fact with no human reasoning.,4,Causal Diagnosis,Needs greenery and satisfaction data plus correlation/causal analytics; both feeds are absent.,building-data,ontology/knowledge graph; analytics sandbox; visualisation; [NEW] occupant-satisfaction survey pipeline (new data source + inputs file); [NEW] greenery-coverage estimator/sensors (new data source + ontology classes),"entities: greenery features, occupants, satisfaction surveys, spaces; time range: survey/greenery observation periods; thresholds: correlation/effect-size optional; units: satisfaction score, greenery coverage %, count; aggregation: by space/floor/time; filters: occupied areas",dialogue -> capability check -> ontology query -> [NEW] survey ingestion -> [NEW] greenery data ingestion -> analytics(correlation) -> visualisation -> response,building ontology; [NEW] occupant satisfaction survey store; [NEW] greenery sensor/CV feed,requires_extension,openai,gpt-5.5,2026-06-07 15:22:07
q8e57b1abc00c,P96|2|q8e57b1abc00c,P96,Student/Researchers/Academics,2,4,13/04/2026 03:18,are there features that promote interaction with green or natural elements?,recall,trivial,single-fact,none,clear,1,Factual Recall,Yes/no feature inventory request; clear building-specific lookup.,3,Inferential Reasoning,Requires feature inventory plus spatial/floor-plan linkage; green/natural features are not encoded.,building-data,ontology/knowledge graph; capability KB; floor-plan + spatial reasoning; [NEW] biophilic/green-natural feature inventory added to ontology+KB or inputs YAML/TTL,"entities: green/natural elements, biophilic features, interaction spaces; time range: current/static; thresholds: n/a; units: n/a; aggregation: list by floor/space; filters: occupant-accessible, interaction-promoting features",dialogue -> intent classification -> [NEW] biophilic-feature inventory ingest -> ontology/KB query -> floor-plan spatial query -> response,building ontology; capability KB; floor plans; [NEW] biophilic/natural-element inventory (add to ontology+KB / inputs file),requires_extension,openai,gpt-5.5,2026-06-07 15:22:07
q5088ae648eac,P96|3|q5088ae648eac,P96,Student/Researchers/Academics,3,4,13/04/2026 03:17,how does the building support water conservation during peak usage?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,"Explaining peak-use conservation needs derived links between usage, fixtures and controls.",5,Systemic Synthesis,"Needs water, occupancy and fixture-system fusion with peak analytics; water/occupancy feeds absent.",building-data,ontology/knowledge graph; time-series store; analytics sandbox; visualisation/report generation; [NEW] water metering/submetering feed (new data source + ontology points); [NEW] plumbing/fixture/conservation-system inventory (ontology+KB/inputs); [NEW] occupancy or calendar feed (new data source/API),"entities: water meters/submeters, fixtures, conservation systems, zones; time range: peak-use periods such as recent weeks/months; thresholds: peak percentile, baseline usage; units: L, L/min, m3; aggregation: by zone/floor/time-of-day; filters: potable/non-potable, occupied periods",dialogue -> intent classification -> ontology query -> [NEW] water/occupancy retrieval -> peak detection analytics -> conservation asset mapping -> report/visualisation -> response,building ontology; capability KB/floor plans; [NEW] water meter time-series; [NEW] plumbing/fixture conservation inventory; [NEW] occupancy/calendar feed,requires_extension,openai,gpt-5.5,2026-06-07 15:22:07
qee8da2e60759,P96|4|qee8da2e60759,P96,Student/Researchers/Academics,4,4,13/04/2026 03:16,can water usage patterns help identify inefficiencies in specific areas?,recall,trivial,single-fact,none,clear,1,Factual Recall,Yes/no analytics capability check; clear single capability.,4,Causal Diagnosis,Needs zoned water time-series and anomaly/benchmark analytics; water streams are not instrumented.,building-data,ontology/knowledge graph; time-series store; analytics sandbox; anomaly detection; visualisation; [NEW] zoned water submeter/flow-sensor feed (new data source + ontology points); [NEW] plumbing/fixture-to-area mapping (ontology+KB/inputs),"entities: water meters/submeters, fixtures, zones, floors; time range: recent operational history; thresholds: leak/continuous-flow baselines, outlier thresholds; units: L/min, m3; aggregation: by area/hour/day; filters: target zones, fixture types",dialogue -> intent classification -> capability check -> ontology area mapping -> [NEW] water time-series retrieval -> anomaly/benchmark analytics -> visualisation -> response,building ontology; floor plans; [NEW] zoned water submeter time-series; [NEW] plumbing/fixture-to-area mapping,requires_extension,openai,gpt-5.5,2026-06-07 15:22:07
qbc22907795c1,P96|5|qbc22907795c1,P96,Student/Researchers/Academics,5,4,13/04/2026 03:15,are there systems to ensure safe drinking water quality at all times?,recall,trivial,single-fact,none,clear,1,Factual Recall,Yes/no safety-system capability; clear factual check.,4,Causal Diagnosis,"Needs continuous water-quality monitoring, standards checks and logs; no water-quality data exists.",hybrid,ontology/knowledge graph; time-series store; analytics sandbox; compliance/alert intent; report generation; [NEW] potable-water quality sensor feed (pH/turbidity/chlorine/temp; new data source + ontology points); [NEW] lab sampling and maintenance/compliance records (new data source or inputs files); [NEW] potable-water treatment/plumbing asset inventory (ontology+KB/inputs),"entities: drinking-water outlets, tanks, pipes, treatment assets, quality sensors; time range: current/continuous plus compliance history; thresholds: regulatory limits for pH, turbidity, residual disinfectant, temperature/Legionella risk; units: pH, NTU, mg/L, °C, CFU if lab; aggregation: latest/status by outlet/zone and uptime; filters: potable-water points",dialogue -> intent classification -> ontology/capability query -> [NEW] water-quality sensor/lab log retrieval -> standards threshold checks/anomaly monitoring -> alert/compliance summary -> response,building ontology; general drinking-water safety standards; [NEW] water-quality sensor time-series; [NEW] lab/maintenance compliance records; [NEW] potable-water system inventory,requires_extension,openai,gpt-5.5,2026-06-07 15:22:07
qa4be759bb360,P96|6|qa4be759bb360,P96,Student/Researchers/Academics,6,4,13/04/2026 03:15,how does the building respond to sudden increases in indoor pollutants?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,Asks how a response works; derived sequence with moderate uncertainty and ambiguity around pollutant type.,4,Causal Diagnosis,"Needs pollutant event detection, time-series analytics, HVAC/control status, and response explanation.",building-data,ontology/knowledge graph; time-series store; analytics sandbox; LangGraph orchestrator; visualisation; [NEW] IAQ pollutant sensor feed for PM/VOC/NO2 via new data source + add to ontology; [NEW] BMS actuator/status/control-sequence feed via new data source + add to ontology,"entities: indoor pollutants, IAQ sensors, HVAC zones/AHUs; time range: event window around sudden rise; thresholds: pollutant and CO2 alert limits; units: ppm, µg/m3, %, °C; aggregation: event-level trend/statistics; filters: affected rooms/zones",dialogue -> intent classification -> ontology query -> time-series retrieval -> [NEW] pollutant/control feed retrieval -> anomaly detection -> control-response analysis -> visualisation -> response,building ontology; floor 5 CO2/temperature/humidity streams; [NEW] PM/VOC/NO2 sensor time-series; [NEW] BMS actuator/status and control-sequence logs,requires_extension,openai,gpt-5.5,2026-06-07 15:59:43
q51c096397d22,P96|7|q51c096397d22,P96,Student/Researchers/Academics,7,4,13/04/2026 03:14,can indoor air quality be maintained without excessive energy use?,synthesis,high,synthesised,high,ambiguous,5,Systemic Synthesis,Broad IAQ-energy trade-off; synthesised answer with high uncertainty and ambiguous 'excessive'.,1,Factual Recall,Conceptual feasibility question; satisfactory answer is one LLM explanation with no building data.,general-knowledge,LLM (general knowledge),"entities: indoor air quality, ventilation, filtration, energy use; time range: none; thresholds: qualitative comfort/IAQ norms; units: none; aggregation: none; filters: none",dialogue -> LLM answer -> response,general LLM knowledge,full,openai,gpt-5.5,2026-06-07 15:59:43
q56a4a06d70cd,P96|8|q56a4a06d70cd,P96,Student/Researchers/Academics,8,4,13/04/2026 03:14,are there controls to reduce cooling when outdoor temperatures are lower?,recall,trivial,single-fact,none,clear,1,Factual Recall,"Yes/no capability check for cooling controls; clear, single-fact answer if control docs exist.",3,Inferential Reasoning,"Needs linked HVAC metadata, control sequences, and outdoor-temperature availability.",building-data,ontology/knowledge graph; capability knowledge base; LangGraph orchestrator; [NEW] HVAC economizer/free-cooling control sequence added to ontology + capability KB; [NEW] outdoor air temperature sensor or weather API via new data source,"entities: cooling controls, AHUs/zones, outdoor temperature; time range: current or configured sequence; thresholds: outdoor-air lockout/free-cooling setpoints; units: °C; aggregation: none; filters: cooling-capable zones/equipment",dialogue -> intent classification -> ontology query -> capability/control-sequence lookup -> [NEW] outdoor-temperature source check -> response,building ontology; HVAC capability KB facts; [NEW] BMS control-sequence documentation; [NEW] outdoor temperature sensor feed or weather API,requires_extension,openai,gpt-5.5,2026-06-07 15:59:43
qc639f1e2e2d4,P96|9|qc639f1e2e2d4,P96,Student/Researchers/Academics,9,4,13/04/2026 03:13,how does the system identify and manage energy intensive equipment?,inference,moderate,derived,moderate,moderate,3,Inferential Reasoning,"Asks for system mechanism; answer is a derived workflow, not a single fact.",5,Systemic Synthesis,"Energy-intensive equipment management needs energy telemetry, equipment topology, analytics, reports, and controls.",building-data,ontology/knowledge graph; time-series store; analytics sandbox; forecasting; anomaly detection; LangGraph orchestrator; report generation; visualisation; control intent; [NEW] energy submetering feed via new data source + add to ontology; [NEW] equipment power/control-status feed via new data source; [NEW] occupancy or schedule feed via new data source; [NEW] physical BMS write-back/control API via new data source,"entities: equipment, submeters, HVAC/control points; time range: configurable, e.g. last day/week/month; thresholds: kWh, kW peak, benchmark intensity; units: kWh, kW, W/m2; aggregation: by equipment/zone/time period; filters: equipment type, floor, operating schedule",dialogue -> intent classification -> ontology query -> [NEW] energy/equipment data retrieval -> analytics ranking/anomaly detection -> management recommendation -> control planning -> report/visualisation -> response,building ontology; [NEW] energy submeter time-series; [NEW] equipment power/status/control logs; [NEW] occupancy or schedule data; [NEW] BMS write-back/control API,requires_extension,openai,gpt-5.5,2026-06-07 15:59:43
q852fc7b2ef1c,P96|10|q852fc7b2ef1c,P96,Student/Researchers/Academics,10,4,13/04/2026 03:12,can the building automatically optimize energy use during weekends or holidays?,recall,trivial,single-fact,none,clear,1,Factual Recall,Capability yes/no about weekend/holiday optimization; clear single-fact check.,6,Meta / Strategic Reasoning,"Automatic optimization requires cross-domain planning, forecasting, calendar/occupancy/energy data, and actuation loop.",building-data,ontology/knowledge graph; time-series store; analytics sandbox; forecasting; LangGraph planner; control intent; RBAC; response cache; visualisation; [NEW] energy metering feed via new data source + add to ontology; [NEW] calendar/holiday API via external API; [NEW] occupancy or booking feed via new data source/API; [NEW] weather and/or tariff API via external API; [NEW] physical BMS write-back/control API via new data source,"entities: building, HVAC zones/equipment, schedules; time range: weekends/holidays and forecast horizon; thresholds: energy targets, comfort limits, setback setpoints; units: kWh, kW, °C, ppm, %RH; aggregation: daily/holiday/weekend totals and forecasts; filters: occupied/unoccupied zones, RBAC-authorised controls",dialogue -> intent classification -> capability check -> ontology query -> [NEW] calendar/occupancy/energy/weather retrieval -> forecasting/optimization planning -> RBAC approval -> control loop -> monitoring -> response,building ontology; available temperature/CO2/humidity streams where live; [NEW] energy meter time-series; [NEW] holiday/calendar API; [NEW] occupancy/booking feed; [NEW] weather/tariff APIs; [NEW] BMS write-back/control API,requires_extension,openai,gpt-5.5,2026-06-07 15:59:43
