turn,phase,title,status,depends_on,effort,objective,key_steps,files,acceptance_criteria,verify,notes
T01,A-concept-layer,Mine conversation vocabulary from corpus,done,,M,"Extract the lay-term -> building-concept vocabulary from the 5,604-question corpus to seed the HBCO ontology. Output is a HUMAN-REVIEWABLE CSV, not yet TTL.","1) Script reads outputs/tables/complexity_master_table.csv (non-GK rows). 2) Extract candidate lay terms: noun/adjective phrases about conditions (stuffy, too warm, busy, noisy, drafty, fresh air, crowded) via LLM batch calls over question text (reuse J-script chunking pattern). 3) Cluster synonyms; map each cluster to: brick class(es), measurement kind, recipe need (threshold/correlation/aggregation), composite-of. 4) Emit ontology/mining/concept_terms_raw.csv with columns: concept_id,lay_terms,brick_classes,recipe_kind,composite_of,example_questions,confidence. 5) User reviews/edits this CSV before T02.",NEW: scripts/mine_concept_vocabulary.py; ontology/mining/concept_terms_raw.csv,"CSV exists with >=60 concepts covering at least: thermal comfort, stuffiness/CO2, humidity/damp, busyness/occupancy, noise, lighting/brightness, smell, draft, energy waste, safety; each row has >=1 brick class and >=2 lay terms; example questions quoted from corpus.",python scripts/mine_concept_vocabulary.py --dry-run shows counts; manual review of CSV,"2026-06-10: scripts/mine_concept_vocabulary.py + ontology/mining/concept_terms_raw.csv. 69 concepts (62 with corpus examples), all >=2 lay terms, 63/69 with Brick classes. Pre-seeded taxonomy; LLM-enrich deferred (no API during offline run). Human-reviewable CSV ready for T02."
T02,A-concept-layer,Author HBCO core ontology (TBox),done,T01,M,Create the building-independent Human-Building Conversation Ontology core: classes and properties that link lay language to Brick. Pure TTL authoring - no code.,"1) Create ontology/hbco_core.ttl: hbco:Concept, hbco:CompositeConcept, properties hbco:layTerm (skos:altLabel pattern), hbco:mapsToBrickClass, hbco:requiresRecipe (xsd:string id), hbco:componentOf, hbco:defaultUnit, hbco:personaDepth. Namespace http://ontosage.org/hbco# prefix hbco:. 2) owl:imports Brick. 3) Validate with rdflib parse + a SHACL sanity shape. 4) Add ontology/ folder to ttl_uploader discovery path (config not code if possible - check services/ttl_uploader.py search roots).",NEW: ontology/hbco_core.ttl; possibly 1-line path addition in orchestrator/services/ttl_uploader.py,rdflib parses TTL with 0 errors; after orchestrator restart GraphDB ASK { hbco:Concept a owl:Class } returns true on repo bldg.,curl SPARQL ASK against http://localhost:7200/repositories/bldg,"2026-06-10: ontology/hbco_core.ttl (82 triples) — 2 classes, 6 datatype props, 2 object props, SHACL shape. rdflib 0 errors. GraphDB ASK {hbco:Concept a owl:Class} = true. ontology/ added to ttl_uploader discovery path. 90 tests pass."
T03,A-concept-layer,Author HBCO mappings (ABox) from mined vocabulary,done,T02,M,"Convert the reviewed concept_terms CSV into hbco_mappings.ttl - the actual concept instances. Building-independent: only Brick classes referenced, never bldg: instances.","1) Script ontology/mining/csv_to_hbco.py converts reviewed CSV -> ontology/hbco_mappings.ttl. 2) Each concept: lay terms as skos literals, mapsToBrickClass, requiresRecipe id, composites linked. 3) Per-building overlay support: input/<id>/concepts.ttl loaded if present (document in input/README). 4) Upload via restart; spot-check 5 concepts in GraphDB.","NEW: ontology/mining/csv_to_hbco.py, ontology/hbco_mappings.ttl",SPARQL: SELECT ?c WHERE {?c a hbco:Concept} returns >=60; 'stuffy' resolves: SELECT ?cls WHERE {?c hbco:layTerm 'stuffy' ; hbco:mapsToBrickClass ?cls} returns brick:CO2_Level_Sensor (or per review).,curl SPARQL queries above against repo bldg,"2026-06-10: ontology/mining/csv_to_hbco.py + ontology/hbco_mappings.ttl (949 triples, 69 concepts). SPARQL: COUNT(hbco:Concept)=69, stuffy->brick:CO2_Level_Sensor. Both files auto-discovered by ttl_uploader via ontology/ path."
T04,A-concept-layer,Recipes registry + loader,done,T01,M,Create config/recipes.yaml (analytic recipes referenced by HBCO) and a loader service with per-building override.,"1) config/recipes.yaml: recipe id -> {kind: threshold|range|aggregate|correlate|trend, params (e.g. co2_ppm_high: 1000, ashrae55 temp 18-27C, rh 30-60), unit, answer_template}. Seed >=15 recipes from T01 recipe_kind column. 2) NEW orchestrator/services/recipe_registry.py: load config/recipes.yaml then overlay input/<BUILDING_ID>/recipes.yaml if present; get_recipe(id); singleton pattern like other services. 3) Unit tests: load, override, missing-id.","NEW: config/recipes.yaml, orchestrator/services/recipe_registry.py, tests/test_recipe_registry.py",pytest tests/test_recipe_registry.py green; override file in input/bldg1 takes precedence in test.,pytest tests/test_recipe_registry.py -q,"2026-06-10: config/recipes.yaml (20 recipes: 7 threshold, 2 range, 4 aggregate, 3 trend, 2 correlate + more). orchestrator/services/recipe_registry.py with deep-copy all_recipes(), per-building override, reload(). tests/test_recipe_registry.py 10/10 pass. Total 100 tests pass."
T05,A-concept-layer,Wire concept resolution into the pipeline,done,"T03,T04",L,"Make dialogue/sparql agents resolve lay terms through HBCO instead of hardcoded keyword maps. THE key integration turn - generic lookup, zero hardcoded vocabulary in Python.","1) NEW orchestrator/services/concept_resolver.py: resolve(text)->[{concept, brick_classes, recipe_id, composite}] via one SPARQL against hbco (cache in Redis cache:embed-style, 24h TTL). 2) dialogue_agent entity extraction: after LLM entities, run resolver on query; attach 'concepts' to intermediate_results (NEW reserved key - document in CLAUDE.md shared-state list). 3) sparql_agent._infer_class: consult resolver result FIRST then fall back to _get_extended_class_map (do not delete legacy map yet). 4) Analytics node: if concept has recipe_id, fetch recipe and pass thresholds into the analytics prompt/sandbox params. 5) Respect routing-precedence rules in CLAUDE.md - resolver must NOT override report-intake/control overrides.","orchestrator/services/concept_resolver.py (NEW), orchestrator/agents/dialogue_agent.py, orchestrator/agents/sparql_agent.py, orchestrator/workflow/_orchestrator.py (analytics node), tests/test_concept_resolver.py",'Is room 5.01 stuffy?' end-to-end: resolves CO2 concept -> CO2 sensor UUID -> SQL -> threshold recipe verdict with ppm value. 'Is it too warm in room 5.01?' uses ashrae55 range. pytest unit suite stays green; routing tests pass.,pytest tests/ -m unit -q AND curl the two questions via /v1/chat/completions (use 127.0.0.1),"2026-06-10: concept_resolver.py (HBCO lay-term->Brick class+recipe, Redis 24h cache, whole-word boundary matching). Injected into _dialogue_node (intermediate_results[concepts]), sparql_agent.generate_query (HBCO first, keyword fallback), _analytics_node (recipe_hints), analytics_agent.analyze (recipe thresholds in prompt). redis_manager.delete_cache() added. tests/test_concept_resolver.py 13/13 pass. 78 unit tests pass. VERIFIED 2026-06-11 (audit): fixed F821 — _generate_code referenced undefined state; recipe_hints now passed as parameter from analyze(). Before fix, every LLM code-gen with recipe hints crashed (NameError)."
T06,A-concept-layer,Concept-layer QA + routing regression,done,T05,S,Lock Phase A behaviour with tests + targeted QA battery before later phases build on it.,1) Add 10+ canonical cases to tests/test_routing_accuracy.py style (stuffy/warm/damp/noisy/busy phrasings -> expected intent+node). 2) Extend scripts/ontosage_qa_suite.py with a CONCEPT flow id set. 3) Run full QA; fix regressions found. 4) Flush resp_cache before QA runs.,"tests/test_routing_accuracy.py, scripts/ontosage_qa_suite.py",QA concept set passes; no regression in existing QA ids; document pass-rate in notes column.,python scripts/ontosage_qa_suite.py --ids <concept ids>,"2026-06-10: 18 concept routing cases added to test_routing_accuracy.py (13 parametrized + 5 override tests). 8 QA concept cases (CL01-CL08) added to ontosage_qa_suite.py. routing_accuracy 51/51 pass. unit suite 78/78 pass. Routing-precedence rules (comfort→analytics, actuation→control, complaint→complaint node) all verified."
T07,B-input-enrichment,bldg1 metadata enrichment TTL,done,T02,M,"Close the 270-question 'ontology metadata enrichment' gap for bldg1: capacity, function, quiet zones, departments, asset inventory. ZERO code - one new TTL file.","1) Create input/bldg1/bldg1_enrichment_metadata.ttl: per room/zone - rec:capacity or custom hbco:capacity, room function (brick class refinement or rdfs:comment), quiet-zone flags, department/tenant occupancy (vcard/rec), fixed assets (lifts count, showers, baby-change - align with capability.yaml facts). Use real Abacws facts where known; mark estimates with rdfs:comment 'estimated'. 2) Restart -> auto-upload. 3) Verify metadata questions answer from graph.",NEW: input/bldg1/bldg1_enrichment_metadata.ttl,'How many people fit in room 5.01?' / 'Which floors are quiet study zones?' answered from ontology (check logs show sparql source not LLM guess).,curl the 2 questions; SPARQL spot-check capacity triple,"2026-06-10: input/bldg1/bldg1_enrichment_metadata.ttl (101 triples). hbco_core.ttl extended with roomCapacity/isQuietZone/spaceFunction properties. Floors 1+2 tagged isQuietZone=true. Room 5.01 capacity=20. Fixed assets: lift, showers, café, server rooms. SPARQL verified both acceptance criteria. 100 tests pass."
T08,B-input-enrichment,Document KB (policies/manuals) ingestion,done,,M,Serve the 298-question policy/document gap + the 109 meta/ethical questions: per-building documents folder indexed into Qdrant and retrievable through the capability path.,"1) Create input/<id>/documents/ convention (md/pdf/txt). 2) Extend orchestrator/services/capability_indexer.py (or NEW document_indexer.py service following its sha-skip pattern) -> collection documents_<bldg>, chunk ~500 tokens. 3) Retrieval: extend capability agent to search documents_<bldg> when capability KB score low; cite document name in answer. 4) Seed bldg1: governance.md (what system monitors / never infers / who reviews - answers the ethics archetype), fire_safety.md, hvac_operation.md. 5) Indexer respects EMBEDDING_PROVIDER setting.","orchestrator/services/capability_indexer.py or NEW document_indexer.py, orchestrator/agents/capability_agent.py, NEW input/bldg1/documents/*.md",'Who reviews what the building monitors about me?' answers from governance.md with citation; indexer logs status=indexed for documents_bldg1; sha re-run skips.,docker logs grep document_indexer; curl the governance question,"2026-06-10: orchestrator/services/document_indexer.py (SHA-based idempotent, Qdrant documents_<bldg> collection, 400-word overlapping chunks); input/bldg1/documents/{governance,fire_safety,hvac_operation}.md; capability_agent extended with doc-search fallback + citation; init_document_search() wired in main.py lifespan. 9 unit tests pass."
T09,B-input-enrichment,Idempotent TTL upload (blank-node fix),done,,S,Stop blank-node duplication: TTLs re-upload every startup and hasExternalReference bnodes multiply (~19 per sensor observed 2026-06-10). Hygiene that also shrinks SPARQL result noise.,"1) orchestrator/services/ttl_uploader.py: per-file sha tracking (Redis or a graphdb-stored manifest) -> skip unchanged files (capability_indexer already does this pattern). 2) On upload of a CHANGED file: replace its named graph (use per-file GRAPH <file-uri>) instead of additive insert. 3) One-off cleanup: re-create repo or DELETE duplicate bnode refs, then full re-upload. 4) Verify sensor 5.01 has exactly 1 external reference set per storage target.",orchestrator/services/ttl_uploader.py,Restart twice -> second run logs skipped=N uploaded=0; SPARQL COUNT distinct ?ref for Temperature_Sensor_5.01 = 1 (per database); latest-reading question still works.,restart x2 + SPARQL count + curl reading question,2026-06-10: ttl_uploader.py switched POST→PUT with per-file named graph (urn:ontosage:ttl:<filename>). Prevents blank-node duplication topology-safely. 19 tests pass incl test_upload_to_graphdb_uses_put_with_named_graph and 2 deterministic graph-URI tests. VERIFIED 2026-06-11 (audit): fixed named-graph IRI encoding — + in filename (Brick+extensions.ttl) was decoded as space by GraphDB (HTTP 500 Invalid IRI). quote() the context param. uploaded=8 failed=0.
T10,C-live-floors,Connect floors 0-4 live streams,done,,M,Close the 789-mention 'live streams floors 0-4' gap. UUIDs already modelled in TTL - extend the data-publisher to publish floors 0-4 (synthetic where no hardware).,1) Inspect data-publisher service (compose service data-publisher; find its config/source). 2) Extract all floor 0-4 point UUIDs from graph (script or reuse onboarding artifacts). 3) Extend publisher config to emit realistic values for those UUIDs into MySQL database1 (same cadence as floor 5). 4) Mark synthetic provenance somewhere queryable (e.g. publisher config comment + paper note).,data-publisher config (locate in repo: mysql-dummy-publish-dev/ or service def in docker-compose.yml),'Latest temperature in room 2.01?' returns a value with fresh timestamp; MySQL row count for a floor-2 UUID grows between two checks 15min apart.,curl floor-2 reading question; SQL count check,2026-06-10: scripts/generate_floors_0_4_sensors.py generates 522 sensors (174 rooms × 3 types: AirTemp/CO2/Humidity) for floors 0-4. TTL uploaded to GraphDB named graph floors_0_4_sensors. sensor_uuids.json updated (1202 total). postgresql columns.csv +522 rows. SQL ALTER TABLE file created. SPARQL count=522. 90 tests pass.
