qid,personas,stage,question,level,level_name,latent_level,latent_level_name,gap_score,n_new,difficulty,answer_basis,answerability,why,latent_why,architecture,pipeline_stages,data_sources
qca430d47b947,Student/Researchers/Academics,4,how does the building plan upgrades to meet future sustainability standards?,6,Meta / Strategic Reasoning,5,Systemic Synthesis,-1,3,19,hybrid,requires_extension,Future sustainability upgrades require open strategic planning under ambiguous standards.,"Needs multi-domain baselines, standards, forecasts and retrofit roadmap synthesis.","LangGraph orchestrator; ontology/knowledge graph; capability KB; time-series store; analytics sandbox; forecasting; compliance/report generation; visualisation; [NEW] sustainability standards corpus (new inputs/ files or external feed); [NEW] energy/carbon, water and waste meter feeds (new data sources, add to ontology); [NEW] capital-works/retrofit roadmap (add to capability KB/ontology)",dialogue -> intent classification -> planner -> ontology/capability query -> retrieve available IEQ data -> [NEW] standards/roadmap ingestion -> [NEW] sustainability meter retrieval -> benchmarking -> forecasting/scenario modelling -> report/visuals -> response,"building ontology; capability KB; live floor-5 temperature/CO2/humidity streams; [NEW] sustainability standards corpus; [NEW] energy/carbon, water and waste time-series; [NEW] capital-works/retrofit roadmap"
q89070561c43e,IT/Data Scientists,3,Has the Door Sensor,6,Meta / Strategic Reasoning,3,Inferential Reasoning,-3,1,13,building-data,requires_extension,Fragment lacks predicate/time/entity; human must infer or ask what door-sensor fact is wanted.,Needs clarification plus absent door/access event stream before status/history can be read.,LangGraph orchestrator with conversation memory; ontology/knowledge graph; time-series/event store; [NEW] door/contact sensor feed (new data source; add to ontology),dialogue -> ambiguity detection -> clarification request -> ontology query -> [NEW] door event/status retrieval -> response,conversation context; [NEW] door/contact sensor metadata and event/status time-series (new data source; add to ontology)
q7e936bcf2209,Occupants/Tenants/Employees; Guests/Visitors,2,Would you be looking for people having an argument? Looking for signs of abuse? How would you step in?,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,3,21,building-data,requires_extension,"Open safety/privacy intervention strategy; intent, abuse signs and acceptable response are highly ambiguous.","Requires missing audio/video/access/security feeds plus safeguarding policy, human triage, alerts and authorized intervention/control.",LangGraph orchestrator; ontology/knowledge graph; capability KB; report intake; alert/control loop; RBAC; [NEW] acoustic/noise sensor feed (new data source; add to ontology); [NEW] CCTV/video/access-control security feeds (new data sources; add to ontology); [NEW] safeguarding/incident SOP added to capability KB; [NEW] security/emergency dispatch API,dialogue -> policy/privacy check -> ontology/capability lookup -> [NEW] audio/video/access event retrieval -> risk classification -> human-in-loop triage -> report/alert -> [NEW] security/emergency dispatch -> authorized control actions -> response,building ontology; capability KB; [NEW] acoustic/noise feed; [NEW] CCTV/video analytics feed; [NEW] access/security logs; [NEW] safeguarding/incident-response SOP; [NEW] security/emergency dispatch API
qbe4e70c0b231,Occupants/Tenants/Employees; Guests/Visitors,2,Do you feel like you could be provided more internally to do better help out here?,6,Meta / Strategic Reasoning,3,Inferential Reasoning,-3,0,12,building-data,full,"Open, self-referential improvement question; 'provided more internally' is highly ambiguous and strategic.","Needs capability/gap synthesis from config, KB and ontology; no telemetry analytics.",LangGraph capability intent; capability knowledge base; ontology/knowledge graph; building config/intents; LLM synthesis,dialogue -> ambiguity check/clarification -> capability intent -> query capability KB/config -> ontology coverage check -> gap synthesis -> response,capability KB; building.yaml/intents.yaml; building ontology; current OntoSage capability configuration
q92702a503eda,Occupants/Tenants/Employees; Guests/Visitors,2,Who is the judge of the results? How do you feel about this?,6,Meta / Strategic Reasoning,3,Inferential Reasoning,-3,1,13,building-data,requires_extension,Unspecified 'results' and evaluation authority plus feelings make it open/highly ambiguous.,Needs co-reference plus governance/RBAC lookup; formal evaluator policy is missing.,LangGraph conversation memory/co-reference; RBAC; capability KB; [NEW] AI output governance/evaluation policy (add to ontology+KB or inputs YAML),dialogue -> co-reference/ambiguity handling -> RBAC/governance lookup -> [NEW] evaluator-policy retrieval -> response,conversation context; RBAC config; capability KB; [NEW] AI governance/evaluation policy document (new inputs/ file/add to KB)
q25f44b15bb88,Student/Researchers/Academics,4,save energy?,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,4,22,hybrid,requires_extension,"Open-ended energy-saving request implies strategy, trade-offs and possible action, with highly ambiguous goals/constraints.","Energy saving needs optimization across telemetry, forecasts and controls; key energy/occupancy/weather feeds are missing.",LangGraph orchestrator; ontology/knowledge graph; capability KB; time-series store; analytics sandbox; forecasting; recommendation engine; control loop; alert service; visualisation/report; RBAC; [NEW] energy meter feeds (new data source + add to ontology); [NEW] occupancy feed/calendar API (new data source); [NEW] weather API (external API); [NEW] live streams floors 0-4 for temp/CO2/humidity (new sensor feed),dialogue -> intent classification -> goal/constraint clarification -> ontology query -> [NEW] energy/occupancy/weather retrieval -> forecasting/optimisation -> recommendation -> control action -> monitor/alert -> response,building ontology; HVAC zoning capability KB; floor 5 temperature/CO2/humidity streams; [NEW] energy meter time-series (new sensor feed + add to ontology); [NEW] occupancy feed/calendar API (new data source); [NEW] weather API (external API); [NEW] floors 0-4 temp/CO2/humidity live streams (new sens
qb26dbdcad5d7,Student/Researchers/Academics,4,how can overall resource efficiency be improved continuously?,6,Meta / Strategic Reasoning,1,Factual Recall,-5,0,8,general-knowledge,full,Open strategic improvement question; scope and success criteria are highly ambiguous.,No building facts required; one general LLM advice answer is sufficient.,LLM (general knowledge),dialogue -> LLM answer -> response,general LLM knowledge
qfa88b9af1c39,Student/Researchers/Academics,3,maintenance?,6,Meta / Strategic Reasoning,3,Inferential Reasoning,-3,2,14,building-data,requires_extension,"One-word topic makes intent open, uncertainty very high, and ambiguity highly ambiguous.",Broad maintenance overview needs linked assets/reports plus missing CMMS for real status.,LangGraph orchestrator; ontology/knowledge graph; capability KB; report intake; [NEW] CMMS/work-order feed (new data source); [NEW] maintenance policy/schedule files (inputs/ + add to ontology/KB),dialogue -> disambiguate topic -> intent routing -> ontology/KB query -> report-intake lookup -> [NEW] CMMS retrieval -> summary/options -> response,building ontology; capability KB; report intake DB; [NEW] CMMS work orders; [NEW] maintenance schedule/policy inputs
qfed64f46837a,Student/Researchers/Academics,3,water?,6,Meta / Strategic Reasoning,4,Causal Diagnosis,-2,1,15,building-data,requires_extension,"One-word topic makes intent open, uncertainty very high, and ambiguity highly ambiguous.",Water topic is broad; real answer needs missing water telemetry and time-series analytics.,LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; visualisation; [NEW] water meter/leak sensor feed (new data source + add to ontology); [NEW] water system metadata files (inputs/ + add to ontology/KB),dialogue -> disambiguate metric -> ontology capability check -> [NEW] water telemetry retrieval -> aggregation/anomaly analysis -> visualisation -> response,building ontology; [NEW] water meter/leak time-series; [NEW] water system metadata/capability inputs
qfc4deb582f42,Student/Researchers/Academics,3,energy?,6,Meta / Strategic Reasoning,4,Causal Diagnosis,-2,2,16,building-data,requires_extension,"One-word topic makes intent open, uncertainty very high, and ambiguity highly ambiguous.",Energy topic needs absent metering data plus aggregation/trend analytics for building-specific facts.,LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; forecasting; visualisation; [NEW] energy/submetering feed (new data source + add to ontology); [NEW] meter topology metadata files (inputs/),dialogue -> disambiguate metric -> ontology capability check -> [NEW] energy telemetry retrieval -> aggregation/trend or forecast -> visualisation -> response,building ontology; [NEW] energy meter time-series; [NEW] meter topology metadata inputs
qdb82ff947f2a,Student/Researchers/Academics,3,access?,6,Meta / Strategic Reasoning,3,Inferential Reasoning,-3,2,14,building-data,partial,"One-word topic makes intent open, uncertainty very high, and ambiguity highly ambiguous.",Static access info is in KB/floor plans; live access/security needs a new event feed.,LangGraph orchestrator; capability KB; ontology/knowledge graph; floor-plan + spatial reasoning; RBAC; [NEW] access-control/door-status/security event feed (new data source + add to ontology),dialogue -> disambiguate access/accessibility/security -> KB/floor-plan query -> RBAC check if permissions -> optional [NEW] access-control lookup -> response,capability KB; building ontology; floor plans; [NEW] access-control/door-status/security event feed
q60e0e15625b9,Student/Researchers/Academics,3,safety?,6,Meta / Strategic Reasoning,3,Inferential Reasoning,-3,1,13,building-data,partial,"One-word topic makes intent open, uncertainty very high, and ambiguity highly ambiguous.",Static fire-safety info exists; live safety state needs alarm/incident feeds.,LangGraph orchestrator; capability KB; ontology/knowledge graph; floor-plan + spatial reasoning; report intake; alert routing; [NEW] fire-alarm/life-safety panel feed (new data source + add to ontology); [NEW] safety audit/incident records (new data source or inputs/),dialogue -> disambiguate safety topic -> capability/floor-plan query -> report-intake lookup -> optional [NEW] alarm/incident retrieval -> response or alert handoff,capability KB fire-safety facts; building ontology; floor plans; report intake DB; [NEW] fire-alarm/life-safety feed; [NEW] safety audit/incident records
q03f947cb64e0,Facility Managers / Building Maintenance Teams,2,How would you say that this building could sterilize itself against not only waste but against diseases.,6,Meta / Strategic Reasoning,6,Meta / Strategic Reasoning,0,4,22,hybrid,requires_extension,Open strategic design for autonomous sanitation and disease control; very high uncertainty and ambiguity.,"Requires cross-domain planning, new sensors/actuators, risk modelling and control loops beyond current IAQ data.",LangGraph planner; LLM; ontology/knowledge graph; capability KB; floor-plan spatial reasoning; analytics sandbox; report generation/visualisation; control loop; [NEW] cleaning/waste-management records (new data source + add to KB); [NEW] occupancy/access feeds (new data source); [NEW] pathogen/bioaerosol/PM/waste sensors (new sensor feeds + add to ontology); [NEW] UV-C/HEPA/robotic-cleaning actuator inventory and control API (add to ontology+KB),dialogue -> strategic intent classification -> ontology/floor-plan retrieval -> capability and IAQ retrieval -> [NEW] cleaning/waste/occupancy/pathogen ingestion -> risk modelling -> intervention planning -> control-loop scheduling -> report/visuals -> response,building ontology; floor plans; capability KB; floor-5 temperature/CO2/humidity streams; [NEW] cleaning schedules and waste logs; [NEW] occupancy/access feeds; [NEW] bioaerosol/pathogen/PM/waste sensor feeds; [NEW] UV-C/HEPA/robot actuator inventory/control API
q228951479c56,Facility Managers / Building Maintenance Teams,1,Will this building help me save money or only saving cost for the company?,6,Meta / Strategic Reasoning,5,Systemic Synthesis,-1,5,21,building-data,requires_extension,"Open strategic value question with ambiguous beneficiary, baseline, time horizon, and savings definition.","Needs energy/cost/occupancy/finance fusion, baseline modelling, forecasting, and a stakeholder-benefit report; key feeds absent.",ontology/knowledge graph; time-series store; analytics sandbox; forecasting; visualisation; report generation; LangGraph planner; [NEW] energy meter/submeter feed (new data source + add points to ontology); [NEW] utility tariff/cost-accounting API; [NEW] occupancy/use data feed; [NEW] weather API; [NEW] lease/benefit policy and operating-cost records (add to capability KB/inputs),dialogue -> clarify stakeholder/time horizon -> ontology query -> [NEW] cost/energy/occupancy/weather ingestion -> baseline and savings model -> forecast/ROI analysis -> stakeholder-benefit report -> response,"building ontology; [NEW] energy meter time-series; [NEW] utility tariffs and bills; [NEW] occupancy/use data; [NEW] weather feed; [NEW] operating-cost, lease, and benefit-policy records"
