ID,Question,Category,Register,Stakeholder_Role,Surface_Cognitive_Complexity,Latent_Architectural_Complexity,Required_Data_Sources,Answer_Type,Notes,Source,Section,Priority,Complexity_L,Readiness_R,Readiness_Label,Sensors_Required,Authoritative_Sources,Analysis_Required,Answer_Boundary,Source_Doc
Q001,Where is the facility manager's office?,Wayfinding & entity resolution,Naive,,,,graph:metadata,graph answer,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q002,Which room is the noisy one with all the machines in the basement?,Wayfinding & entity resolution,Naive,,,,S1:existing;graph:metadata,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q003,Take me to the nearest accessible toilet from where I'm standing.,Wayfinding & entity resolution,Naive,,,,compute:route,path+distance,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q004,What's actually in Room 2.14 - is it a lab or a meeting room?,Wayfinding & entity resolution,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q005,Which zones does AHU-3 serve?,Wayfinding & entity resolution,Expert,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q006,"Do we have any sensors on the fourth floor, and what do they measure?",Wayfinding & entity resolution,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q007,"What's the difference between the space called ""Atrium"" on the plans and the one everyone calls the ""street""?",Wayfinding & entity resolution,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q008,Where's a quiet place to sit right now?,Comfort & place-finding,Naive,,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q009,I get cold easily - which desk should I take this afternoon?,Comfort & place-finding,Naive,,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q010,Where should I sit on Monday afternoon for a good environment?,Comfort & place-finding,Naive,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q011,Find me a room for six people that won't get stuffy over a two-hour meeting.,Comfort & place-finding,Intermediate,,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q012,Which study spaces had the best air quality last week?,Comfort & place-finding,Intermediate,,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q013,"Is the third floor too bright in the afternoon, or is it just me?",Comfort & place-finding,Naive,,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q014,Rank the open-plan zones by predicted PMV for tomorrow morning.,Comfort & place-finding,Expert,,,,pillar:predict,forecast+CI+skill,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q015,Is it too hot in here?,Current state / lookup,Naive,,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q016,What's the CO2 in the lecture theatre right now?,Current state / lookup,Intermediate,,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q017,Are the windows open anywhere they shouldn't be?,Current state / lookup,Intermediate,,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q018,Is the heating on today?,Current state / lookup,Naive,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q019,Show me live setpoints versus measured temperature for all zones on floor 5.,Current state / lookup,Expert,,,,S1:existing,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q020,Give me a report on the anomalies this week.,Retrospective analysis & reporting,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q021,Which area was quietest last week?,Retrospective analysis & reporting,Naive,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q022,"Was last month worse than the same month last year, environmentally?",Retrospective analysis & reporting,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q023,"How often did we breach 1000 ppm CO2 in teaching spaces last term, and where?",Retrospective analysis & reporting,Expert,,,,S2:workorder;S1:existing,event-list/status,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q024,Summarise everything that went wrong in the building in the last 48 hours.,Retrospective analysis & reporting,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q025,Which rooms are we heating that nobody uses?,Retrospective analysis & reporting,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q026,Produce a quarterly sustainability report I can send to the executive board.,Retrospective analysis & reporting,Expert,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q027,"What's our energy use intensity by floor, normalised for occupied hours?",Retrospective analysis & reporting,Expert,,,,S1:new-modality,value/rank,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q028,Something smells odd near the east stairwell - can you tell what's going on?,Anomaly detection & diagnosis,Naive,,,,pillar:detect,episode/diagnosis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q029,Why was the second floor freezing on Tuesday?,Anomaly detection & diagnosis,Intermediate,,,,pillar:detect,episode/diagnosis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q030,Is any equipment behaving strangely compared to how it normally behaves?,Anomaly detection & diagnosis,Naive,,,,pillar:detect;graph:metadata,episode/diagnosis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q031,Are any sensors giving readings I shouldn't trust?,Anomaly detection & diagnosis,Intermediate,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q032,Is the temperature complaint in 3.02 a control problem or a sensor fault?,Anomaly detection & diagnosis,Expert,,,,S2:workorder;pillar:detect;S1:existing,event-list/status,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
Q033,Show me zones where heating and cooling are fighting each other.,Anomaly detection & diagnosis,Expert,,,,cross-domain,synthesis,auto-classified V5-T03 (static),v5_synthetic_bank,,,,,,,,,,
