ID,Stakeholder_Role,Question,source_systems,n_systems,Complexity_L,Readiness_R
UG-001,Undergraduate students,"I'm coming to Abacws next Wednesday after 2 p.m. for about 90 minutes. Where am I most likely to find a calm, relatively quiet place with low foot traffic and reasonable measured temperature and air-quality indicators, close to my 4 p.m. class?",booking|permit_control|sensor_telemetry|timetable|weather_external,5,L3,R2
UG-002,Undergraduate students,Which two-hour periods next week are most likely to be quiet enough for focused study in Abacws?,booking|sensor_telemetry|timetable,3,L3,R2
UG-003,Undergraduate students,"I have classes on Levels 1, 3 and 5 tomorrow. Where should I study between them so I spend less time walking and searching for a place?",accessibility|booking|sensor_telemetry|timetable,4,L4,R2
UG-004,Undergraduate students,"Where can I work for three hours on Friday with power, good Wi-Fi, useful daylight and a low risk of overheating?",booking|it_network|sensor_telemetry|weather_external,4,L3,R2
UG-005,Undergraduate students,"My preferred breakout area is often full after lunch. What is the best nearby alternative, and how confident are you?",booking|sensor_telemetry|timetable,3,L3,R2
UG-006,Undergraduate students,"I will be in Abacws from 9 a.m. to 5 p.m. Which study area is likely to work best as a base for the day, and when should I expect to need a backup?",booking|sensor_telemetry|timetable,3,L3,R2
UG-007,Undergraduate students,"I need a quiet hour, then an hour of group work, and then my lecture. Can you suggest the best sequence of spaces and when I should move?",booking|sensor_telemetry|timetable,3,L4,R3
UG-008,Undergraduate students,Where can two of us revise together next Tuesday without disturbing quiet-study users or sitting beside a busy corridor?,booking|sensor_telemetry|timetable,3,L3,R2
UG-009,Undergraduate students,"Which student study areas are officially open after 5 p.m. this week, and which are likely to have usable space and acceptable measured conditions?",booking|sensor_telemetry,2,L2,R2
UG-010,Undergraduate students,"I have an online interview next week. Which bookable room and time give me the lowest risk of noise, interruptions, overheating, power problems or poor Wi-Fi?",booking|sensor_telemetry|timetable,3,L4,R2
UG-011,Undergraduate students,I'm at the main entrance now. What is the quietest student-accessible study area I can reach within five minutes?,permit_control,1,L2,R1
UG-012,Undergraduate students,"For one hour of quiet work right now, which student-accessible study area is the strongest option?",sensor_telemetry,1,L2,R1
UG-013,Undergraduate students,Which area has just become less crowded and is likely to stay that way for the next 45 minutes?,booking,1,L3,R2
UG-014,Undergraduate students,Where can I sit now with useful daylight but a low risk of glare or solar overheating?,sensor_telemetry|weather_external,2,L2,R3
UG-015,Undergraduate students,I feel cold today. Which student-accessible study area is warmer without showing clearly worse CO2 or particle levels?,sensor_telemetry,1,L2,R1
UG-016,Undergraduate students,I want to avoid high particle levels today. Which monitored student study areas currently have the lowest trustworthy PM2.5 readings?,sensor_telemetry,1,L2,R2
UG-017,Undergraduate students,What is the least crowded step-free route from my current location to the recommended study area?,,0,L3,R2
UG-018,Undergraduate students,"The app says this area is nearly empty. How reliable is that estimate, and are any occupancy sensors or data feeds unavailable?",booking|cmms_work|sensor_telemetry|timetable,4,L4,R3
UG-019,Undergraduate students,"Should I stay here, or are noise, crowding or CO2 likely to get noticeably worse during the next hour?",booking|sensor_telemetry,2,L3,R2
UG-020,Undergraduate students,"If this area fills up, which nearby alternative has the most similar quietness, lighting and environmental conditions?",sensor_telemetry,1,L3,R2
UG-021,Undergraduate students,"For a lecture scheduled in Room 2.26, is the front, middle or rear usually less stuffy and less noisy?",bms_plant|sensor_telemetry|timetable,3,L3,R3
UG-022,Undergraduate students,My two-hour class is scheduled in Room 0.01 this afternoon. Is the room likely to become too warm or develop high CO2?,bms_plant|sensor_telemetry|timetable|weather_external,4,L3,R2
UG-023,Undergraduate students,"For large classes like mine, which current teaching rooms have kept the most stable temperature, CO2 and background sound this term?",sensor_telemetry|timetable|weather_external,3,L2,R2
UG-024,Undergraduate students,The previous class has just ended. Are CO2 and temperature back near this room's usual pre-class levels?,bms_plant|sensor_telemetry|timetable,3,L2,R1
UG-025,Undergraduate students,"Class starts in 15 minutes. Based on the current recovery rate and ventilation state, are CO2 and temperature likely to be back near their usual pre-class levels by then?",sensor_telemetry,1,L3,R2
UG-026,Undergraduate students,Which part of this room has the lowest glare and solar-heat risk for this afternoon's class?,sensor_telemetry|weather_external,2,L2,R3
UG-027,Undergraduate students,The corridor is noisy during class change. Is the noise likely to fall enough for us to hear clearly when the lecture begins?,sensor_telemetry|timetable,2,L2,R2
UG-028,Undergraduate students,"If the university offers more than one authorised replacement room for my class, which option best balances step-free access, capacity, travel time and measured room conditions?",accessibility|sensor_telemetry|timetable,3,L4,R3
UG-029,Undergraduate students,"Last week's class felt hot and stuffy. What did the measurements show, and which contributing factors are best supported by the evidence?",bms_plant|sensor_telemetry,2,L4,R3
UG-030,Undergraduate students,I have an exam in this room tomorrow. Are the monitored environmental conditions and essential room services likely to remain stable for the full exam?,cmms_work|sensor_telemetry|weather_external,3,L3,R3
UG-031,Undergraduate students,"Six of us need to work together from 3 p.m. to 5 p.m. Which student-accessible space has enough seats, permits discussion, provides power and is unlikely to become stuffy?",booking|sensor_telemetry,2,L3,R2
UG-032,Undergraduate students,"Which student-bookable room is best for a hybrid group meeting if we need low background noise, power, good Wi-Fi and suitable temperature and ventilation indicators?",booking|it_network|sensor_telemetry,3,L3,R2
UG-033,Undergraduate students,Where can a ten-person student society committee meet and talk without disturbing nearby quiet-study areas?,booking|sensor_telemetry,2,L2,R2
UG-034,Undergraduate students,"Which student computer lab is open, has a reasonable chance of a free workstation and offers the software I need?",sensor_telemetry|timetable,2,L2,R2
UG-035,Undergraduate students,"If eight of us use this room for two hours, how likely is CO2 to rise substantially, and is another authorised room less likely to have that problem?",bms_plant|booking|sensor_telemetry,3,L3,R2
UG-036,Undergraduate students,We will use six laptops for a project session. Which authorised room has enough power points and is least likely to become uncomfortably warm?,booking|sensor_telemetry|timetable,3,L2,R2
UG-037,Undergraduate students,We have three possible times for project meetings this week. Which time and student-bookable room combination is most likely to work well?,booking|sensor_telemetry,2,L3,R2
UG-038,Undergraduate students,"Where can we record a presentation with low background noise, reliable power and a low risk of interruptions?",booking,1,L3,R2
UG-039,Undergraduate students,"This room is booked but looks empty. Am I allowed to use it, or should I find another space?",booking|policy_governance|sensor_telemetry,3,L1,R1
UG-040,Undergraduate students,Which room works best if one group member needs a step-free route and another prefers low noise and low crowding?,sensor_telemetry,1,L3,R2
UG-041,Undergraduate students,I need a step-free route to Room 3.02 at 10:55. Which route is likely to be least crowded and least noisy?,timetable,1,L3,R2
UG-042,Undergraduate students,"Is the lift on my step-free route working now, and what verified alternative should I use if it is not?",access_control,1,L1,R1
UG-043,Undergraduate students,Can you route me to my class while avoiding the noisiest and most crowded areas?,timetable,1,L3,R2
UG-044,Undergraduate students,Which student entrance should I use to reach my next class quickly while avoiding the longest queue?,,0,L2,R2
UG-045,Undergraduate students,"My appointment is in 30 minutes. Where can I wait nearby in a quiet, uncrowded student-accessible area with reasonable measured conditions?",sensor_telemetry,1,L2,R1
UG-046,Undergraduate students,I have back-to-back classes on different floors. Which route gives me the best chance of arriving on time?,timetable,1,L3,R2
UG-047,Undergraduate students,"Which accessible toilet is nearest and currently open? If privacy-safe occupancy information is available, is another nearby option likely to be less busy?",policy_governance,1,L2,R3
UG-048,Undergraduate students,"Where are the nearest water-refill point, vending machine and accessible facilities, and are any reported out of service?",accessibility|sensor_telemetry,2,L1,R1
UG-049,Undergraduate students,"Can you warn me before class if a lift failure, closure or unusual congestion affects my normal route?",cmms_work|timetable,2,L3,R2
UG-050,Undergraduate students,"After a large lecture, which normal route out of the teaching area is likely to be less congested?",permit_control,1,L3,R2
UG-051,Undergraduate students,This room feels stuffy even though the CO2 reading is normal. What else could be contributing?,cleaning_waste|sensor_telemetry,2,L4,R3
UG-052,Undergraduate students,"Has this study area really been warmer than similar spaces once occupancy, weather and time of day are taken into account?",sensor_telemetry,1,L4,R3
UG-053,Undergraduate students,Which student-accessible study area has had the most stable temperature and lighting so far today?,sensor_telemetry,1,L2,R1
UG-054,Undergraduate students,Which student-accessible study spaces have had the lowest and most stable background sound over the last four weeks?,timetable,1,L2,R1
UG-055,Undergraduate students,"The noise here is distracting. Does it follow class-change times, plant operation or a one-off event?",timetable,1,L4,R3
UG-056,Undergraduate students,"Is the brightness here mainly daylight, electric lighting or both, and where in the room is glare likely to be lower?",sensor_telemetry|weather_external,2,L3,R3
UG-057,Undergraduate students,"Which available area is likely to have lower noise, lower crowding, less glare and a more stable temperature for the next hour?",sensor_telemetry|timetable,2,L3,R2
UG-058,Undergraduate students,"This room smells strongly after cleaning. Are the monitored conditions back near the room's usual background, and should I report the smell?",cleaning_waste|sensor_telemetry,2,L3,R2
UG-059,Undergraduate students,Particle levels are higher today. Is the pattern more consistent with outdoor air entering the building or with activity inside?,cleaning_waste|sensor_telemetry|weather_external,3,L4,R3
UG-060,Undergraduate students,"The building says this room is comfortable. What did it measure, what did it not measure, and how confident should I be?",sensor_telemetry|user_reports,2,L4,R2
UG-061,Undergraduate students,"If two study areas meet my needs, which one is already open and in use, so the building is less likely to serve another nearly empty area?",booking|meter_energy|policy_governance|sensor_telemetry,4,L3,R3
UG-062,Undergraduate students,"This room looks empty, but the lights and ventilation are on. Is that expected, or should I report it?",booking|meter_energy|policy_governance|sensor_telemetry,4,L2,R2
UG-063,Undergraduate students,"For a student sustainability project, how much electricity does this teaching room typically use during a class compared with similar rooms under similar conditions?",meter_energy|sensor_telemetry|timetable|weather_external,4,L2,R2
UG-064,Undergraduate students,"Can you suggest a smaller student-bookable room for four people that still meets our accessibility, power, air-quality and acoustic needs?",accessibility|booking|sensor_telemetry,3,L3,R2
UG-065,Undergraduate students,"For a sustainability project, when students are allowed to open windows, what usually happens to temperature, CO2, particles and energy use?",meter_energy|policy_governance|sensor_telemetry,3,L4,R3
UG-066,Undergraduate students,Which student study areas currently have enough daylight for reading without excessive glare or unnecessary electric lighting?,sensor_telemetry,1,L2,R3
UG-067,Undergraduate students,The building recently changed its controls to save energy. Did it reduce consumption without making teaching or study conditions worse?,meter_energy|sensor_telemetry|timetable|user_reports|weather_external,5,L4,R3
UG-068,Undergraduate students,"For our student sustainability project, which floors appear to use the most energy after normal teaching hours without clear occupancy or operational need?",cleaning_waste|it_network|meter_energy,3,L4,R3
UG-069,Undergraduate students,Can the building suggest study times and spaces that meet my needs while avoiding extra energy use from opening or conditioning a separate area?,booking|meter_energy|sensor_telemetry|timetable,4,L4,R3
UG-070,Undergraduate students,"When the building makes a sustainability claim, what measurements support it, and what important areas are not monitored?",meter_energy|sensor_telemetry|sustainability,3,L4,R2
UG-071,Undergraduate students,"Is this room's unusual condition local, shared by nearby rooms, or part of a wider floor problem?",sensor_telemetry|weather_external,2,L4,R3
UG-072,Undergraduate students,"The room feels unusually cold. Is this brief and expected, or persistent enough that I should report it?",sensor_telemetry|weather_external,2,L3,R2
UG-073,Undergraduate students,"Has this room or equipment problem already been reported, and what status can students see?",,0,L1,R2
UG-074,Undergraduate students,Facilities worked on this room yesterday. Did the measured conditions actually improve afterwards?,timetable|weather_external,2,L4,R3
UG-075,Undergraduate students,"Before I walk to class, are the assigned room, network, audiovisual equipment, power and monitored environmental systems reported as working normally?",cmms_work|it_network|sensor_telemetry|timetable,4,L2,R2
UG-076,Undergraduate students,A leak has been reported near my usual study area. Which permitted route and alternative space should I use?,,0,L2,R2
UG-077,Undergraduate students,"During a planned or temporary disruption, which normal entrances, lifts and routes are currently verified as usable?",,0,L1,R1
UG-078,Undergraduate students,"Two nearby sensors disagree. Which reading is more reliable, and can the building still answer my question?",sensor_telemetry,1,L4,R2
UG-079,Undergraduate students,"Why should I trust this answer, and can you show me the sources used, how recent they are and what evidence is missing?",sensor_telemetry,1,L2,R1
UG-080,Undergraduate students,The fire alarm is sounding. What should I do?,fire_life_safety|policy_governance|sensor_telemetry,3,L1,R3
