personas,question,level,latent_level,difficulty,answerability,new_items_str
Occupants/Tenants/Employees; Student/Researchers/Academics,Can you make the building more eco-friendly?,6,6,26,requires_extension,BMS actuation / write-back; Energy metering; Occupancy sensing; Other / niche; Solar / renewables; Waste / recycling; Water metering; Weather feed
Occupants/Tenants/Employees,Could we develop a way for our building to automatically shift large HVAC loads to off-peak times when more renewable energy is being accessed on the grid?,5,6,26,requires_extension,BMS actuation / write-back; Calendar / room-booking API; Energy metering; Live streams floors 0-4; Occupancy sensing; Other / niche; Solar / renewables; Tariff / cost data; Weather feed
Sustainability and Energy Management Teams,how should we scheule plant to minimise both cost and carbon?,5,6,25,requires_extension,BMS actuation / write-back; Calendar / room-booking API; Carbon / ESG data; Energy metering; Live streams floors 0-4; Occupancy sensing; Tariff / cost data; Weather feed
Facility Managers / Building Maintenance Teams; Building Owners/Property Managers,can you optimize,6,6,24,requires_extension,BMS actuation / write-back; Energy metering; Live streams floors 0-4; Occupancy sensing; Other / niche; Weather feed
Guests/Visitors,Aim to reduce waste by minimizing thermostat use -- keep it locked.,6,6,24,requires_extension,BMS actuation / write-back; Energy metering; Live streams floors 0-4; Occupancy sensing; Other / niche; Weather feed
Student/Researchers/Academics,How do I make you more environmentally-friendly?,6,6,24,requires_extension,BMS actuation / write-back; Energy metering; Occupancy sensing; Tariff / cost data; Water metering; Weather feed
Sustainability and Energy Management Teams; Guests/Visitors,Can you shift energy use to off peak times in order to be more eco friendly?,5,6,23,requires_extension,BMS actuation / write-back; Carbon / ESG data; Energy metering; Live streams floors 0-4; Other / niche; Tariff / cost data
Health and Safety Officers,Can we lower peak demand,5,6,23,requires_extension,BMS actuation / write-back; Energy metering; Occupancy sensing; Other / niche; Tariff / cost data; Weather feed
Building Owners/Property Managers,can you self manage yourself,5,6,23,requires_extension,BMS actuation / write-back; Energy metering; Live streams floors 0-4; Maintenance / CMMS records; Occupancy sensing; Weather feed
IT/Data Scientists,how can be manage,6,6,23,requires_extension,BMS actuation / write-back; Energy metering; Live streams floors 0-4; Occupancy sensing; Weather feed
Facility Managers / Building Maintenance Teams,How would you say that this building could sterilize itself against not only waste but against diseases.,6,6,22,requires_extension,BMS actuation / write-back; Calendar / room-booking API; Occupancy sensing; Waste / recycling
Guests/Visitors; Vendors/Service Providers; Student/Researchers/Academics; Facility Managers / Building Maintenance Teams; Occupants/Tenants/Employees; Sustainability and Energy Management Teams,Shut off all unnecessary lights and power outlets.,5,6,21,requires_extension,BMS actuation / write-back; Lighting sensing/control; Occupancy sensing; Policy / document KB
Occupants/Tenants/Employees; Guests/Visitors,Would you be looking for people having an argument? Looking for signs of abuse? How would you step in?,6,6,21,requires_extension,Access / security systems; Noise / acoustic sensing; Other / niche
Building Owners/Property Managers; IT/Data Scientists; Real Estate Developers,Imagine using outdoor weather forecasts to pre-adjust indoor temperatures proactively.,5,6,20,requires_extension,BMS actuation / write-back; Live streams floors 0-4; Weather feed
Building Owners/Property Managers; Occupants/Tenants/Employees; Facility Managers / Building Maintenance Teams,What can we do to make the HVAC more efficient?,5,5,20,requires_extension,BMS actuation / write-back; Energy metering; Live streams floors 0-4; Occupancy sensing; Weather feed
Building Owners/Property Managers; Health and Safety Officers,IT CAN BUILT ABOIT URES,6,5,20,requires_extension,Occupancy sensing; Occupant surveys / feedback; Other / niche; Policy / document KB
IT/Data Scientists; Building Owners/Property Managers,Can the building shift loads to greener hours?,1,6,19,requires_extension,BMS actuation / write-back; Carbon / ESG data; Energy metering; Live streams floors 0-4; Ontology metadata enrichment; Other / niche
Building Owners/Property Managers; Facility Managers / Building Maintenance Teams,How energy-efficient is the building?,5,5,19,requires_extension,Energy metering; Occupancy sensing; Other / niche; Weather feed
Guests/Visitors; Occupants/Tenants/Employees,How can we reduce energy used in the building?,5,5,19,requires_extension,Energy metering; Live streams floors 0-4; Occupancy sensing; Weather feed
Occupants/Tenants/Employees; Sustainability and Energy Management Teams,Is energy savings from the building's green features passed along to tenants?,3,5,18,requires_extension,Energy metering; Ontology metadata enrichment; Other / niche; Tariff / cost data; Weather feed
Sustainability and Energy Management Teams; IT/Data Scientists; Student/Researchers/Academics,"How do I obtain permission to bring a guest, if necessary?",1,2,7,requires_extension,Access / security systems; Other / niche
