room,start,end,module
Room1.06,2026-07-31T16:00:00,2026-07-31T18:00:00,Foundations of Machine Learning
Room1.06,2026-07-30T09:00:00,2026-07-30T10:00:00,Foundations of Human-Computer Interaction
Room1.06,2026-08-07T16:00:00,2026-08-07T18:00:00,Foundations of Machine Learning
Room1.06,2026-08-05T14:00:00,2026-08-05T16:00:00,Research Methods in Cyber Security
Room1.06,2026-08-06T09:00:00,2026-08-06T10:00:00,Foundations of Human-Computer Interaction
Room1.06,2026-08-14T16:00:00,2026-08-14T18:00:00,Foundations of Machine Learning
Room1.06,2026-08-12T14:00:00,2026-08-12T16:00:00,Research Methods in Cyber Security
Room1.06,2026-08-13T09:00:00,2026-08-13T10:00:00,Foundations of Human-Computer Interaction
Room1.06,2026-08-21T16:00:00,2026-08-21T18:00:00,Foundations of Machine Learning
Room1.06,2026-08-19T14:00:00,2026-08-19T16:00:00,Research Methods in Cyber Security
Room1.06,2026-08-20T09:00:00,2026-08-20T10:00:00,Foundations of Human-Computer Interaction
Room1.06,2026-08-28T16:00:00,2026-08-28T18:00:00,Foundations of Machine Learning
Room1.06,2026-08-26T14:00:00,2026-08-26T16:00:00,Research Methods in Cyber Security
Room1.06,2026-08-27T09:00:00,2026-08-27T10:00:00,Foundations of Human-Computer Interaction
Room1.06,2026-09-04T16:00:00,2026-09-04T18:00:00,Foundations of Machine Learning
Room1.06,2026-09-02T14:00:00,2026-09-02T16:00:00,Research Methods in Cyber Security
Room1.06,2026-09-03T09:00:00,2026-09-03T10:00:00,Foundations of Human-Computer Interaction
Room1.06,2026-09-11T16:00:00,2026-09-11T18:00:00,Foundations of Machine Learning
Room1.06,2026-09-09T14:00:00,2026-09-09T16:00:00,Research Methods in Cyber Security
Room1.06,2026-09-10T09:00:00,2026-09-10T10:00:00,Foundations of Human-Computer Interaction
Room1.06,2026-09-18T16:00:00,2026-09-18T18:00:00,Foundations of Machine Learning
Room1.06,2026-09-16T14:00:00,2026-09-16T16:00:00,Research Methods in Cyber Security
