qid,group,proposed_bucket,why_unanswered,proposed_action,question,routed_intent,answer_status,category,stakeholder_role,complexity_l,source,elapsed_s,answer,fixed,notes
Q001,DECLINE,ROUTING-WAYFINDING,a floor plan and spatial lane exist for this,route to floor_plan/spatial_query; check the referent resolves,Where is the facility manager's office?,capability,observed,Wayfinding & entity resolution,,,v5_synthetic_bank,0.7,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q003,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,Take me to the nearest accessible toilet from where I'm standing.,spatial_query,observed,Wayfinding & entity resolution,,,v5_synthetic_bank,7.1,I encountered an error analysing the spatial data. Please try again.,,
Q014,DECLINE,ROUTING-FORECAST,a forecast lane exists; the question is forward-looking,route to trend/forecast; confirm the modality is forecastable,Rank the open-plan zones by predicted PMV for tomorrow morning.,capability,observed,Comfort & place-finding,,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q020,DECLINE,ROUTING-ANOMALY,an anomaly/diagnosis lane exists and holds this data,route to events/anomaly instead of capability,Give me a report on the anomalies this week.,capability,observed,Retrospective analysis & reporting,,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q031,DECLINE,ROUTING-ANOMALY,an anomaly/diagnosis lane exists and holds this data,route to events/anomaly instead of capability,Are any sensors giving readings I shouldn't trust?,capability,observed,Anomaly detection & diagnosis,,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q044,DECLINE,ROUTING-WAYFINDING,a floor plan and spatial lane exist for this,route to floor_plan/spatial_query; check the referent resolves,Where's the manual for the thing on the roof?,capability,observed,"Documents, compliance & institutional knowledge",,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed: upload the manual, policy or procedure to the active building's `documents/` folder (Admin portal → *Documents*). It is indexed automatically and quoted with its source, so questions about this are answered from your own document.",,
Q051,DECLINE,DATA-SAFETY,safety/compliance state is not sourced,"onboard alarm/compliance state, or author it as knowledge triples",Is the building safe to be in right now?,capability,observed,"Safety, security & emergency",,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q052,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,Where's the nearest fire exit from the third-floor kitchen?,spatial_query,observed,"Safety, security & emergency",,,v5_synthetic_bank,8.9,I encountered an error analysing the spatial data. Please try again.,,
Q067,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,"Is the lift working, and if not, how do I get to the fifth floor?",spatial_query,observed,Accessibility,,,v5_synthetic_bank,20.7,I encountered an error analysing the spatial data. Please try again.,,
Q070,DECLINE,DATA-COST,financial data is not modelled in this building at all,out of scope until a cost/contract source is onboarded -- or decline honestly,How much did it cost to run this building last month?,capability,observed,Cost & finance,,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
