qid,personas,stage,question,level,level_name,latent_level,latent_level_name,gap_score,n_new,difficulty,answer_basis,answerability,why,latent_why,architecture,pipeline_stages,data_sources
q852fc7b2ef1c,Student/Researchers/Academics,4,can the building automatically optimize energy use during weekends or holidays?,1,Factual Recall,6,Meta / Strategic Reasoning,5,5,18,building-data,requires_extension,Capability yes/no about weekend/holiday optimization; clear single-fact check.,"Automatic optimization requires cross-domain planning, forecasting, calendar/occupancy/energy data, and actuation loop.",ontology/knowledge graph; time-series store; analytics sandbox; forecasting; LangGraph planner; control intent; RBAC; response cache; visualisation; [NEW] energy metering feed via new data source + add to ontology; [NEW] calendar/holiday API via external API; [NEW] occupancy or booking feed via new data source/API; [NEW] weather and/or tariff API via external API; [NEW] physical BMS write-back/control API via new data source,dialogue -> intent classification -> capability check -> ontology query -> [NEW] calendar/occupancy/energy/weather retrieval -> forecasting/optimization planning -> RBAC approval -> control loop -> monitoring -> response,building ontology; available temperature/CO2/humidity streams where live; [NEW] energy meter time-series; [NEW] holiday/calendar API; [NEW] occupancy/booking feed; [NEW] weather/tariff APIs; [NEW] BMS write-back/control API
q6e3da048e84a,Student/Researchers/Academics,4,can the building detect and reduce unnecessary during daytime?,3,Inferential Reasoning,6,Meta / Strategic Reasoning,3,5,20,building-data,requires_extension,"Missing object and 'unnecessary' require inferring waste criteria; answer is derived, not a single fact.","Waste detection plus reduction needs energy/occupancy fusion, optimisation and BMS control; key feeds/write-back missing.",LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox; anomaly detection; forecasting; control intent; visualisation; [NEW] energy/device-status feed (new data source + add to ontology); [NEW] occupancy sensing/calendar feed (new data source + add to ontology); [NEW] lighting/daylight sensors (new sensor feed); [NEW] live streams for floors 0-4 (new sensor feed); [NEW] BMS write-back/control API (new data source/control integration),dialogue -> intent classification -> clarify target -> ontology query -> retrieve available telemetry -> [NEW] energy/occupancy/light retrieval -> waste/anomaly detection -> optimise reduction action -> control write-back -> verify -> response,building ontology; floor-5 temperature/CO2/humidity streams; [NEW] energy/device-status time-series; [NEW] occupancy data; [NEW] lighting/daylight data; [NEW] live streams for floors 0-4; [NEW] BMS control/write-back endpoint
q223ba26d669b,Student/Researchers/Academics,3,can the building detect and adapt to changing weather conditions?,1,Factual Recall,6,Meta / Strategic Reasoning,5,3,16,building-data,requires_extension,Yes/no capability check; no detailed diagnosis or design requested.,"Weather-adaptive control needs external weather, full zone telemetry, forecasting, and BMS actuation.",ontology/knowledge graph; capability KB; time-series store; forecasting; analytics sandbox; LangGraph control; [NEW] external weather API or weather-station feed (new data source; add weather points to ontology); [NEW] live floor 0-4 zone telemetry feeds (new data source); [NEW] BMS write-back/control API (external API),dialogue -> capability routing -> ontology/capability query -> [NEW] weather feed -> telemetry retrieval -> forecasting -> control planning -> [NEW] BMS actuation loop -> response,building ontology; capability KB; floor 5 temp/humidity/CO2 streams; [NEW] floor 0-4 live telemetry; [NEW] weather API; [NEW] BMS control/status API
qd02613983960,Student/Researchers/Academics,3,can the building adjust settings automatically based on occupancy changes?,1,Factual Recall,6,Meta / Strategic Reasoning,5,2,15,building-data,requires_extension,Capability yes/no about occupancy-driven automatic control; clear single-fact check.,"Closed-loop occupancy control needs occupancy sensing, policy logic, BMS write-back, safety and RBAC.",LangGraph orchestrator; ontology/knowledge graph; time-series store; analytics sandbox/rules; RBAC; control intent; [NEW] occupancy sensing/API (new data source + add to ontology); [NEW] BMS write-back/control API (new external/control interface + add writable points to ontology),dialogue -> capability/control planning -> ontology controllable-point lookup -> [NEW] occupancy stream -> policy/rule evaluation -> safety/RBAC check -> [NEW] BMS control write-back -> monitor/response,building ontology; existing live temp/CO2/humidity where available; [NEW] occupancy time-series/API; [NEW] writable BMS control interface
q3f5f139e7f3c,IT/Data Scientists,4,Can we set different Thermostat Setpoints for the gym versus the quiet library zone to match human metabolic rates?,3,Inferential Reasoning,6,Meta / Strategic Reasoning,3,2,17,hybrid,requires_extension,"Feasibility depends on deriving zone-control capability plus comfort/metabolic assumptions, not one stored fact.","Needs zone/HVAC mapping, comfort profile logic and BMS setpoint write-back/control; setpoint actuation not currently wired.",ontology/knowledge graph; capability KB; LangGraph control; analytics sandbox; [NEW] BMS thermostat setpoint/write-back API (new API); [NEW] activity-to-metabolic-rate profile (add to ontology+KB),dialogue -> control/capability intent -> ontology query for gym/library HVAC zones -> metabolic comfort profile selection -> RBAC/safety check -> [NEW] BMS setpoint write-back/control loop -> response,building ontology; capability KB HVAC zoning; general metabolic-rate defaults; [NEW] thermostat setpoint/control API; [NEW] room-use/metabolic profile metadata in ontology+KB
q2ed050107377,IT/Data Scientists,4,Could the PMV (Predicted Mean Vote) index be used to automatically adjust the temperature based on how many people are wearing coats?,3,Inferential Reasoning,6,Meta / Strategic Reasoning,3,4,19,hybrid,requires_extension,"Feasibility is derived from PMV inputs, coat counts and control logic; thresholds and sensing assumptions are ambiguous.","Requires PMV modelling, clothing/occupancy sensing and closed-loop HVAC setpoint actuation; several required feeds are absent.",ontology/knowledge graph; time-series store; analytics sandbox (PMV); LangGraph control loop/RBAC; [NEW] coat/clothing detection feed (new sensor/CV feed; add clo class to ontology); [NEW] occupancy count/location feed (new sensor/API); [NEW] air-speed and mean-radiant-temperature sensors (new sensor feed); [NEW] physical BMS setpoint write-back API (new API),dialogue -> control feasibility intent -> ontology zone/HVAC query -> retrieve temp/humidity -> [NEW] clothing/occupancy/radiant/air-speed ingestion -> PMV calculation and control policy -> RBAC/safety checks -> [NEW] BMS setpoint write-back -> monitor -> response,building ontology; floor-5 temperature/humidity streams; [NEW] live temp/humidity streams for floors 0-4 if controlled; [NEW] coat/clothing detection feed; [NEW] occupancy feed; [NEW] air-speed and mean-radiant-temperature sensors; [NEW] BMS write-back API
q523cd5ff98f2,IT/Data Scientists,4,"Can the system predict a ""Peak Demand"" event based on the afternoon weather forecast and start pre-cooling the building?",1,Factual Recall,6,Meta / Strategic Reasoning,5,6,19,building-data,requires_extension,Surface asks a yes/no capability check; answer determinacy is single-fact.,"Peak prediction plus pre-cooling needs external forecasts, demand data, optimisation and control loop.",LangGraph; ontology/knowledge graph; time-series store; forecasting; analytics sandbox; control intent; visualisation; [NEW] whole-building electric demand meter feed (new data source); [NEW] live zone temperature streams for floors 0-4 (new sensor feed); [NEW] weather forecast API (new data source); [NEW] utility peak-demand/tariff feed (new data source); [NEW] BMS HVAC write-back API/control points (new data source + add to ontology); [NEW] pre-cooling optimisation policy (add to ontology+KB),dialogue -> intent classification -> ontology query -> retrieve live zone and demand data -> [NEW] weather/tariff retrieval -> demand forecast -> pre-cooling optimiser -> control loop/BMS write-back -> monitoring -> response,building ontology; live floor 5 temperature/CO2/humidity; [NEW] live zone temperature for floors 0-4 (new sensor feed); [NEW] whole-building electric demand time-series; [NEW] weather forecast feed; [NEW] utility peak/tariff feed; [NEW] HVAC actuator/status points
q1607da2e0fc4,IT/Data Scientists,3,"If the Lux level is high near the windows, can the desks in the center of the room stay dimmer to save energy?",3,Inferential Reasoning,6,Meta / Strategic Reasoning,3,3,18,hybrid,requires_extension,"Conditional feasibility is derived from lux, lighting zones and savings goal; high/dimmer need thresholds.","Needs daylight sensing, spatial lighting zones, energy data and closed-loop dimming control.",ontology/knowledge graph; floor-plan + spatial reasoning; time-series store; analytics sandbox; LangGraph control intent; visualisation; [NEW] lux/daylight sensor feed (new data source + add LuxPoint to ontology); [NEW] dimmable lighting-zone telemetry/control points (new BMS/lighting API + add to ontology); [NEW] desk/window/lighting-zone map (inputs/ file + add to ontology); [NEW] lighting energy submeter feed (new data source); [NEW] lighting comfort/energy policy (add to capability KB); [NEW] physical lighting write-back/control API (new data source/API),dialogue -> control/feasibility intent -> ontology/floor-plan query -> [NEW] lux/lighting/energy retrieval -> daylight-control optimisation -> comfort/safety check -> [NEW] lighting control loop -> response,building ontology; floor plans; [NEW] lux time-series; [NEW] lighting dimmer/control telemetry; [NEW] desk/window/lighting-zone map; [NEW] lighting energy meter; [NEW] lighting comfort/energy policy; [NEW] lighting control API
q333c67860e86,IT/Data Scientists,1,Can we dim the south-side lights by 20% without anyone noticing?,5,Systemic Synthesis,6,Meta / Strategic Reasoning,1,3,20,hybrid,requires_extension,"Needs lighting, daylight, occupancy and perception judgement; 'anyone noticing' is ambiguous/high uncertainty.",Needs lux/occupancy/perception feeds plus closed-loop dimming trial; core lighting feeds are missing.,LangGraph orchestrator; ontology/knowledge graph; floor-plan + spatial reasoning; analytics sandbox; control; visualisation; RBAC; [NEW] lighting control points and dimmable luminaires (new data source + add to ontology); [NEW] physical lighting BMS write-back interface (external API); [NEW] illuminance/daylight sensor feed (new data source); [NEW] occupancy sensing feed (new data source); [NEW] occupant perception feedback/survey feed (new data source),dialogue -> intent classification -> spatial query south-side zones -> ontology query lighting assets -> [NEW] lux/occupancy retrieval -> feasibility model -> control-loop dimming trial -> feedback/anomaly check -> response,building ontology; floor plans; general LLM knowledge on visual perception; [NEW] lighting control/asset feed; [NEW] illuminance time-series; [NEW] occupancy time-series; [NEW] occupant perception feedback
q22c4c3793d53,IT/Data Scientists,4,Could escalators switch to standby when corridors are empty?,1,Factual Recall,6,Meta / Strategic Reasoning,5,4,17,building-data,requires_extension,Surface asks a clear yes/no capability check despite complex implementation.,"Needs escalator controls, corridor occupancy, safety interlocks and an actuation loop; streams/interfaces are missing.",LangGraph orchestrator; ontology/knowledge graph; spatial reasoning/floor plans; control intent; analytics sandbox; [NEW] escalator assets/standby capability (add to ontology+KB); [NEW] corridor occupancy sensor feed (new data source); [NEW] escalator controller/BMS write-back interface (new external control API); [NEW] safety/interlock rules (add to ontology+KB),dialogue -> capability check -> ontology/spatial query -> [NEW] occupancy/control telemetry retrieval -> safety rule evaluation -> standby policy planning -> control loop/approval -> response,building ontology; floor plans; [NEW] corridor occupancy time-series; [NEW] escalator status/control telemetry; [NEW] safety and interlock policy data
