Stage,Roles,Question
2,Guests/Visitors,Are the fans equipped with filters?
1,Guests/Visitors,can you give me a layout of your rooms?
3,Guests/Visitors,How could the building alert people to evacuate through preferred routes in real time?
1,Facility Managers / Building Maintenance Teams; Building Owners/Property Managers,Can you personalize the environment based on mypre3ferences?
1,Guests/Visitors,Does this building have any green certification or special technology?
4,Guests/Visitors,Can hackers trap people in elevators?
2,Health and Safety Officers,Do occupancy sensord use camers
1,Student/Researchers/Academics,How much power is this room using?
2,Building Owners/Property Managers,WHICH ROOM HAS BETTER AIR QUALITY RIGHT NOW ?
3,IT/Data Scientists,How to keep server room cool
2,Facility Managers / Building Maintenance Teams,MEASUREMENT
2,Building Owners/Property Managers; Occupants/Tenants/Employees; Facility Managers / Building Maintenance Teams,Are any smart plugs using excessive energy?
2,Occupants/Tenants/Employees; Guests/Visitors,Can the building automatically call 911 if it registers high levels of CO2?
1,Facility Managers / Building Maintenance Teams,DO YOU LOVE YOUR COUNTRY ?
4,Student/Researchers/Academics,can you keep temperature stable in all rooms?
2,Facility Managers / Building Maintenance Teams,BAKING
1,Student/Researchers/Academics,how do you control ventilation?
2,Building Owners/Property Managers,CAN HIGH CO2 LEVEL MAKES US WEAK ?
1,Guests/Visitors,Is there a way that I will be notificed when systems are down and how long they will take to get back up?
1,Guests/Visitors,What exactly do these smart features work? are they customizable to my unique needs?
2,Guests/Visitors,4
4,IT/Data Scientists,what are the primary goals?
1,Guests/Visitors,"Would this be a good place for a field trip for students, and what grade level?"
3,Guests/Visitors,How long can touch park undergroundm
1,Student/Researchers/Academics,Can you control lights automatically?
1,Guests/Visitors,Who do I contact if I have a problem with the smart feature that I cannot figure out on my own? is there a charge for this?
1,Student/Researchers/Academics,How many people are inside now?
3,Occupants/Tenants/Employees; Student/Researchers/Academics,Can you guide visitors to their destinations?
3,IT/Data Scientists,how many safe it will be a snacks
2,Building Owners/Property Managers; Facility Managers / Building Maintenance Teams,What is the current CO2 level
4,Occupants/Tenants/Employees,Can you automatically adapt systems for better sustainability?
1,Occupants/Tenants/Employees,"I see you cupping your ear. How would I pass on a suggestion, compliment or complaint?"
2,Guests/Visitors,Does the Smart System convey any warnings to the Occupants if VOC levels rise to dangerous levels?
3,IT/Data Scientists,how to sustain energy
1,Guests/Visitors,How much of the building is recorded?
3,Occupants/Tenants/Employees,Can you check to see if the emergency exit signs are illuminated properly along the entire central stairway?
4,Occupants/Tenants/Employees,what is meant by a green roof?
3,IT/Data Scientists,keep the meeting room were safe
2,Occupants/Tenants/Employees; Guests/Visitors,How do I know what is a good humidity level?
1,Guests/Visitors,"Is it possible to sync the smart abilities of the building with my computer, tablet or cellphone?"
2,IT/Data Scientists,What is the acceptable threshold for carbondioxide level?
1,Guests/Visitors,do you have kids?
4,Guests/Visitors,how can seasonal allergens be managed with indoor quality
2,Student/Researchers/Academics,what is the current power usage?
3,Guests/Visitors,how far in advance do you have to book the room
3,Guests/Visitors,Which room has the highest temperature right now?
1,Building Owners/Property Managers; Occupants/Tenants/Employees; Facility Managers / Building Maintenance Teams,What is the average temprature inside?
2,IT/Data Scientists; Building Owners/Property Managers,How do smart blinds help reduce heating costs?
4,Student/Researchers/Academics,"Are employees responsible for settings to increase efficiency, or are they automated?"
1,Guests/Visitors; Occupants/Tenants/Employees,Does Bob Smith live here?
2,IT/Data Scientists,what is the ideal temperature range?
3,Building Owners/Property Managers,How many people is good to do run a farm?
