turn,phase,title,status,depends_on,effort,objective,key_steps,files,acceptance_criteria,verify,notes
V5-T01,P0,Wire the 1100-question bank into the replay harness,done,,S,Make tasks/smart_building_questions.csv a runnable benchmark with split grading.,1) Bank adapter (ID/Question/Category/Register/Stakeholder_Role -> replay rows). 2) Grades: answered-with-data / honest-decline / ask / wrong / deflected. 3) Rollups per category AND per stakeholder role.,scripts/corpus_replay.py,Any subset of the 1100 bank runs live and emits per-question grades + rollups.,30-question smoke subset.,"DONE 2026-08-15: _load_strata_source accepts both bank shapes (Category->stratum, Stakeholder_Role/Register passthrough); result rows carry role+register; report gains per-stakeholder rollup (md + summary CSV 'role:' rows); L-prefix cosmetic fixed. 30q smoke on bldg2: all 24 categories graded, role table rendering (verified in v5_t01_smoke.md). Bank loads 1100 rows / 24 cats / 45 roles."
V5-T02,P0,1100-bank baseline + gap map (shape x pillar),skipped,V5-T01,M,Measure the V4 system before building (V4 lesson). Tag every gap by data shape (S1/S2/S3) AND pillar (predict/detect/event/register/compute/decline-forever).,1) Activate bldg2; full 1100 run. 2) Tag gaps by missing LAYER (TBox/ABox/source/skill). 3) Fill the bank's empty Required_Data_Sources + Answer_Type columns from observed routing. 4) Baseline the 72 anomaly + 59 prediction questions separately - the pillar scorecard.,scripts/outputs/replay/v5_baseline_*; tasks/smart_building_questions.csv annotations,Gap map CSV complete; pillar scorecard recorded (predict/detect baseline %).,Spot-check 20 gap rows; distribution tables in report.,"SKIPPED 2026-08-15 by user decision (MVP-first, no external comparison needed). Live run stopped at 103/1100 (~12h remaining); partial checkpoint ARCHIVED at scripts/outputs/replay/v5_baseline_bldg2.csv. REPLACED BY static classification: all 1100 questions tagged by required shape from text (bank columns Required_Data_Sources/Answer_Type filled). Demand: booking 45, predict 40, detect 36, cost 35, register 24, route 23, workorder 18, access 15, new-modality 69, decline-forever 16; fallback cross-domain 614 (multi-topic, existing lanes). V4 archived results remain the 'before' if a delta is ever needed."
V5-T03,P0,OCBV-2 delta spec (Brick-first audit),done,V5-T02,M,Enumerate needed terms; extend ONLY where Brick 1.4 lacks them.,"1) Map gap clusters to existing Brick classes (meters, PV, water, lifts, parking). 2) Spec OCBV-2: IntervalRecord hierarchy (Booking, WorkOrder, AccessEvent, AlarmEvent, ComplianceCheck, AnomalyEvent), lifecycle props (recordStatus, dueDate, completedDate, responsibleRole, detectedBy, baselineValue), linking props (aboutSpace, aboutEquipment, aboutPoint), forecast-skill vocabulary (skillOf, horizonHours, backtestMAE). 3) Versioning rules; TBox never carries building terms.",tasks/V5_OCBV2_DELTA_SPEC.md,"Every S2/S3/pillar gap cluster maps to a spec entry, an existing Brick term, or an explicit decline-forever tag.",Review against T02 gap map.,"DONE 2026-08-15: Brick-first audit measured (S1 families all Brick-covered; booking/workorder/access/compliance/policy = zero Brick vocabulary -> OCBV-2 delta). Spec finalized via static demand counts; amenity kinds decided (BikeStorage, FirstAidPoint, Shower, Locker, PrayerRoom, PrinterPoint, BabyChanging); event attrs contract documented. tasks/V5_OCBV2_DELTA_SPEC.md"
V5-T04,P1,OCBV-2 TBox implementation,done,V5-T03,M,Extend ontology/ontosage_schema.ttl per spec (incl. AnomalyEvent + forecast-skill vocab).,1) Author triples with rdfs:label/comment on every term. 2) Version bump + in-file changelog. 3) ttl_uploader SHA pickup.,ontology/ontosage_schema.ttl,TBox parses; uploads; zero building literals; all spec terms present.,TTL validator + SPARQL class count; scan test.,DONE 2026-08-15: Module J appended to ontosage_schema.ttl (v2.1.0): IntervalRecord hierarchy (6 subclasses) + lifecycle props; ForecastSkill; AccessPolicy; amenities Locker+PrinterPoint (most demand-list kinds already existed in v2.0.0). 859 triples parse; uploaded to GraphDB (sha 7cacb58e); live SPARQL confirms 6 IntervalRecord subclasses. BONUS: scan test found+fixed 2 pre-existing building literals in v2.0.0 skos:examples (buildingOwner/buildingAddress) — TBox now fully agnostic.
V5-T05,P1,Compliance-register template -> TTL generator,done,V5-T04,M,Registers with DATES become triples (TTL-first): overdue = SPARQL.,"1) config/compliance_register_template.yaml (fire test, legionella flush, LOLER, PAT, F-gas, emergency lighting...). 2) scripts/generate_compliance_register.py -> <id>_compliance.ttl (synthetic-but-declared dues/completions for dev). 3) Per-building overrides.",config/compliance_register_template.yaml; scripts/generate_compliance_register.py,Runs for active building with zero code edits; due/overdue SPARQL correct.,Frozen-date unit tests + live probe.,"DONE 2026-08-15: config/compliance_register_template.yaml (10 universal item types, frequencies, responsible roles, dev_overdue_items=fire_door_inspection+pat_testing for guaranteed true positives) + scripts/generate_compliance_register.py (deterministic per building+item seed; history cycles completed with jitter; current cycle open/overdue; isSimulated on every instance; --now for frozen tests; --all for parked folders). 82 checks per building x3 generated. 6 frozen-date unit tests green incl. the exact overdue-SPARQL shape. LIVE on bldg2: uploaded (sha d5b3f3f3), overdue query returns exactly the 2 forced items. Real buildings replace instances via admin TTL upload, same shape."
V5-T06,P1,"TBox tests, docs, scan extension",done,V5-T04,S,Lock the TBox contract.,"1) tests/test_ocbv2_schema.py (terms parse, labels present, no literals). 2) Extend zero-literal scans to all new scripts. 3) ONTOSAGE.md OCBV-2 reference section.",tests/test_ocbv2_schema.py; ONTOSAGE.md,pytest green incl. scans; docs merged.,pytest -m unit -q.,"DONE 2026-08-15: tests/test_ocbv2_schema.py — 6 tests: parse+version, hierarchy complete, labels+comments on every Module J term, privacy-by-design wording asserted, zero-literal scan (which caught the v2.0.0 examples), amenity kinds. All green."
V5-T07,P2,Generic event store: DDL + EventAdapter + registry type,done,V5-T03,M,"One table shape + one adapter for ALL S2 data (bookings, work orders, access, compliance, ANOMALIES).","1) DDL: events(event_id, event_type, subject_uuid, start_dt, end_dt NULL, status, attrs JSON) + indexes on (event_type, start_dt) and subject. 2) services/adapters/mysql_events_adapter.py: active-now, overlap-window, count-by-status, latest-per-subject, history. 3) Registry type mysql_events + per-building events_data key.",data/mysql-init/create_events_table.sql; orchestrator/services/adapters/mysql_events_adapter.py,Adapter passes fixture tests for all query kinds; resolves via ref:storedAt like any source.,Unit tests with seeded fixtures.,"DONE 2026-08-15: data/mysql-init/create_events_table.sql (idempotent; PK event_id + 3 indexes); mysql_events_adapter.py extends MySQLAdapter with 5 validated builders (active_now, overlap_window=availability primitive, count_by_status+aging, latest_per_subject via ROW_NUMBER, history) — injection inputs return None or explicit 1=0; registry _build_adapter += mysql_events; events_data entry + storage key wired in ALL THREE buildings (registry YAML + building.yaml); events table CREATED in all three DBs (as root — ontosage lacks CREATE on bldg2/bldg3 DBs, note for onboarding contract T32). 8 unit tests green. LIVE verified on bldg2: registry resolves bldg:events_data -> MySQLEventsAdapter, real query success (0 rows), schema discovery clean after SchemaInfo signature fix. NEXT (MVP order): T05 compliance generator -> T09 S1 expansion -> T08 event generators."
V5-T08,P2,Synthetic event generators (building-agnostic),done,V5-T07,L,synthetic_signals.py discipline: deterministic seed per building:subject:day; isSimulated declared.,"1) Bookings: office-hours patterns, ghost-rate, recurrence, capacity-sized. 2) Work orders: open->assigned->done lifecycles, trade mix, aging tail. 3) Access events COUPLED to the occupancy driver (cross-shape consistency is what makes DETECT consistency checks testable). 4) Compliance completions vs T05 dues. 5) Backfill script + live tick hook in data-publisher (mounts already fixed, BUG-164).",orchestrator/services/deliberation/synthetic_events.py; scripts/backfill_events.py; scripts/generate_dummy_timeseries.py,5 weeks backfilled + live ticks on test building; bookings-vs-occupancy consistency sanity-checked.,Row counts; MAX(start_dt) advances; consistency query.,"DONE 2026-08-15: synthetic_events.py (deterministic uuid5 event_ids -> idempotent INSERT IGNORE; bookings cover occupied stretches of the SAME occupancy driver, ~15%/room/day ghost bookings placed in zero-occupancy slots; workorder lifecycles open->assigned->done w/ 10% aging tail; access events aggregate-only, count in attrs, subject entrance_main - matches privacy model). scripts/backfill_events.py + publish_events_tick hourly hook in data-publisher. bldg2 LIVE: 3,173 events backfilled (1316 booking / 37 workorder / 1820 access); ghosts 79; WO status mix 29 done/3 assigned/5 open; live tick verified (newest event past backfill time). 7 unit tests incl. ghost-vs-occupancy consistency. Compliance NOT duplicated in store (S3 triples are canonical, T05). subject_uuid convention: derive_point_uuid(bid,'evt_subject',local) - T24 must derive the same."
V5-T09,P2,Injected-anomaly framework with EXTERNAL truth labels,done,V5-T08,L,Ground truth for DETECT: generators inject labeled anomalies; labels invisible to the system.,"1) Injection types: spike, stuck/flatline, drift, dropout, schedule violation (activity at 3am), correlation break (CO2 rises while occupancy=0). 2) Injection plan deterministic per building+seed; rate configurable (default sparse ~1-2/room/month). 3) Truth labels written OUTSIDE the building DB (scripts/outputs/anomaly_truth/<building>_<seed>.csv) - grader-only. 4) Injection applies to backfill AND live ticks.",orchestrator/services/deliberation/synthetic_signals.py (injection hooks); scripts/backfill_saturation.py flag; truth label writer,Injected series visibly contain the anomalies; truth CSV lists every injection with type+window+subject; system DB carries no label.,Manual plot/spot-check of 5 injections; truth file row count matches plan.,"DONE 2026-08-15 (scope EXTENDED beyond config-only, by design decision): sat.scope room|floor|building added to plan_saturation (floor anchors from distinct space floors; building anchor from brick:Building lookup w/ namespace fallback; idempotent via named-graph replacement); audit room matrix excludes scoped modalities. 4 new modalities: pm25(room), energy_submeter(floor,kWh), water_flow(floor,L), parking_free(building,bays) + deterministic generators + pm25 WHO-2021 anchor in scorer. 4 narrow tables DDL x3 DBs + registry/storage wiring x3 buildings. bldg2 LIVE: 59 sensors provisioned (52+3+3+1), 297,360 rows backfilled (row math exact), audit pm25 100%, uploaded failed=0. ARBITER probe: 'lowest PM2.5 on floor 1' -> deliberate, ranked 16, top1 RM125_room pm25=2.75 w/ dossier. 5 new unit tests + 26 existing green. lift_state DEFERRED (needs equipment anchors - tail note). REMEMBER for T33-T35: parked buildings need saturate+backfill re-run for T09 modalities on their legs."
V5-T10,P2,S1 modality expansion via existing SATURATE,done,V5-T02,M,"Free coverage: new scalar modalities, zero new pipeline code.","1) saturation_modalities.yaml += water_flow, energy_submeter (per-floor), pm25, parking_free, lift_state. 2) Scorer anchors + units (cited bands where standards exist). 3) Backfill + 100% audit on test building.",config/saturation_modalities.yaml; scorer anchors,Audit 100% on new modalities; ARBITER ranks on them; anchors cited.,audit_coverage + one ranking probe per modality.,"2026-08-18. pm25/energy_submeter/water_flow/parking_free already landed in T09; this turn added lift_state (brick:Availability_Status + lift/elevator label filter, class verified against the loaded Brick TBox) and its binary anchor. Two real defects found and fixed while doing it, both of which would have made the new modalities produce confident nonsense: BUG-180 - the scorer resolved a MISSING anchor to a 0-1 band with an empty citation, so litres/kWh/bays were clamped and ranked on an invented scale; a missing band is now an explicit skip (or, for a hard constraint, an honest 'not verifiable') and the measured value is still reported. BUG-179 - SATURATE minted every configured class into the BRICK namespace unchecked, which is how 52 instances of brick:Sound_Level_Sensor (a class Brick does not define) exist; classes may now be explicitly prefixed and ontosage:Sound_Level_Sensor is declared in OCBV Module K. DELIBERATE OMISSION: energy_submeter/water_flow/parking_free get NO default band - a defensible one is per-building (floor area, tariff, car-park size) and belongs in the RecipeRegistry/benchmarks.csv; inventing a global one is the fabrication the honesty contract forbids. 15 new tests (test_scorer_unanchored 8, test_saturation_class_namespace 7). REMAINING (needs the stack, currently held by the T44 benchmark): backfill + 100% audit of lift_state on the test building; retype the legacy instances (TODO-181)."
