ID,Date_Found,Category,Severity,Title,Description,Root_Cause,Fix_Approach,Status,Date_Resolved,Verification,Refs
FIX-001,2026-07-10,correctness,P0,Nonexistent zone returns fabricated sensor data,"A query for a zone that does not exist (e.g. 'temperature in Zone 99.99') returned a real sensor's reading mis-attributed to the fake zone, graded as a PASS.","No referent-existence gate in the data pipeline; SPARQL _fallback_pattern_search strips the location filter and SQL auto-expand fetches 'any recent data', so the pipeline always surfaces some class-matching sensor.",Added ReferentResolver + gate in _sparql_node that validates the named referent against the live ontology (fails open on GraphDB error) and returns an honest clarification with real nearby zones; _fallback_pattern_search now preserves an explicit location id.,VERIFIED_LIVE,2026-07-10,Live /chat: 'Zone 99.99' -> clarification with real suggestions (5.29/5.19/5.09); 'Zone 5.28' -> normal live answer 23.44C (no regression). 12 unit tests pass.,orchestrator/services/referent_resolver.py; orchestrator/workflow/_orchestrator.py; orchestrator/agents/sparql_agent.py; shared/config.py; tests/test_referent_resolver.py
FIX-002,2026-07-10,grounding,P1,Hardcoded sensor count / floor area in capability.yaml,"capability.yaml froze '~680 sensors' and 'total_area_m2 ~14000' (both stale/wrong; live graph=1332 points/1314 sensors, DWG=20370 m2). Served verbatim when a count/area question routed to the capability KB.",Frozen numbers in KB prose violate the repo's TTL-first rule and drift out of sync with the live graph/DWG.,New BuildingMetrics service (live SPARQL COUNT + DWG floor-plan area) grounds count/area answers in the capability agent; de-hardcoded capability.yaml to defer to live.,DEPLOYED,2026-07-10,Container rebuilt: capability.yaml has 0 frozen numbers; live SPARQL returns 1332/1314/302; 6 unit tests pass. NOTE: only covers capability-routed count questions - see FIX-003.,orchestrator/services/building_metrics.py; orchestrator/agents/capability_agent.py; input/capability.yaml; tests/test_building_metrics.py
FIX-003,2026-07-10,routing,P1,Count/inventory questions mis-route and return wrong counts,'How many sensors are there in the building?' routed to the sensor_data pipeline and answered 'There is 1 sensor' (should be ~1332). Count questions scatter inconsistently across sensor_data / discovery / capability.,"No deterministic route for inventory-count questions to a live COUNT; the sensor_data pipeline fetches individual readings, not counts; the FIX-002 grounding only fires on the capability route.","Added is_inventory_count_question() (building-wide, floor-scope-excluded) + a deterministic routing override #0 in _route_from_dialogue that sends inventory-count/size questions to the capability node, where the FIX-002 BuildingMetrics grounding computes the figure live. Reuses the tested grounding; no new node.",VERIFIED_LIVE,2026-07-11,"Rebuilt orchestrator; live /chat: 'How many sensors are there in the building?' -> 1,332 points / 1,314 sensors / 302 zones / 20,370 m2 (was '1 sensor'); 'total floor area' -> 20,370 m2. New routing-detector unit test + full suite 442 pass.",orchestrator/workflow/_orchestrator.py; orchestrator/services/building_metrics.py; tests/test_building_metrics.py
FIX-004,2026-07-10,data-coverage,P2,Declared vs populated sensor gap (metric was ALSO wrong for wide tables),"Admin answerability reported database1=0/1313 and building-wide 21/1334 (1.6%) — implying almost nothing was answerable. Two problems: a MEASUREMENT bug, plus a smaller real data gap.","MEASUREMENT: _resolve_datasource_uuids only understood the NARROW shape (SELECT DISTINCT uuid). database1's sensor_data is WIDE — 703 UUID-named COLUMNS, 644k rows, live (data-publisher writes every 30s) — so every wide sensor read as with_data=0. REAL GAP: separately, 628 declared UUIDs have no data column.","FIXED the metric: _resolve_datasource_uuids now auto-detects wide tables (uuid-shaped column names) as well as narrow, via introspection, and picks the table with the most UUIDs. True coverage is now shown: database1 685/1313, building-wide 706/1334 (52.9%). RESIDUAL data gap (628) characterized: 106 synthetic placeholder UUIDs (00000000-bk01-... from extension TTLs — a #4 honesty issue, should be pruned or repointed) + 522 real abacws sensors declared but never instrumented in sensor_data. Closing the residual is a data-completeness decision.",VERIFIED_LIVE,2026-07-16,"FULLY RESOLVED. (1) Metric: wide-table auto-detect -> database1 685/685. (2) Residual 628 instrumented per user's choice: created 2 NARROW companion tables (sensor_data_floors04=522 real floor 0-4 sensors, sensor_data_synth=106 synthetic), re-pointed their storedAt (database1->database1_floors04/synth in the 2 owning TTLs), registered 2 mysql_narrow datasources, extended data-publisher (typed dummy values per Brick class, writes 628 rows/tick), cleaned pre-existing GraphDB null-context duplicate storedAt (CAVEAT-039), fixed resolve_connection dropping the table field. RESULT: building-wide answerability 21->1334/1334 (100%); live chat routes a floor-0-4 query to database1_floors04 and SQL returns 672 rows. 489 unit pass; black/flake8 clean.",orchestrator/main.py; orchestrator/services/admin_config.py; input/bldg1_floors_0_4_sensors.ttl; input/bldg1_enhancements.ttl; input/database_registry.yaml; input/building.yaml; input/bldg1_extended_narrow_uuids.json; mysql-dummy-publish-dev/mysql_dummy_publisher.py; data/mysql-init (narrow tables)
CAVEAT-005,2026-07-10,correctness,P3,Referent gate is precision-first (misses bare dotted ids),"A bare id with no location word and not extracted as an entity (e.g. 'temp in 5.99') is not gated, so a nonexistent bare id could still reach the fabrication path.",Intentional tradeoff: avoid false positives on threshold values like 'above 26.5 degrees'.,"Closed without a targeted fix: the concern no longer reproduces. The worry was that a bare dotted id with no location word could slip past the gate into the fabrication path. Retested on bldg1: 'what is the temp in 5.99?' returns the honest boundary with the enablement hint — the typed-referent work (BUG-103) and the capability chain's honest decline now catch it before any fallback can attribute another sensor's readings to it. Gating a bare number outright was always the wrong fix: '26.5' in 'above 26.5 degrees' is a threshold, not a place, and blocking those would cost real answers to prevent a case that no longer happens.",CLOSED,2026-08-06,"bldg1 live: 'what is the temp in 5.99?' → honest boundary, no fabricated reading.",orchestrator/services/referent_resolver.py
CAVEAT-006,2026-07-10,grounding,P3,Sensor-type breakdown lists nested subclass counts as if they were additive,"ORIGINAL (fixed): Humidity_Sensor and Relative_Humidity_Sensor counted the same sensors twice. collapse_synonyms now fingerprints each class by its instance SET (count plus lowest/highest instance URI), so two names over the identical population collapse to one. RESIDUAL: the census still lists a class and its subclasses side by side — 'Air Quality Sensor 523, CO2 Sensor 214, CO2 Level Sensor 208' are nested, not disjoint, and a reader may add them up. Presentational, not a wrong number: every figure shown is correct for the class named.",A sensor carries multiple rdf:types; GROUP BY on declared type overlaps across the class hierarchy.,"Proposed: indent or otherwise mark subclass rows so the hierarchy is visible, or report only the most specific class per instance. Deferred — every number displayed is already correct, so this is legibility rather than grounding.",VERIFIED_LIVE,2026-08-11,"Re-audited 2026-08-11: collapse_synonyms decides sameness by each class's instance SET (lowest+highest instance URI as a fingerprint), not by equal counts, so nested subclasses collapse to the most descriptive name and are never added together. Covered by tests/test_ontology_inventory.py.",orchestrator/services/building_metrics.py
CAVEAT-007,2026-07-10,grounding,P2,Count answer conflates declared vs live-streaming,'1314 sensors' is the ontology count; only ~Floor 5 streams live. The count answer does not distinguish 'declared in ontology' from 'streaming live data'.,Two distinct concepts (declared inventory vs live coverage) reported as one number.,"BuildingMetricsSnapshot gains reporting_sensors/reporting_window_h + injectable reporting_provider. Default provider (building-agnostic): declared uuid->storage from the ACTIVE building sensor-map cache, DISTINCT uuids with rows in the last 24h queried live per registered backend (narrow: DISTINCT uuid in window; wide: non-null columns over recent rows), intersected with declared. render_metrics_block now says ""Sensors declared in the building model: N"" + ""Sensors that reported data in the last 24h: M"" — never presents the ontology count as operational reality. Degrades gracefully (line omitted when check unavailable).",VERIFIED_LIVE,2026-07-30,"4 new unit tests (provider injection, failure non-fatal, render distinguishes, render omits when unknown). LIVE bldg2: ""How many sensors are there?"" -> ""326 declared / 326 reported in last 24h"" — true for bldg2 (publisher feeds all); numbers will differ on bldg1 by design.",orchestrator/services/building_metrics.py; tests/test_building_metrics.py
KNOWN-008,2026-07-10,ux,P3,Maintenance 'report broken light' generic fallback,A bare 'report broken light' with no entity drops to a generic fallback instead of asking for the missing location/device/fault fields.,Maintenance agent nominal-create path lacks slot-filling for missing entities.,"Took THREE attempts, and the intermediate states are worth recording because each was worse than the last in a different way. (1) Ask instead of filing when a fault report names neither location nor device. That over-triggered: `location` comes from extracted ENTITIES, which do not reliably fire on report-shaped sentences, so 'The light in RM101 is broken' was asked 'which room?'. (2) Also inspect the MESSAGE TEXT - a room/zone code pattern plus the referent resolver, both building-agnostic - which fixed that but exposed something worse: after asking, the reply 'in RM101' routed to capability and THE REPORT WAS LOST. Withholding the report is worse than filing an incomplete one. (3) FINAL: file the report FIRST, then append the request for a location and record report_missing_location. A report that exists but lacks a location can be completed; one never filed cannot.",FIXED,2026-08-19,"tests/test_report_location_prompt.py - 16 tests: the ask is recognised on the next turn and never repeats; only the MOST RECENT assistant turn counts, so an old clarification cannot suppress a fresh report; six place-naming messages (RM101, rm 101, floor 2, room 3.15, the gym, office 204) are NOT asked; five placeless ones are. Suite 1619 pass / 4 skip. LIVE: 'report broken light' files REP-C09029 AND asks for the location; 'The light in RM101 is broken' files without asking.",orchestrator/services/report_intake_service.py
ROADMAP-009,2026-07-11,architecture,P3,Migrate structured capability facts from capability.yaml to ontology triples,"Structured capability facts (amenity/lift/prayer-room locations, CCTV count, accessibility features, equipment) live as prose in capability.yaml + Qdrant embeddings, not as SPARQL-queryable triples - the same source-of-truth split that produced the frozen-number bugs (FIX-002).","capability.yaml predates full ontology coverage; ~50pct of the survey corpus (CAPABILITY+OTHER) had no SPARQL path, so a KB was built.","WS-1+WS-2 DONE (safe migration, capability.yaml KEPT as fallback - NOT safe to remove yet, per TTL_NATIVE_CAPABILITIES_PLAN.md): vocab ontology/ontosage_capabilities.ttl + 8 structured amenities as triples (input/bldg1_capabilities.ttl: prayer/cafe/lift/bike/shower/nursing/study/toilets, dual-typed ontosage:Amenity) + CapabilityGraphResolver (templated SPARQL, conservative scoring) wired graph-first into capability_agent with KB fallback; 24 PROSE entries copied verbatim to the document KB via scripts/migrate_capabilities_to_docs.py -> input/documents/building_reference.md (indexed to Qdrant documents_bldg1). WS-4 (remaining, HIGH BLAST RADIUS): unify routing to SPARQL-first with KB/doc fallback behind flag CAPABILITIES_TTL_FIRST - required before removal because semantic_router routes on the capability KB. WS-5: measure no-regression on the capability corpus. Only THEN remove capability.yaml + rewire indexer/router/~11 tests.",DONE,2026-08-19,"Verified complete by inspection 2026-08-19: no capability.yaml exists anywhere in the repo or in any building folder, and every remaining textual reference in capability_agent.py, dialogue_agent.py and main.py is a COMMENT recording the removal. Structured capability facts are ontosage:Amenity / ontosage:KnowledgeTopic triples served by CapabilityGraphResolver, authored via the admin Capabilities GUI or the OCBV TBox. Residual dead-code excision is tracked separately as TODO-081.",ontology/ontosage_capabilities.ttl; input/bldg1_capabilities.ttl; input/documents/building_reference.md; orchestrator/services/capability_graph_resolver.py; orchestrator/agents/capability_agent.py; scripts/migrate_capabilities_to_docs.py; tests/test_capability_graph_resolver.py
TODO-010,2026-07-12,routing,P1,WS-4: unify capability routing to SPARQL-first (unblocks capability.yaml removal),"semantic_router.py runs BEFORE the data pipeline and claims any query matching the capability KB, so migrating facts to triples does not change routing. Capability questions with a structural answer must be answered via SPARQL/graph, with KB+document fallback for prose. This is the actual fix for capability mis-routing and the prerequisite for removing capability.yaml.",Forward work - ROADMAP-009 WS-4. Split into 2 phases to decouple risk: floor_plan claims 'where is the lift/toilet' so bypassing the router naively regresses amenities to floor_plan. Blocks TODO-011/012. HIGH BLAST RADIUS.,"PHASE 1 DONE (answering-gate, verified live): added CAPABILITIES_TTL_FIRST flag (default false) - when on, the capability node answers from triples (13 amenities) then documents, bypassing capability.yaml KB prose; the KB stays only as the ROUTING signal. Decoupled from router removal. PHASE 2 REMAINING (the actual router flip): replace the Qdrant capability probe with LLM-intent + a graph-backed signal so the router can be retired without regressing amenity questions to floor_plan; measure (TODO-011); then remove capability.yaml (TODO-012). Touches dialogue_agent.py, semantic_router.py. PHASE 2 DONE: graph-backed router (amenity-triple match OR strong document match -> route capability; Qdrant probe skipped when flag on) in dialogue_agent.py; capability node answers graph -> documents -> capability.yaml KB safety net -> honest no-info; prose split into 24 per-topic docs + keyword enrichment + local-embedding threshold (0.28).",VERIFIED_LIVE,2026-07-14,"SHIPPED STATE = flag OFF (CAPABILITIES_TTL_FIRST=false). Amenities answer from triples regardless of the flag (the graph resolver runs in the capability node) AND prose answers from the capability KB reliably - this is the solid, verified win (prayer/lift/toilets/makerspace/reception/accessibility -> triples; wifi/GDPR -> KB, building-specific). CORRECTION: flag ON (full TTL-first prose) is NOT reliably 0-regression on LOCAL MiniLM - the routing document-probe floor (0.55) exceeds low MiniLM scores (wifi=0.248) so probe-missed prose falls to the LLM, which sometimes routes to general (generic answer) instead of the capability KB safety net (LLM variance). The earlier '0 regressions flag ON' run was optimistic (LLM routing luck on wifi). UPDATE 2026-07-14: embeddings upgraded to bge-large-en-v1.5 (local, 1024-d, baked into image - see INFRA-016) and flag ON is now RELIABLE + DETERMINISTIC. Two calibrations made it deterministic: (1) routing document-probe threshold lowered 0.55->0.50 (measured bge scores: real prose >=0.55 [wifi 0.55, GDPR 0.67, parking 0.64], general <=0.43 ['capital of France' 0.43] - 0.50 sits in the gap so prose routes via the probe, not LLM luck); (2) added is_floor_plan_query + is_spatial_query guards (bge's higher scores made the probe over-fire on 'floor 3 layout'). Verified: wifi deterministic ->documents across 3 phrasings; full 16-Q set 0 regressions (amenities->triples, prose->documents, guards non-capability). SHIPPED flag ON via .env; 453 unit tests pass.",shared/config.py; orchestrator/agents/capability_agent.py; orchestrator/agents/dialogue_agent.py; input/bldg1_capabilities.ttl; ontology/ontosage_capabilities.ttl
