turn,phase,title,status,depends_on,effort,questions_unblocked,objective,why,alternatives_rejected,building_agnostic_how,key_steps,files,acceptance_criteria,verify,notes
V7-T01,P0-Carryover,Carry the 12 P12-Unanswered tasks (V6-T70..T81) into V7,todo,,M,,"Adopt V6-T70..T81 as V7 work with their reasoning intact, re-sequenced against the catalogue evidence rather than against the 1,580-question bank alone. Four are itemised separately because the catalogue analysis changed their shape — T70 becomes part of V7-T21 (the decline can now name a specific missing SYSTEM, not just a missing fact), T71 is V7-T23, T72 is V7-T24, T75 is subsumed by the Record Document standard in V7-T18. The other eight carry across unchanged.","Those twelve were written from 243 measured failures and none of them started. They are the only part of the backlog already grounded in observed behaviour, so they lead — and V6-T70 (make the decline specific) is now a dependency of the answerability precheck rather than a standalone improvement.",Re-deriving the same tasks from the catalogues would discard the measurement that produced them. Closing them as 'superseded' would lose 243 known-failing questions.,"No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.",Copy the twelve rows; re-point V6-T70 at V7-T21; keep docs/V6_unanswered_worklist.csv as their evidence base.,docs/V6_PLAN_EXTENSION_UNANSWERED.md; docs/V6_unanswered_worklist.csv,All twelve appear in the V7 tracker with their original objective and alternatives_rejected text.,Diff the twelve rows against tasks/V6_TRACKER.csv phase P12-Unanswered.,
V7-T02,P0-Carryover,Close or re-scope the 7 OPEN tracker rows before new work lands,in_progress,,S,,"Resolve BUG-354, BUG-355, BUG-360, CAVEAT-361, CAVEAT-362, CAVEAT-363, CAVEAT-364 — each either fixed, or re-scoped into a named V7 task with the reason recorded.","Two of these are load-bearing for V7's own measurement. CAVEAT-362 (the leak grader counts numbers, so a correctly-restricted aggregate grades LEAK) and CAVEAT-363 (16 questions exceed the pipeline timeout) both distort any score V7 reports. Measuring on top of a known-broken grader is how this project produced fictitious numbers twice before.","Carrying them as background noise — they are the measurement apparatus, and this project's own history is that the apparatus was wrong more often than the system.","No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.",CAVEAT-362 needs the user's decision on grader semantics; CAVEAT-364 folds into V7-T18; CAVEAT-361 folds into V7-T04; the rest are fixes.,tasks/FIX_TRACKER.csv,Zero rows with Status OPEN that are not explicitly re-scoped to a V7 task id.,python - <<'EOF' reading FIX_TRACKER.csv and asserting no OPEN row lacks a V7 ref,"12 not-closed rows at session start -> 7. Closed: CAVEAT-379, CAVEAT-365, CAVEAT-381, CAVEAT-380, BUG-354, BUG-355. Diagnosed but deliberately not fixed: CAVEAT-361 (needs a user decision), BUG-378 (behavioural change, must not land mid-capture). Added CAVEAT-384. Remaining: TODO-072, BUG-356 (both FIXED_UNVERIFIED, need live probes), BUG-360, BUG-377. || 2026-09-03: BUG-360 FIXED (7 apparatus defects, recall 7/7 over what the data can hold), BUG-356 VERIFIED_LIVE, BUG-377 and BUG-378 FIXED. CAVEAT-361 and V7-T04 resolved after the user's decision to feed every declared stream - which measurement then showed was already satisfied. Remaining: TODO-072 only (FIXED_UNVERIFIED, needs the bldg4 GUI pass in V7-T39/TODO-339)."
V7-T03,P0-Carryover,"Finish the V6 in-progress rows: advisory gates, synthetic packs, sensor ABox",todo,,M,,"Complete V6-T55 (every gate advisory and live-verified), V6-T57/T58/T60/T61 (the institutional, service, safety and pathology data packs), V6-T63 (conformance gate) and V6-T65 (instance-level sensor metadata).","V6-T65 is a prerequisite for the catalogues' commissioning gate — 2,396 mentions of commissioning and 2,473 of calibration across the 2,960 questions all require per-instance sensor metadata that does not exist yet. V7-T13 cannot be built on an empty ABox.","Starting the evidence-grammar work first — it would be written against metadata that no instance carries, and would then be untestable.","No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.","Finish T65 first (it blocks T13); then the packs, which supply the ABox the conformance gate checks.",tasks/V6_TRACKER.csv,No V6 row remains in_progress.,python scripts/certify_building.py --expect bldg1 --preflight-only,
V7-T04,P0-Carryover,Eight timeseries tables stopped five days ago and pm25_data is empty,done,,S,,"Restore continuous rows to co2_data, contact_data, humidity_data, parking_data, plant_data, submeter_data, temperature_data and waterflow_data; seed or retire pm25_data.","Measured 2026-08-31: those eight stop at 2026-08-26 while nine others are current, and pm25_data holds zero rows. Temperature and CO2 are the two most-demanded modalities in the catalogues, and PM2.5 is named directly. A present-tense question against a five-day-stale table is either a wrong answer or a decline that misattributes the cause to capability rather than to a stopped generator.","Reporting V7 coverage without fixing it — every affected question would be scored against a defect in the fixture, not in the system. This is CAVEAT-361 widened from three tables to eight.",The generator already reads its uuid set from the graph and its database from env; the fix is to run it on a schedule rather than to add per-building configuration.,Find what writes the fresh nine and not these eight; make the narrow-table fill a service or a scheduled job rather than a one-off script.,scripts/generate_dummy_timeseries.py; docker-compose.yml,All 20 tables report a MAX(time) within one publish interval; pm25_data non-empty or removed from the registry.,"Row-count and MAX(time) per table, compared before and after.","RESOLVED 2026-09-03. All eight named tables are current with EVERY declared sensor writing: co2 66/66, contact 466/466, humidity 72/72, temperature 67/67, submeter 10/10, waterflow 2/2, parking 1/1, plant 44/44 declared. Measured across all declared streams: 2,733 of 2,734 current (100.0% at store level, verified COLUMN BY COLUMN for the wide store rather than trusting its table timestamp - 683 of 684 are real columns and all 683 wrote in the last 20 minutes). The single exception is NOTE-407, a feed-registered point naming a column that does not exist. pm25_data: RETIRED as a question, not seeded - it is a registered store NOTHING REFERENCES, while PM2.5 itself is monitored by 34 declared sensors on the wide store. Its emptiness misled this row and CAVEAT-361 into reading PM2.5 as unmonitored. What was genuinely wrong is CAVEAT-410: those PM2.5 columns were being written 0 and 1. || SUPERSEDED DIAGNOSIS (2026-08-31), kept for history: DIAGNOSED 2026-08-31, fix awaits a user decision. The data-publisher writes ONLY the tables named in its two UUID maps (7 modality tables + both sensor_data_*); the eight frozen tables and pm25_data appear in NEITHER, so nothing has ever topped them up. Impact quantified by ref:storedAt census: 728 of 2,861 connected points (25.4%) read from a frozen store. Freshness gate verified to DETECT it correctly (passed=False, downgrade INFERRED, age named against a 15-min limit; an absent stream is NOT_ASSESSABLE not INFERRED) but runs ADVISORY. Also the true cause of BUG-378. See CAVEAT-361."
V7-T10,P1-EvidenceGrammar,The third time: carry effective_at beside observed_at and retrieved_at,done,,M,2960,"Add effective_at to EvidenceSource and EvidenceRecord, populate it wherever a source declares one, and render all three distinctly.","Every one of the 37 catalogues states the same rule: preserve effective time, observed or approved time and retrieval time SEPARATELY. OntoSage carries two of the three. The missing one is what distinguishes a policy that takes effect next Monday from one in force now, a future-dated role change from a current entitlement, and a booking made yesterday for next week. Without it, every authoritative-record answer silently collapses 'when it applies' into 'when we read it'.","Reusing observed_at for effective time — it is precisely the conflation the catalogues forbid, and it would make a future-effective record read as a current fact.","No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.",Extend the models; populate from ontosage:effectiveFrom/effectiveDate which the TBox already defines; surface in the dossier and the narration.,shared/models.py; orchestrator/services/evidence/assemble.py; narration.py,A question about a future-effective policy states the effective date and does not present it as current.,Live probe against a policy with ontosage:effectiveFrom in the future.,"DONE 2026-08-31. effective_at on EvidenceSource, populated from the lifted registers' front-matter."
V7-T11,P1-EvidenceGrammar,Name the accountable owner of every source,done,V7-T10,M,2960,"Add owner (and its authority) to EvidenceSource, resolved from the graph, and state it whenever an answer rests on an authoritative record.","Owner is the single most frequent demand in the corpus — 13,964 occurrences across the 2,960 questions, ahead of permission (6,176) and conflict (5,437). The catalogues do not ask the building to decide; they ask it to say whose record it is and to defer to that owner. An answer that cannot name the owner cannot be acted on, because the reader does not know who to go to.","Treating source_tier (authoritative/measurement/inference) as sufficient — it says what KIND of thing answered, never who is accountable for it, and deferral is addressed to a person.","Owner comes from ontosage:policyOwner / responsibleRole / a new recordOwner on the source's own triples, so each building declares its own owners in TTL.","TBox: ontosage:recordOwner, ontosage:owningAuthority. Resolve in assemble. Render in narration for authoritative-tier answers.",ontology/ontosage_schema.ttl; shared/models.py; evidence/assemble.py,Every answer whose source_tier is authoritative names an owner or declares that none is recorded.,Probe a compliance question; assert the owner appears in the dossier.,DONE 2026-08-31. owner + authority on EvidenceSource. A sensor declares an empty owner rather than a made-up one.
V7-T12,P1-EvidenceGrammar,Verification state as an axis of its own: VERIFIED / PARTIAL / CONFLICTED / UNVERIFIED,todo,V7-T11,M,2960,"Add a verification_state to EvidenceRecord, orthogonal to AnswerStatus, computed from the gates that ran.","The catalogues require an explicit evidence state on every answer, and it is NOT the same axis as OntoSage's six-member AnswerStatus. Status says what kind of claim this is (observed, calculated, predicted); state says how well the evidence supports it. A CALCULATED answer can be verified or conflicted, and today nothing carries that distinction: 1,224 questions demand VERIFIED, 99 CONFLICTED, 84 PARTIALLY VERIFIED.","Adding members to AnswerStatus — its docstring says exactly six, and merging two axes into one enum reopens the ambiguity it exists to close. CONFLICTED is not a seventh kind of claim.","No building literal. Behaviour comes from the active building's TTL, its registered datasources and its input/ files; a second building gets the same result by supplying the same artefacts, with no code change.",Derive from gates_applied/advisory/not_evaluated plus the conflicts list; never from the model's self-assessment.,shared/models.py; evidence/assemble.py; evidence/gates.py,"Two sources that disagree yield CONFLICTED and both values are reported, neither averaged.",Inject a disagreeing pair; assert CONFLICTED and both values present.,
V7-T13,P1-EvidenceGrammar,"The five-part commissioning gate: deployment, mapping, commissioning, permission, health",todo,V7-T03,L,2357,"Implement the catalogues' verification gate as five per-instance checks, and mark evidence PROPOSED until all five pass.","Every catalogue repeats it verbatim: treat sensors, mappings, models and integrations as PROPOSED until deployment, mapping, commissioning, permission and current health are independently verified. 2,357 of the 2,960 questions name sensor telemetry, and every one of them is conditioned on this gate. OntoSage checks calibration and freshness; it has no notion of a point being mapped but not commissioned, or commissioned but not permitted.","Folding it into the existing calibration gate — it collapses five independent failure modes into one flag, and the remedy differs for each (a mapping error is fixed in TTL, a permission gap by governance).","The five states are per-instance triples authored in the building's TTL; absent metadata reads UNKNOWN, never assumed-good.",TBox terms for the five states; a gate module; PROPOSED rendering.,ontology/ontosage_schema.ttl; evidence/gates.py; evidence/sensor_health.py,A point with no commissioning record answers as PROPOSED and says which of the five is missing.,Author one uncommissioned point; probe it.,
V7-T14,P1-EvidenceGrammar,Owner-defined staleness thresholds per source class,todo,V7-T11,M,1646,"Let each source class declare its currency threshold in TTL and flag records beyond it, instead of applying one freshness rule to everything.","1,646 mentions of staleness, and the catalogues are explicit that currency is decision-specific: a CO2 reading is stale in minutes, an asbestos survey in years, a role change the moment it is superseded. A single global freshness gate either declares a valid survey stale or lets an hours-old sensor value pass as current.","A per-modality constant in code — it is a building literal by another name, and the threshold belongs to the record's owner.",ontosage:currencyThresholdDays on the class or the instance; the gate reads it from the graph.,TBox term; extend the freshness gate to consult it; default to UNKNOWN rather than to a hard-coded window.,ontology/ontosage_schema.ttl; evidence/gates.py,A two-year-old asbestos survey is current; a two-hour-old CO2 reading is stale.,Probe both.,
V7-T15,P1-EvidenceGrammar,"The floor plan is a historical spatial reference, and must say so",todo,,S,725,"Carry a survey date and an authority on every floor-plan manifest, and label geometry answers as historical reference when the plan predates the building's current configuration.","725 occurrences of 'the May 2021 floor plan is historical spatial reference only' — the catalogues single it out more often than most sensors. bldg1's plans carry no date at all, so a room's area is presented with the same confidence as a live reading. The catalogues permit the plan for historical geometry and forbid inferring current room use from it.","Hard-coding 'May 2021' — it is a bldg1 literal. The date belongs in the manifest, so bldg2's own survey date travels with it.","survey_date and authority on the FloorPlanManifest, authored per building; the label is derived, not assumed.",Extend the manifest; set spatial answers' source_tier and add the caveat.,shared/models.py; services/floor_plan_registry.py; evidence/spatial_facts.py,An area answer states the plan's survey date; a current-use question is not answered from the plan alone.,Probe 'how big is 2.15' and 'what is 2.15 used for'.,
