concept_id,lay_terms,brick_classes,recipe_kind,composite_of,example_questions,confidence
too_warm,too warm|too hot|overheating|feels warm|uncomfortably hot|sweltering|stuffy heat|warm in here,brick:Temperature_Sensor|brick:Zone_Air_Temperature_Sensor,threshold,thermal_comfort,are there any warnings related to equipment overheating nearby? || how does the building prevent overheating in sun exposed areas? || If it's too hot in a room will AI make it cooler even if it is not cost effective?,high
too_cold,too cold|too cool|chilly|freezing|uncomfortably cold|cold in here|feels cold,brick:Temperature_Sensor|brick:Zone_Air_Temperature_Sensor,threshold,thermal_comfort,"If an occupant hits a ""Too Cold"" button, how quickly does the system respond, and does it learn that person's preference for next time? || can you notify me if this area becomes to warm or too cold? || If someone is too cold in a room will AI always make it warmer?",high
thermal_comfort,thermal comfort|temperature comfort|comfortable temperature|is it comfortable|temperature okay,brick:Temperature_Sensor|brick:Humidity_Sensor,range,,temperature comfortable? || How do you ensure comfortable temperature for all occupants? || Is the temperature comfortable for work?,high
temperature_reading,temperature|temp|how warm|how hot|how cold|degrees|current temperature,brick:Temperature_Sensor|brick:Zone_Air_Temperature_Sensor|brick:Outside_Air_Temperature_Sensor,aggregate,,are there controls to reduce cooling when outdoor temperatures are lower? || can i locate a workspacewith the most stable temperature conditions? || can iknow how evenly temperature is distributed across this floor?,high
stuffiness,stuffy|stale air|airless|muggy|close air|needs fresh air|poor ventilation|stifling,brick:CO2_Level_Sensor|brick:CO2_Sensor,threshold,iaq_composite,"are there any rooms with poor ventilation that should be avoided? || Does ""Fan Speed"" increase automatically when the air feels stuffy? || are there any rooms that feel stuffy or poorly ventilated?",high
co2_level,CO2|carbon dioxide|co2 level|co2 concentration|carbon dioxide level,brick:CO2_Level_Sensor|brick:CO2_Sensor,threshold,,"Can the building detect a ""productivity dip"" by correlating high CO2 with low Motion (PIR) in the afternoon? || Can the ""CO2"" sensor detect if a meeting room is getting too crowded? || Does CO2 spike in meeting rooms at 2:00 PM, and is that why everyone feels tired?",high
ventilation_quality,ventilation|air flow|air circulation|fresh air|air exchange,brick:CO2_Level_Sensor|brick:Damper_Position_Sensor|brick:Supply_Air_Flow_Sensor,threshold,iaq_composite,can i check if fresh air intake is sufficient in this area? || how efficiently is the ventilation system removing indoor pollutants? || are there any rooms with poor ventilation that should be avoided?,high
too_humid,too humid|humid|muggy air|moist air|damp feeling|clammy|sticky air|high humidity,brick:Humidity_Sensor|brick:Relative_Humidity_Sensor,threshold,thermal_comfort,are there any sensors detecting excessive humidity in certain areas? || can you notify me if indoorair becomes too dry or humid? || Can the Biological Contaminant sensors detect if the humidity is high enough to risk mold growth in the stairwells?,high
too_dry,dry air|low humidity|dry|dryness,brick:Humidity_Sensor|brick:Relative_Humidity_Sensor,threshold,thermal_comfort,is the indoor air dry enough to cause discomfort? || can you notify me if indoorair becomes too dry or humid? || is the air feeling dry or too moist at the moment?,high
humidity_reading,humidity|relative humidity|moisture level|how humid|moisture,brick:Humidity_Sensor|brick:Relative_Humidity_Sensor,aggregate,,are there any sensors detecting excessive humidity in certain areas? || Can the Biological Contaminant sensors detect if the humidity is high enough to risk mold growth in the stairwells? || What is the threshold for Relative Humidity before the building warns about static electricity risks to the hardware?,high
iaq_composite,indoor air quality|IAQ|air quality|air quality index|how clean is the air|pollutant levels,brick:CO2_Level_Sensor|brick:PM2.5_Level_Sensor|brick:TVOC_Sensor|brick:Air_Quality_Sensor,aggregate,,can the building warm about dealing indoor air quality before it becomes unsafe? || how consistent has air quality been throughout the entire day? || are there hidden sources of indoor pollution affecting air quality?,high
pm25_level,particulate matter|PM2.5|dust|fine particles|aerosols,brick:PM2.5_Level_Sensor,threshold,iaq_composite,"During high pollen or smog days, how do PM2.5 and PM10 sensors trigger the building’s high-efficiency filtration? || How does the building track PM2.5 levels near the air intake vents during peak traffic hours? || Is the current PM2.5 level low enough for a healthy work environment today?",medium
tvoc_level,VOC|volatile organic compound|chemical smell|TVOC|organic pollutants|chemical fumes,brick:TVOC_Sensor,threshold,iaq_composite,"Does the VOC sensor differentiate between ""cooking odors"" and dangerous gas leaks in the kitchen? || If VOC levels spike during the morning cleaning shift, does the Fan Speed increase automatically to clear the air? || Do VOC levels spike specifically after the night-shift cleaning crew uses certain products?",medium
smell_odour,smell|odour|bad smell|stinks|musty|chemical odour|foul smell|odor,brick:TVOC_Sensor|brick:CO2_Sensor,threshold,iaq_composite,"is there any unusual odor detected in this area? || Does the VOC sensor differentiate between ""cooking odors"" and dangerous gas leaks in the kitchen? || If VOC (Volatile Organic Compound) sensors detect high cooking odors, does the exhaust system bypass the standard circulation to vent directly outside?",medium
noisy,noisy|loud|too loud|noise|disruptive noise|disturbing sounds|high noise level,brick:Noise_Level_Sensor|brick:Sound_Level_Sensor,threshold,acoustic_comfort,are there any areas where noise levels suddenly increased? || can i find a workspace that matches my preferred noise and lighting levels? || have there been any continuous noise disturbances recently?,high
quiet_zone,quiet|silent|quiet area|quiet floor|low noise|peaceful|quiet for study|acoustic comfort,brick:Noise_Level_Sensor|brick:Sound_Level_Sensor,threshold,acoustic_comfort,are some areas quieter than expected right now? || which spaces are most suitable for quiet study at this hour? || Can we set different Thermostat Setpoints for the gym versus the quiet library zone to match human metabolic rates?,high
acoustic_comfort,acoustic comfort|sound environment|noise environment|comfortable for focus|noise level,brick:Noise_Level_Sensor,range,,are there any areas where noise levels suddenly increased? || can you alert me if noise levels spike in theopen workspace? || Imagine the noise levels around you — what could the building do to help you concentrate?,high
too_bright,too bright|glare|harsh light|blinding|overly lit|too much light,brick:Illuminance_Sensor|brick:Luminance_Sensor,threshold,lighting_comfort,"can the system guide me to a workspace with minimal glare on screens? || If the Glare Index is too high, can the building suggest a different desk to the user rather than just closing the blinds? || Can the ""Glare Index"" tell if the sun is reflecting off my computer screen?",high
too_dark,too dark|dim|not enough light|poor lighting|low light|dark,brick:Illuminance_Sensor|brick:Luminance_Sensor,threshold,lighting_comfort,"are there any zones where lighting is too dim for work right now? || is the lighting too harsh or too dim in any workspace? || If the Lux level is high near the windows, can the desks in the center of the room stay dimmer to save energy?",high
lighting_comfort,lighting|light level|illuminance|brightness|adequate lighting|lighting conditions,brick:Illuminance_Sensor|brick:Luminance_Sensor,range,,"are adaptive lighting system used to support cricadian ehythms? || how is energy distributed across different systems like HVAC, lighting, and equipment? || are there any zones where lighting is too dim for work right now?",high
natural_light,natural light|daylight|sunlight|daylit|sunlit|daylighting,brick:Daylight_Sensor|brick:Illuminance_Sensor,range,lighting_comfort,"are lighting systems responding well to changing daylight conditions? || Could the building calculate the Carbon Emissions saved every time a floor successfully uses ""Daylight Harvesting"" instead of LEDs? || Which meeting room has the best natural light and lowest CO2 levels right now for a brainstorm?",medium
crowded,crowded|packed|full|too many people|congested|over capacity|no space,brick:Occupancy_Sensor|brick:Motion_Sensor,threshold,busyness,can the system recommend a break area that is less crowded? || which zones are becoming overcrowded more frequently? || can you notify me if this room becomes too crowded?,high
busy,busy|busyness|how busy|how many people|high occupancy,brick:Occupancy_Sensor|brick:Motion_Sensor|brick:People_Counter_Sensor,aggregate,busyness,how dose the building manage waste during high occupancy events? || Could the PMV (Predicted Mean Vote) index be used to automatically adjust the temperature based on how many people are wearing coats? || elevator busy?,high
empty_space,empty|available|vacant|free space|nobody there|unoccupied|available desk,brick:Occupancy_Sensor|brick:Motion_Sensor,threshold,busyness,"Could escalators switch to standby when corridors are empty? || Does energy consumption actually drop when occupancy sensors show the building is 80% empty, or is the HVAC ""blind"" to real-time usage?3 || Can the check-in kiosks identify if a visitor has arrived early and suggest a specific café seat that is currently vacant?",high
busyness,occupancy|how full is it|space utilization|room utilization|occupancy rate|how occupied,brick:Occupancy_Sensor|brick:People_Counter_Sensor,aggregate,,how dose the building manage waste during high occupancy events? || are there smart schedules for heating and cooling based on occupancy patterns? || can the building adjust settings automatically based on occupancy changes?,high
quiet_time,when is it quiet|best time to visit|quietest time|least busy time|off-peak,brick:Occupancy_Sensor|brick:Motion_Sensor,trend,busyness,Is the system able to let me know which areas to focus on to find items to move to off-peak consumption to save money? || Could we develop a way for our building to automatically shift large HVAC loads to off-peak times when more renewable energy is being accessed on the grid? || What hours are considered off-peak?,high
energy_waste,wasting energy|energy waste|inefficient energy|energy inefficiency|high energy use,brick:Electrical_Energy_Sensor,threshold,energy_consumption,"If the Chiller Status and Boiler Status are both ""On"" simultaneously, is the system wasting energy fighting itself? || energy waste? || What does AI do if there are unexpected spikes or patterns of energy waste?",high
energy_consumption,energy use|energy consumption|electricity use|power consumption|kWh|energy usage,brick:Electrical_Energy_Sensor|brick:Electrical_Power_Sensor,aggregate,,can the building automatically optimize energy use during weekends or holidays? || are there any opportunities to reduce energy consumption in this space? || are there systems that could be optimized to reduce energy use right now?,high
energy_cost,energy cost|electricity bill|energy spend|tariff|cost of electricity|electricity cost,brick:Electrical_Energy_Sensor,aggregate,energy_consumption,"Is there a way to understand when one area of the building is heated up, how it effects other areas? That is, does a temperature change in one area allow for slight lowered adjustments in other areas to save on energy costs?",high
peak_demand,peak demand|peak energy|peak hours|peak load|demand charges,brick:Electrical_Energy_Sensor|brick:Electrical_Power_Sensor,threshold,energy_consumption,"Can the system predict a ""Peak Demand"" event based on the afternoon weather forecast and start pre-cooling the building? || If we shift heavy HVAC tasks to 4:00 AM, how much cheaper is that electricity compared to the Peak Demand at noon? || On cloudy days, what is the exact percentage drop in solar efficiency compared to the building's peak demand?",high
carbon_footprint,carbon|emissions|CO2 emissions|carbon footprint|greenhouse gas|eco-friendly|green,brick:Electrical_Energy_Sensor,aggregate,energy_consumption,can the building measure how greenery impact occupant satisfaction? || are there features that promote interaction with green or natural elements? || can the system evaluate the efficient of green roofs or eco  feautures?,medium
draft,drafty|draughty|cold draft|cold air blowing|draught|windy inside,brick:Supply_Air_Temperature_Sensor|brick:Supply_Air_Flow_Sensor|brick:Zone_Air_Temperature_Sensor,correlate,thermal_comfort,,medium
fire_safety,fire|smoke|fire alarm|evacuation|fire exit|emergency|fire hazard,brick:Smoke_Detector|brick:Fire_Alarm,threshold,,"which areas are safest in case of an emergency evacuation? || Does the Smoke/Fire Suppression status log exactly who was in the room (via Access Logs) when an alert triggered? || Will a ""Door Sensor"" alert security if a fire exit is propped open?",high
